game_id,season,game_type,week,gameday,home_team,away_team,home_score,away_score,roof,surface,div_game,spread_line,total_line,temp,wind,result
2016_08_MIN_CHI,2016,REG,8,2016-10-31,CHI,MIN,20,10,outdoors,grass,1,-5.5,39.5,58.0,12.0,10
2016_08_OAK_TB,2016,REG,8,2016-10-30,TB,OAK,24,30,outdoors,grass,0,1.0,48.0,86.0,15.0,-6
2016_08_SD_DEN,2016,REG,8,2016-10-30,DEN,SD,27,19,outdoors,grass,1,3.5,43.0,76.0,6.0,8
2016_08_SEA_NO,2016,REG,8,2016-10-30,NO,SEA,25,20,dome,sportturf,0,-1.0,50.0,,,5
2016_09_ATL_TB,2016,REG,9,2016-11-03,TB,ATL,28,43,outdoors,grass,1,-4.5,49.0,76.0,2.0,-15
2016_09_CAR_LA,2016,REG,9,2016-11-06,LA,CAR,10,13,outdoors,grass,0,-3.0,44.5,75.0,2.0,-3
2016_09_DEN_OAK,2016,REG,9,2016-11-06,OAK,DEN,30,20,outdoors,grass,1,1.0,44.5,65.0,6.0,10
2016_09_DET_MIN,2016,REG,9,2016-11-06,MIN,DET,16,22,dome,sportturf,1,4.0,42.5,,,-6
2016_09_NO_SF,2016,REG,9,2016-11-06,SF,NO,23,41,outdoors,grass,0,-5.0,53.0,70.0,0.0,-18
2016_09_PIT_BAL,2016,REG,9,2016-11-06,BAL,PIT,21,14,outdoors,grass,1,-3.5,46.0,65.0,15.0,7
2016_09_TEN_SD,2016,REG,9,2016-11-06,SD,TEN,43,35,outdoors,grass,0,3.5,47.5,76.0,6.0,8
2016_10_ATL_PHI,2016,REG,10,2016-11-13,PHI,ATL,24,15,outdoors,grass,0,2.0,48.5,58.0,10.0,9
2016_10_CLE_BAL,2016,REG,10,2016-11-10,BAL,CLE,28,7,outdoors,grass,1,7.5,44.0,54.0,3.0,21
2016_10_DAL_PIT,2016,REG,10,2016-11-13,PIT,DAL,30,35,outdoors,grass,0,3.0,50.5,56.0,7.0,-5
2016_10_DEN_NO,2016,REG,10,2016-11-13,NO,DEN,23,25,dome,sportturf,0,3.0,50.0,,,-2
2016_10_GB_TEN,2016,REG,10,2016-11-13,TEN,GB,47,25,outdoors,grass,0,-3.0,48.5,56.0,3.0,22
2016_10_LA_NYJ,2016,REG,10,2016-11-13,NYJ,LA,6,9,outdoors,fieldturf,0,-1.0,39.0,62.0,7.0,-3
2016_10_MIA_SD,2016,REG,10,2016-11-13,SD,MIA,24,31,outdoors,grass,0,4.0,48.5,85.0,11.0,-7
2016_10_MIN_WAS,2016,REG,10,2016-11-13,WAS,MIN,26,20,outdoors,grass,0,2.5,42.0,58.0,7.0,6
2016_10_SF_ARI,2016,REG,10,2016-11-13,ARI,SF,23,20,closed,grass,1,14.0,46.5,,,3
2016_11_ARI_MIN,2016,REG,11,2016-11-20,MIN,ARI,30,24,dome,sportturf,0,2.0,39.5,,,6
2016_11_BAL_DAL,2016,REG,11,2016-11-20,DAL,BAL,27,17,closed,matrixturf,0,7.0,44.5,,,10
2016_11_HOU_OAK,2016,REG,11,2016-11-21,OAK,HOU,27,20,outdoors,grass,0,6.5,45.5,63.0,6.0,7
2016_11_JAX_DET,2016,REG,11,2016-11-20,DET,JAX,26,19,dome,fieldturf,0,5.5,47.0,,,7
2016_11_MIA_LA,2016,REG,11,2016-11-20,LA,MIA,10,14,outdoors,grass,0,1.0,39.0,63.0,3.0,-4
2016_11_NO_CAR,2016,REG,11,2016-11-17,CAR,NO,23,20,outdoors,grass,1,3.5,52.5,63.0,6.0,3
2016_11_PIT_CLE,2016,REG,11,2016-11-20,CLE,PIT,9,24,outdoors,grass,1,-8.0,45.5,36.0,27.0,-15
2016_11_TEN_IND,2016,REG,11,2016-11-20,IND,TEN,24,17,closed,fieldturf,1,3.0,53.5,,,7
2016_12_ARI_ATL,2016,REG,12,2016-11-27,ATL,ARI,38,19,dome,fieldturf,0,3.5,49.0,,,19
2016_12_CAR_OAK,2016,REG,12,2016-11-27,OAK,CAR,35,32,outdoors,grass,0,3.5,48.5,59.0,12.0,3
2016_12_CIN_BAL,2016,REG,12,2016-11-27,BAL,CIN,19,14,outdoors,grass,1,3.5,42.0,50.0,12.0,5
2016_12_LA_NO,2016,REG,12,2016-11-27,NO,LA,49,21,dome,sportturf,0,7.5,46.0,,,28
2016_12_MIN_DET,2016,REG,12,2016-11-24,DET,MIN,16,13,dome,fieldturf,1,2.0,42.0,,,3
2016_12_PIT_IND,2016,REG,12,2016-11-24,IND,PIT,7,28,closed,fieldturf,0,-8.0,50.0,,,-21
2016_12_SD_HOU,2016,REG,12,2016-11-27,HOU,SD,13,21,closed,fieldturf,0,-2.5,45.5,,,-8
2016_12_TEN_CHI,2016,REG,12,2016-11-27,CHI,TEN,21,27,outdoors,grass,0,-6.5,41.5,40.0,11.0,-6
2016_13_BUF_OAK,2016,REG,13,2016-12-04,OAK,BUF,38,24,outdoors,grass,0,3.0,48.5,59.0,4.0,14
2016_13_DAL_MIN,2016,REG,13,2016-12-01,MIN,DAL,15,17,dome,sportturf,0,-3.0,43.5,,,-2
2016_13_DET_NO,2016,REG,13,2016-12-04,NO,DET,13,28,dome,sportturf,0,6.5,53.0,,,-15
2016_13_KC_ATL,2016,REG,13,2016-12-04,ATL,KC,28,29,dome,fieldturf,0,5.0,50.0,,,-1
2016_13_LA_NE,2016,REG,13,2016-12-04,NE,LA,26,10,outdoors,fieldturf,0,13.0,44.5,39.0,8.0,16
2016_13_MIA_BAL,2016,REG,13,2016-12-04,BAL,MIA,38,6,outdoors,grass,0,3.5,41.5,47.0,3.0,32
2016_13_NYG_PIT,2016,REG,13,2016-12-04,PIT,NYG,24,14,outdoors,grass,0,7.0,49.5,43.0,71.0,10
2016_13_TB_SD,2016,REG,13,2016-12-04,SD,TB,21,28,outdoors,grass,0,3.5,49.0,72.0,7.0,-7
2016_13_WAS_ARI,2016,REG,13,2016-12-04,ARI,WAS,31,23,closed,grass,0,2.5,48.5,,,8
2016_14_ARI_MIA,2016,REG,14,2016-12-11,MIA,ARI,26,23,outdoors,grass,0,-2.0,44.0,77.0,18.0,3
2016_14_ATL_LA,2016,REG,14,2016-12-11,LA,ATL,14,42,outdoors,grass,0,-4.5,44.0,65.0,1.0,-28
2016_14_BAL_NE,2016,REG,14,2016-12-12,NE,BAL,30,23,outdoors,fieldturf,0,6.0,45.5,31.0,3.0,7
2016_14_CHI_DET,2016,REG,14,2016-12-11,DET,CHI,20,17,dome,fieldturf,1,7.5,42.0,,,3
2016_14_DEN_TEN,2016,REG,14,2016-12-11,TEN,DEN,13,10,outdoors,grass,0,2.0,44.0,50.0,5.0,3
2016_14_MIN_JAX,2016,REG,14,2016-12-11,JAX,MIN,16,25,outdoors,grass,0,-3.0,38.0,71.0,5.0,-9
2016_14_NO_TB,2016,REG,14,2016-12-11,TB,NO,16,11,outdoors,grass,1,2.0,52.0,79.0,9.0,5
2016_14_OAK_KC,2016,REG,14,2016-12-08,KC,OAK,21,13,outdoors,grass,1,3.5,46.0,21.0,7.0,8
2016_14_PIT_BUF,2016,REG,14,2016-12-11,BUF,PIT,20,27,outdoors,a_turf,0,-1.0,45.5,27.0,9.0,-7
2016_14_SD_CAR,2016,REG,14,2016-12-11,CAR,SD,28,16,outdoors,grass,0,1.0,48.5,37.0,6.0,12
2016_15_DET_NYG,2016,REG,15,2016-12-18,NYG,DET,17,6,outdoors,fieldturf,0,4.0,42.5,55.0,1.0,11
2016_15_IND_MIN,2016,REG,15,2016-12-18,MIN,IND,6,34,dome,sportturf,0,5.0,44.5,,,-28
