game_id,temp_f,wind_mph
2017_09_BAL_TEN,75.0,10.0
2017_09_DET_GB,35.0,3.0
2017_09_LA_NYG,56.0,6.0
2017_09_OAK_MIA,77.0,2.0
2017_10_CIN_TEN,53.0,4.0
2017_10_HOU_LA,68.0,0.0
2017_10_LAC_JAX,76.0,5.0
2017_10_MIN_WAS,44.0,4.0
2017_10_NO_BUF,42.0,2.0
2017_11_ATL_SEA,45.0,6.0
2017_11_BAL_GB,28.0,14.0
2017_11_BUF_LAC,76.0,6.0
2017_11_DET_CHI,33.0,16.0
2017_11_NE_OAK,66.0,0.0
2017_11_TEN_PIT,40.0,17.0
2017_12_DEN_OAK,61.0,13.0
2017_12_GB_PIT,38.0,7.0
2017_12_HOU_BAL,50.0,1.0
2017_12_NO_LA,72.0,1.0
2017_13_CLE_LAC,68.0,7.0
2017_13_DET_BAL,53.0,4.0
2017_13_HOU_TEN,60.0,4.0
2017_13_NYG_OAK,58.0,11.0
2017_13_PIT_CIN,61.0,9.0
2017_14_BAL_PIT,33.0,12.0
2017_14_DET_TB,55.0,9.0
2017_14_MIN_CAR,41.0,5.0
2017_14_OAK_KC,46.0,13.0
2017_14_PHI_LA,83.0,0.0
2017_14_WAS_LAC,81.0,4.0
2017_15_ARI_WAS,50.0,1.0
2017_15_ATL_TB,71.0,2.0
2017_15_BAL_CLE,36.0,0.0
2017_15_DAL_OAK,57.0,4.0
2017_15_LAC_KC,53.0,9.0
2017_15_LA_SEA,47.0,15.0
2017_15_NE_PIT,42.0,4.0
2017_15_TEN_SF,65.0,17.0
2017_16_DET_CIN,35.0,2.0
2017_16_IND_BAL,63.0,14.0
2017_16_LAC_NYJ,40.0,6.0
2017_16_LA_TEN,39.0,11.0
2017_16_MIN_GB,10.0,6.0
2017_16_OAK_PHI,29.0,15.0
2017_17_ARI_SEA,40.0,7.0
2017_17_CIN_BAL,19.0,12.0
2017_17_CLE_PIT,11.0,3.0
2017_17_JAX_TEN,23.0,5.0
2017_17_NO_TB,71.0,3.0
2017_17_OAK_LAC,62.0,2.0
2017_17_SF_LA,67.0,3.0
2017_18_ATL_LA,62.0,3.0
2017_18_TEN_KC,33.0,10.0
2017_19_ATL_PHI,32.0,16.0
2017_19_JAX_PIT,18.0,2.0
2017_19_TEN_NE,24.0,12.0
2017_20_MIN_PHI,47.0,5.0
2019_01_BAL_MIA,91.0,8.0
2019_01_DEN_OAK,68.0,15.0
2019_01_IND_LAC,77.0,10.0
2019_01_LA_CAR,87.0,3.0
2019_01_PIT_NE,66.0,2.0
2019_01_TEN_CLE,71.0,10.0
2019_02_ARI_BAL,82.0,8.0
2019_02_IND_TEN,93.0,1.0
2019_02_KC_OAK,70.0,13.0
2019_02_MIN_GB,72.0,5.0
2019_02_NO_LA,85.0,4.0
2019_02_SEA_PIT,81.0,3.0
2019_03_DET_PHI,84.0,7.0
2019_03_HOU_LAC,87.0,4.0
2019_03_LA_CLE,83.0,12.0
2019_03_NO_SEA,63.0,8.0
2019_03_PIT_SF,79.0,3.0
2019_03_TEN_JAX,73.0,9.0
2019_04_CIN_PIT,76.0,1.0
2019_04_CLE_BAL,83.0,8.0
2019_04_LAC_MIA,88.0,15.0
2019_04_MIN_CHI,67.0,8.0
2019_04_TB_LA,74.0,2.0
2019_05_ARI_CIN,76.0,6.0
2019_05_BAL_PIT,70.0,7.0
2019_05_BUF_TEN,77.0,13.0
2019_05_CHI_OAK,59.0,15.0
2019_05_DEN_LAC,85.0,12.0
2019_05_LA_SEA,57.0,7.0
2019_05_MIN_NYG,66.0,10.0
2019_06_CIN_BAL,64.0,7.0
2019_06_DET_GB,43.0,5.0
2019_06_NO_JAX,81.0,3.0
2019_06_PIT_LAC,71.0,9.0
2019_06_SF_LA,77.0,2.0
2019_06_TEN_DEN,69.0,7.0
2019_07_ARI_NYG,56.0,3.0
2019_07_BAL_SEA,50.0,8.0
2019_07_LAC_TEN,77.0,2.0
2019_07_NO_CHI,54.0,6.0
2019_07_OAK_GB,55.0,6.0
2019_08_CIN_LA,48.0,5.0
2019_08_LAC_CHI,52.0,9.0
2019_08_MIA_PIT,59.0,2.0
2019_08_TB_TEN,59.0,3.0
2019_09_DET_OAK,71.0,6.0
2019_09_GB_LAC,79.0,2.0
2019_09_IND_PIT,48.0,12.0
2019_09_MIN_KC,54.0,15.0
2019_09_NE_BAL,48.0,1.0
2019_09_TEN_CAR,58.0,5.0
2019_10_ARI_TB,77.0,8.0
2019_10_BAL_CIN,56.0,9.0
2019_10_DET_CHI,40.0,12.0
2019_10_KC_TEN,63.0,9.0
2019_10_LAC_OAK,54.0,9.0
2019_10_LA_PIT,55.0,12.0
2019_11_ARI_SF,72.0,0.0
2019_11_ATL_CAR,51.0,11.0
2019_11_CHI_LA,79.0,0.0
2019_11_CIN_OAK,76.0,13.0
2019_11_HOU_BAL,44.0,10.0
2019_11_KC_LAC,67.0,7.0
2019_11_NO_TB,55.0,4.0
2019_11_PIT_CLE,36.0,10.0
2019_12_BAL_LA,62.0,5.0
2019_12_DET_WAS,46.0,17.0
2019_12_JAX_TEN,52.0,9.0
2019_12_OAK_NYJ,43.0,12.0
2019_12_PIT_CIN,46.0,10.0
2019_13_CLE_PIT,46.0,6.0
2019_13_LAC_DEN,33.0,7.0
2019_13_MIN_SEA,51.0,1.0
2019_13_OAK_KC,36.0,20.0
2019_13_SF_BAL,40.0,13.0
2019_14_BAL_BUF,43.0,18.0
2019_14_LAC_JAX,62.0,7.0
2019_14_SEA_LA,60.0,4.0
2019_14_TEN_OAK,59.0,5.0
2019_15_ATL_SF,55.0,6.0
2019_15_BUF_PIT,31.0,6.0
2019_15_HOU_TEN,45.0,4.0
2019_15_JAX_OAK,59.0,7.0
2019_15_MIN_LAC,64.0,14.0
2019_15_NYJ_BAL,33.0,3.0
2019_16_ARI_SEA,43.0,7.0
2019_16_BAL_CLE,49.0,10.0
2019_16_DET_DEN,67.0,3.0
2019_16_LA_SF,58.0,12.0
2019_16_NO_TEN,50.0,4.0
2019_16_OAK_LAC,64.0,10.0
2019_16_PIT_NYJ,45.0,6.0
2019_17_ARI_LA,62.0,0.0
