position,arm,design,cluster,unit,observed_diff,ci_lo,ci_hi,p_value,draws,n_clusters,holm_adjusted_p
WR,ARM_4,design_a,player,player_id,0.18339002525192427,-0.5631430605816602,0.9825049076885811,0.6395,20000,70.0,
WR,ARM_4,design_a,team_season,season+team,0.18339002525192427,-0.7618173614167651,1.1291615990100818,0.7096,20000,149.0,
WR,ARM_5,design_a,player,player_id,-0.30957816715655895,-1.1801548754932927,0.6048602864911976,0.4934,20000,70.0,
WR,ARM_5,design_a,team_season,season+team,-0.30957816715655895,-1.3031266186397719,0.6579787117523574,0.5401,20000,149.0,
WR,ARM_HC,design_a,holm,holm,,,,0.2762,20000,,1.0
WR,ARM_1,design_a,holm,holm,,,,0.8606,20000,,1.0
WR,ARM_2,design_a,holm,holm,,,,0.3483,20000,,1.0
WR,ARM_3,design_a,holm,holm,,,,0.1141,20000,,0.6846
WR,ARM_4,design_a,holm,holm,,,,0.7096,20000,,1.0
WR,ARM_5,design_a,holm,holm,,,,0.5401,20000,,1.0
TE,selected,design_a,player,player_id,-0.19910582131416987,-1.6618451416164632,1.2330467847454143,0.7759,20000,38.0,
TE,selected,design_a,team_season,season+team,-0.19910582131416987,-1.560271715666514,1.1824956878847521,0.7751,20000,94.0,
TE,ARM_HC,design_a,player,player_id,-0.05654266971034616,-1.6153825775142796,1.4697685316136393,0.9191,20000,38.0,
TE,ARM_HC,design_a,team_season,season+team,-0.05654266971034616,-1.4751774253653944,1.3701122819186018,0.9331,20000,94.0,
TE,ARM_1,design_a,player,player_id,-0.40043760676162066,-2.119757381288519,1.232528090206728,0.6209,20000,38.0,
TE,ARM_1,design_a,team_season,season+team,-0.40043760676162066,-1.860473078194582,1.074129127975827,0.5992,20000,94.0,
TE,ARM_2,design_a,player,player_id,-0.8693043288834943,-2.043431469021637,0.3348357587437781,0.1525,20000,38.0,
TE,ARM_2,design_a,team_season,season+team,-0.8693043288834943,-2.0068014628487387,0.27409903027518473,0.1315,20000,94.0,
TE,ARM_3,design_a,player,player_id,0.6492908309610428,-0.279059904749776,1.5431166878641787,0.1696,20000,38.0,
TE,ARM_3,design_a,team_season,season+team,0.6492908309610428,-0.32670134087698194,1.631415027399291,0.1933,20000,94.0,
TE,ARM_4,design_a,player,player_id,0.331912338811982,-0.6758506133236578,1.2662816754197628,0.5102,20000,38.0,
TE,ARM_4,design_a,team_season,season+team,0.331912338811982,-0.742412157790899,1.3736955102914878,0.5295,20000,94.0,
TE,ARM_5,design_a,player,player_id,0.28904643891316795,-0.959546835291712,1.6027656567173902,0.6764,20000,38.0,
TE,ARM_5,design_a,team_season,season+team,0.28904643891316795,-0.9026799052662691,1.472852707596708,0.6364,20000,94.0,
TE,ARM_HC,design_a,holm,holm,,,,0.9331,20000,,1.0
TE,ARM_1,design_a,holm,holm,,,,0.6209,20000,,1.0
TE,ARM_2,design_a,holm,holm,,,,0.1525,20000,,0.915
TE,ARM_3,design_a,holm,holm,,,,0.1933,20000,,0.9665
TE,ARM_4,design_a,holm,holm,,,,0.5295,20000,,1.0
TE,ARM_5,design_a,holm,holm,,,,0.6764,20000,,1.0
