gsis_id,name,position,team,entry_class,draft_round,draft_pick,hit_prob_draft,hit_prob_college,hit_prob_full,proj_ppg,talent_score,draft_pick,age,forty,vertical,broad_jump,wt,bmi,speed_score,cfb_final_dom,cfb_scrim_ypg,pct_draft_pick,pct_age,pct_forty,pct_vertical,pct_broad_jump,pct_wt,pct_bmi,pct_speed_score,pct_cfb_final_dom,pct_cfb_scrim_ypg
00-0039338,Brock Bowers,TE,LVR,2024,1,13,72.3,31.6,71.0,7.258767119633479,,13,21.0,,,,243.0,30.3696,,0.0622301114027554,72.6,2.0,12.0,,,,17.0,70.0,,55.0,92.0
00-0039910,Jayden Daniels,QB,WAS,2024,1,2,35.6,37.0,69.5,12.164831123989723,,2,23.0,,,,210.0,25.55921052631579,,0.2616318261143109,106.08333333333331,12.0,76.0,,,,11.0,2.0,,87.0,98.0
00-0039849,Marvin Harrison Jr.,WR,ARI,2024,1,4,61.4,22.2,67.2,6.498633108502695,,4,22.0,,,,209.0,26.120355555555555,,0.2914957338619323,102.41666666666669,1.0,63.0,,,,72.0,38.0,,97.0,84.0
00-0039921,Trey Benson,RB,ARI,2024,3,66,63.9,56.7,62.9,5.574233893041781,,66,22.0,4.39,33.5,122.0,216.0,29.291666666666668,116.31230593059371,0.2975232198142415,87.23076923076923,18.0,71.0,12.0,38.0,63.0,63.0,33.0,94.0,56.0,28.0
00-0039919,Rome Odunze,WR,CHI,2024,1,9,59.0,28.8,60.2,7.070261859613801,,9,22.0,4.45,39.0,124.0,212.0,26.49528888888889,108.12492336701838,0.1325341982795092,111.8,4.0,63.0,46.0,83.0,58.0,78.0,46.0,79.0,64.0,92.0
00-0039337,Malik Nabers,WR,NYG,2024,1,6,62.7,30.1,57.3,7.694733969959918,,6,21.0,,,,200.0,27.121913580246915,,0.1068023338551302,115.46153846153848,2.0,21.0,,,,48.0,65.0,,48.0,94.0
00-0039893,Brian Thomas,WR,JAX,2024,1,23,50.5,36.6,53.2,7.0146910994767,,23,21.0,4.33,38.5,126.0,209.0,26.120355555555555,118.9117296781256,0.1087122602293409,89.07692307692308,10.0,21.0,8.0,80.0,70.0,72.0,38.0,97.0,49.0,71.0
00-0039342,Xavier Legette,WR,CAR,2024,1,32,35.4,34.8,52.4,6.242034236520939,,32,23.0,4.39,40.0,126.0,221.0,29.154250328391818,119.00472041972782,0.1299049979347377,104.83333333333331,14.0,94.0,22.0,90.0,70.0,91.0,96.0,98.0,63.0,87.0
00-0039851,Drake Maye,QB,NWE,2024,1,3,28.9,21.5,49.4,12.935543543895559,,3,22.0,,,,223.0,27.14144736842105,,0.2305537244561634,58.5,14.0,40.0,,,,67.0,33.0,,78.0,77.0
00-0039923,J.J. McCarthy,QB,MIN,2024,1,10,51.7,25.3,47.8,,,10,21.0,,,,219.0,27.37013333333333,,0.0718978649537794,26.933333333333334,21.0,13.0,,,,52.0,40.0,,22.0,39.0
