gsis_id,name,position,team,entry_class,draft_round,draft_pick,hit_prob_draft,hit_prob_college,hit_prob_full,proj_ppg,talent_score,draft_pick,age,forty,vertical,broad_jump,wt,bmi,speed_score,cfb_final_dom,cfb_scrim_ypg,pct_draft_pick,pct_age,pct_forty,pct_vertical,pct_broad_jump,pct_wt,pct_bmi,pct_speed_score,pct_cfb_final_dom,pct_cfb_scrim_ypg
00-0040705,Chimere Dike,WR,TEN,2025,4,103,9.7,18.2,15.9,2.8185305478851426,,103,23.0,4.34,38.5,128.0,196.0,25.85625820979546,110.49106227853035,0.0980337771203155,60.23076923076923,44.0,94.0,10.0,80.0,79.0,41.0,29.0,84.0,43.0,31.0
00-0040138,Jaylin Noel,WR,HOU,2025,3,79,20.9,15.1,15.2,2.626562773787895,,79,23.0,4.39,41.5,134.0,194.0,27.833061224489796,104.46568217840361,0.1694376155185099,86.85714285714286,34.0,94.0,22.0,97.0,95.0,36.0,80.0,68.0,79.0,68.0
00-0040202,Devin Neal,RB,NOR,2025,6,184,5.0,30.0,14.9,4.8033264295281235,,184,22.0,4.58,37.5,124.0,213.0,29.704225352112676,96.81612294411421,0.3717767929089444,125.08333333333331,70.0,71.0,80.0,79.0,74.0,50.0,44.0,22.0,77.0,66.0
00-0040651,Damien Martinez,RB,SEA,2025,7,223,4.4,40.2,14.7,,,223,21.0,4.51,35.0,124.0,217.0,29.427276234567902,104.90195017499383,0.1625131856540084,92.3076923076923,86.0,25.0,52.0,55.0,74.0,67.0,37.0,61.0,17.0,34.0
00-0040581,Dont'e Thornton,WR,LVR,2025,4,108,9.5,26.2,14.4,2.671839688255212,,108,22.0,4.3,33.0,126.0,205.0,24.306797099004893,119.92508484699754,0.0967877777216298,50.54545454545455,46.0,63.0,4.0,16.0,70.0,64.0,6.0,98.0,42.0,19.0
00-0040131,Kyle Williams,WR,NWE,2025,3,69,22.0,28.9,13.4,3.053640512699632,,69,22.0,4.4,36.5,119.0,190.0,26.496726839912714,101.38480978075265,0.2367779777241558,95.92307692307692,30.0,63.0,24.0,59.0,19.0,29.0,47.0,56.0,94.0,79.0
00-0040189,Oronde Gadsden II,TE,LAC,2025,5,165,7.3,26.2,13.3,2.6589144816050054,,165,22.0,,34.0,114.0,243.0,28.812447292966773,,0.0723787167449139,71.15384615384616,66.0,49.0,,50.0,18.0,17.0,11.0,,62.0,92.0
00-0040236,Kyle Monangai,RB,CHI,2025,7,233,4.1,14.0,12.7,2.5002656483161743,,233,23.0,4.6,34.5,117.0,211.0,32.078935986159166,94.24994907822659,0.385256143273636,118.0909090909091,88.0,91.0,86.0,47.0,21.0,44.0,93.0,13.0,81.0,58.0
00-0040586,Jaydon Blue,RB,DAL,2025,5,149,28.8,22.8,12.5,2.242502579576647,,149,21.0,,,,,,,0.1873585279436742,67.86666666666666,55.0,25.0,,,,,,,22.0,15.0
00-0040170,Elic Ayomanor,WR,TEN,2025,4,136,8.9,15.8,11.9,3.287519976427002,,136,22.0,4.44,38.5,127.0,206.0,26.445945945945947,106.01451615146095,0.1697980631167323,69.25,55.0,63.0,43.0,80.0,75.0,67.0,45.0,72.0,79.0,46.0
00-0040179,DJ Giddens,RB,IND,2025,5,151,20.5,22.1,11.4,4.964726192898551,,151,22.0,4.43,39.5,130.0,212.0,28.749228395061728,110.09078075109203,0.2437341256529448,130.58333333333334,56.0,71.0,23.0,91.0,96.0,48.0,18.0,83.0,39.0,72.0
00-0040205,Kalel Mullings,RB,TEN,2025,6,188,4.7,21.3,11.3,3.2547795141491216,,188,22.0,,,,226.0,29.013513513513512,,0.3886871881682109,83.16666666666667,72.0,71.0,,,,88.0,25.0,,82.0,25.0
00-0040238,LeQuint Allen,RB,JAX,2025,7,236,4.3,23.3,11.2,2.8540954265237195,,236,21.0,,35.0,120.0,204.0,27.66435185185185,,0.4411267605633803,119.07692307692308,91.0,25.0,,55.0,43.0,21.0,3.0,,91.0,59.0
00-0040198,Ollie Gordon,RB,MIA,2025,6,179,6.0,12.2,9.9,3.1566526473270327,,179,21.0,4.61,34.5,120.0,226.0,29.81384875211109,100.0771048903496,0.2799032541776605,85.83333333333333,68.0,25.0,89.0,47.0,43.0,88.0,45.0,38.0,50.0,26.0
