gsis_id,name,position,team,entry_class,draft_round,draft_pick,hit_prob_draft,hit_prob_college,hit_prob_full,proj_ppg,talent_score,draft_pick,age,forty,vertical,broad_jump,wt,bmi,speed_score,cfb_final_dom,cfb_scrim_ypg,pct_draft_pick,pct_age,pct_forty,pct_vertical,pct_broad_jump,pct_wt,pct_bmi,pct_speed_score,pct_cfb_final_dom,pct_cfb_scrim_ypg
LOV121782,Jeremiyah Love,RB,ARI,2026,1,3,86.7,66.1,78.7,4.3225199735732245,78.6,3,21.0,4.36,,,212.0,28.749228395061728,117.33292558267314,0.2464536675452689,87.26666666666667,1.0,25.0,4.0,,,48.0,18.0,95.0,40.0,28.0
TAT143045,Carnell Tate,WR,TEN,2026,1,4,61.4,26.6,75.4,3.276589595503896,74.8,4,21.0,4.53,,,192.0,24.64864864864865,91.18815238625429,0.0487435008665511,45.0,1.0,21.0,78.0,,,32.0,8.0,17.0,10.0,14.0
TYS405541,Jordyn Tyson,WR,NOR,2026,1,8,60.2,16.5,60.0,2.5198458174569254,87.0,8,22.0,,,,203.0,26.06081081081081,,0.1682178146756944,86.16666666666667,3.0,63.0,,,,58.0,35.0,,79.0,67.0
SAD482340,Kenyon Sadiq,TE,NYJ,2026,1,16,56.0,33.3,48.8,2.4917431345990764,55.7,16,21.0,4.39,43.5,133.0,241.0,30.119644444444443,129.77437837626428,0.0230564341601464,23.08333333333333,3.0,12.0,1.0,99.0,98.0,13.0,61.0,100.0,17.0,19.0
MEN516487,Fernando Mendoza,QB,LVR,2026,1,1,46.5,30.8,48.0,12.439556049085269,,1,22.0,,,,236.0,27.982459099342215,,0.0837150347132198,32.54545454545455,7.0,40.0,,,,96.0,61.0,,27.0,47.0
LEM694125,Makai Lemon,WR,PHI,2026,1,20,39.8,22.9,47.9,2.6671140509454436,71.6,20,22.0,,,,192.0,26.77563975401706,,0.0626985453937468,68.18181818181819,8.0,63.0,,,,32.0,55.0,,17.0,44.0
PRI206342,Jadarian Price,RB,SEA,2026,1,32,64.4,17.5,44.8,2.577991136020965,79.1,32,22.0,4.49,35.0,124.0,203.0,28.309660781590953,99.89429116969761,0.1187928461569248,47.0,7.0,71.0,47.0,55.0,74.0,18.0,8.0,35.0,11.0,6.0
WAS797326,Mike Washington Jr.,RB,LVR,2026,4,122,15.2,43.0,42.8,2.0660355748813988,,122,23.0,4.33,39.0,128.0,223.0,29.418089697879527,126.87710869962683,,,41.0,91.0,3.0,89.0,89.0,82.0,35.0,99.0,,
SIM639376,Ty Simpson,QB,LAR,2026,1,13,42.2,13.7,40.4,9.119362871237385,,13,23.0,,,,211.0,27.835053480953274,,0.014305985373097,10.4,24.0,76.0,,,,14.0,52.0,,2.0,9.0
COO816508,Omar Cooper Jr.,WR,NYJ,2026,1,30,31.3,42.7,39.1,1.755669252789425,77.2,30,22.0,4.42,37.0,,199.0,26.98630401234568,104.27831253892639,0.074564763972247,47.91666666666666,13.0,63.0,34.0,66.0,,47.0,62.0,67.0,25.0,18.0
KLA269938,Max Klare,TE,LAR,2026,2,61,33.8,11.4,34.6,1.2947904873022802,64.8,61,23.0,,,,246.0,29.94078947368421,,0.1069597069597069,48.72727272727273,20.0,89.0,,,,34.0,52.0,,77.0,68.0
JOH224817,Emmett Johnson,RB,KAN,2026,5,161,22.7,32.6,29.9,1.2571049225082707,66.5,161,22.0,4.56,35.5,120.0,202.0,28.98081632653061,93.4376687724831,0.1021720703538885,67.25,60.0,71.0,72.0,61.0,43.0,17.0,23.0,12.0,8.0,14.0
BRA531428,Zachariah Branch,WR,ATL,2026,3,79,20.9,30.8,29.7,1.7169312684779285,57.0,79,22.0,4.35,38.0,125.0,177.0,26.135475740390675,98.86583398384228,0.0440561778966728,43.91666666666666,34.0,63.0,12.0,74.0,64.0,7.0,38.0,43.0,7.0,13.0
RAR148318,Eli Raridon,TE,NWE,2026,3,95,14.7,15.3,27.9,1.0839747187667856,,95,22.0,4.62,36.0,123.0,245.0,28.309500328731097,107.55439899298796,0.0064665892886751,11.142857142857142,32.0,49.0,28.0,77.0,80.0,28.0,3.0,70.0,4.0,2.0
FIE775129,Malachi Fields,WR,NYG,2026,3,74,22.2,16.2,25.9,1.3990228757924665,66.1,74,23.0,4.61,38.0,124.0,218.0,25.84820374430764,96.5345525048505,0.1303313583497915,53.41666666666666,32.0,94.0,95.0,74.0,58.0,88.0,28.0,33.0,63.0,22.0
BOS677861,Denzel Boston,WR,CLE,2026,2,39,32.0,14.6,24.7,2.079954267626622,65.9,39,22.0,,35.0,,212.0,25.80263157894737,,0.0725775564917656,58.30769230769231,18.0,63.0,,36.0,,78.0,26.0,,24.0,28.0
RAN022436,Adam Randall,RB,BAL,2026,5,174,20.0,20.0,24.2,2.124994664392718,,174,22.0,4.5,37.0,124.0,232.0,28.994844444444446,113.1534827008078,0.0142857142857142,32.8,66.0,71.0,49.0,74.0,74.0,95.0,24.0,89.0,1.0,4.0
BOE586077,Nate Boerkircher,TE,JAX,2026,2,56,24.9,7.8,23.6,0.6598944972073282,,56,25.0,,,,245.0,28.309500328731097,,0.010807374443738,25.5,18.0,99.0,,,,28.0,3.0,,7.0,24.0
CON046719,KC Concepcion,WR,CLE,2026,1,24,58.0,18.3,21.0,2.905750646806675,,24,21.0,,,,,,,,,11.0,21.0,,,,,,,,
ROU550040,Sam Roush,TE,CHI,2026,3,69,21.8,13.5,20.3,0.9800311174610914,,69,23.0,4.7,38.5,126.0,267.0,30.851577909270215,109.43338304286694,0.1014725200867626,30.363636363636363,22.0,89.0,56.0,93.0,90.0,97.0,84.0,78.0,76.0,37.0
DOU210628,Caleb Douglas,WR,MIA,2026,3,75,22.2,10.7,20.1,1.6058772158979842,,75,22.0,4.39,31.5,126.0,206.0,25.07236842105263,110.92747695232548,0.0705441511893124,66.61538461538461,32.0,63.0,22.0,6.0,70.0,67.0,13.0,85.0,23.0,40.0
COL362413,Kevin Coleman Jr.,WR,MIA,2026,5,177,11.2,21.8,19.3,1.1937556849448112,,177,22.0,4.49,38.5,126.0,179.0,25.681020408163267,88.08412866687621,0.0959888220120378,64.27272727272727,69.0,63.0,64.0,80.0,70.0,10.0,24.0,10.0,42.0,36.0
BER218265,Germie Bernard,WR,PIT,2026,2,47,29.7,10.1,19.3,1.5924279437639337,79.8,47,22.0,4.48,32.5,125.0,206.0,27.175455057234004,102.27869074327751,0.0768172608556877,57.30769230769231,21.0,63.0,61.0,11.0,64.0,67.0,67.0,59.0,27.0,26.0
KOZ404039,Tanner Koziol,TE,JAX,2026,5,164,7.8,24.8,19.0,0.4302746459991553,,164,,4.7,36.5,122.0,247.0,27.82262457939433,101.23612588609787,0.2093016163464471,67.5,65.0,,56.0,83.0,74.0,40.0,1.0,40.0,99.0,89.0
COL293648,Jonah Coleman,RB,DEN,2026,4,108,17.8,22.6,18.9,2.7728559177790104,73.0,108,23.0,,,,220.0,33.44723183391003,,0.3336302932409705,93.3846153846154,33.0,91.0,,,,74.0,100.0,,65.0,35.0
BEL267684,Chris Bell,WR,MIA,2026,3,94,17.8,17.5,17.4,2.596641750383491,71.9,94,22.0,,,,222.0,28.5,,0.065304755525787,60.0,41.0,63.0,,,,93.0,93.0,,19.0,30.0
HUR541377,Ted Hurst,WR,TAM,2026,3,84,24.0,18.4,16.5,1.9090100922344115,73.5,84,22.0,,,,,,,0.0946307344167866,76.66666666666667,37.0,63.0,,,,,,,40.0,54.0
BLA097235,Kaelon Black,RB,SFO,2026,3,90,33.5,16.1,16.4,1.5000298534258851,,90,24.0,,,,,,,0.0469905929425786,23.545454545454547,28.0,99.0,,,,,,,3.0,3.0
KLE258860,Marlin Klein,TE,HOU,2026,2,59,23.4,10.4,16.4,0.9044024373435149,,59,23.0,4.61,36.0,117.0,248.0,28.656147271531886,109.81912395047212,0.0138319672131147,12.0,19.0,89.0,22.0,77.0,39.0,43.0,8.0,79.0,8.0,4.0
KAC282861,Will Kacmarek,TE,MIA,2026,3,87,20.7,9.3,16.2,1.2389560601296374,,87,23.0,,,,,,,0.0048382437897169,16.75,29.0,89.0,,,,,,,3.0,9.0
LAN311008,Ja'Kobi Lane,WR,BAL,2026,3,80,20.9,11.7,16.1,2.4254240690486037,58.2,80,22.0,4.47,40.0,129.0,200.0,24.342105263157894,100.19127395630996,0.0412138438388229,41.083333333333336,35.0,63.0,56.0,90.0,84.0,48.0,6.0,51.0,5.0,10.0
00-0041035,De'Zhaun Stribling,WR,SFO,2026,2,33,35.8,11.2,15.1,1.3772529955404864,,33,,,,,,,,,,15.0,,,,,,,,,
STO806346,Eli Stowers,TE,PHI,2026,2,54,35.0,21.1,15.0,1.0665726482262223,76.8,54,23.0,4.51,45.5,135.0,239.0,29.088815789473685,115.53717093006233,0.1384841557561903,47.69230769230769,15.0,89.0,7.0,100.0,100.0,6.0,19.0,90.0,87.0,66.0
THO417520,Zavion Thomas,WR,CHI,2026,3,89,18.4,8.7,14.7,1.657843737084817,,89,21.0,4.28,36.0,,190.0,27.259183673469387,113.24225803830451,0.0254519922766368,24.166666666666668,39.0,21.0,3.0,51.0,,29.0,70.0,93.0,3.0,3.0
WIL143106,Antonio Williams,WR,WAS,2026,3,71,17.9,19.9,14.6,2.27215622732102,52.0,71,22.0,4.41,39.5,124.0,187.0,25.358989197530864,98.8820005463785,0.0998927901366925,71.23076923076923,31.0,63.0,28.0,88.0,58.0,22.0,18.0,44.0,45.0,49.0
WET055619,Kaden Wetjen,WR,PIT,2026,4,121,8.5,6.0,12.5,1.1800262734324667,,121,24.0,4.47,35.5,,193.0,28.498004620877968,96.6845793678391,0.009160482374768,13.166666666666666,49.0,99.0,56.0,42.0,,34.0,92.0,34.0,1.0,1.0
JOL735174,Justin Joly,TE,DEN,2026,5,152,7.5,12.2,11.3,1.9756972319686654,,152,22.0,,,,241.0,29.332236842105264,,0.0819779446540009,41.76923076923077,59.0,49.0,,,,13.0,31.0,,68.0,55.0
HIB564972,Matthew Hibner,TE,BAL,2026,4,133,7.1,12.6,11.1,0.9784054568488587,,133,24.0,4.57,37.0,116.0,251.0,30.549342105263158,115.09035160911509,0.0578208556149732,43.75,51.0,97.0,16.0,85.0,29.0,63.0,75.0,89.0,51.0,60.0
ALL015451,Drew Allar,QB,PIT,2026,3,76,11.0,9.4,10.5,7.14007367005292,,76,22.0,,,,228.0,27.033901163771294,,0.0836702081372075,27.53333333333333,40.0,40.0,,,,80.0,27.0,,26.0,41.0
NOW373761,Riley Nowakowski,TE,PIT,2026,5,169,7.3,17.3,10.3,0.8731652337130793,,169,24.0,4.66,33.5,119.0,250.0,32.0945945945946,106.02940823998897,0.0086610486891385,10.571428571428571,67.0,97.0,42.0,43.0,51.0,55.0,94.0,63.0,6.0,2.0
ALL532376,Kaytron Allen,RB,WAS,2026,6,187,4.7,17.9,9.8,1.4636331059996304,67.2,187,23.0,,,,216.0,30.12259472326919,,0.1742216280216549,76.73333333333333,71.0,91.0,,,,63.0,55.0,,19.0,19.0
CLA041524,Demond Claiborne,RB,MIN,2026,6,198,4.3,15.7,9.5,1.791056168123309,67.5,198,22.0,4.37,,122.0,188.0,26.972244897959182,103.10081469169418,0.4013037511436413,110.25,76.0,71.0,6.0,,63.0,3.0,1.0,51.0,86.0,50.0
BRO268113,Barion Brown,WR,NOR,2026,6,190,1.7,14.5,8.8,2.9270157509952712,,190,,4.4,,,177.0,24.683792898234476,94.44795437470115,0.0749778780363174,37.36363636363637,74.0,,24.0,,,7.0,8.0,25.0,26.0,7.0
00-0041561,Carson Beck,QB,ARI,2026,3,65,15.4,9.1,8.6,,,65,,,,,,,,,,35.0,,,,,,,,,
00-0041041,Oscar Delp,TE,NOR,2026,3,73,21.2,10.0,8.5,0.813899770121953,,73,,,,,,,,,,23.0,,,,,,,,,
VIR271235,Reggie Virgil,WR,ARI,2026,5,143,11.4,13.5,8.4,1.4511676164689982,,143,22.0,,,,,,,,,58.0,63.0,,,,,,,,
BRA836631,Chris Brazzell II,WR,CAR,2026,3,83,20.0,11.5,8.3,1.1334318780295165,70.2,83,22.0,,,,,,,0.0242306331800495,22.83333333333333,36.0,63.0,,,,,,,2.0,2.0
CUE040912,Josh Cuevas,TE,BAL,2026,5,173,6.4,10.0,8.1,0.7697320282590701,,173,22.0,4.65,34.0,118.0,245.0,30.619555555555557,104.80554687634617,0.0196644416381021,21.8,71.0,49.0,39.0,50.0,48.0,28.0,79.0,53.0,13.0,18.0
MIL303300,Jam Miller,RB,NWE,2026,7,245,6.1,10.1,7.7,2.0161316967434413,,245,22.0,,,,,,,,,96.0,71.0,,,,,,,,
END438361,Jack Endries,TE,CIN,2026,7,221,1.1,18.5,7.6,0.9513713556151937,,221,22.0,4.62,36.0,119.0,245.0,29.049586776859503,107.55439899298796,0.0606977213147812,54.72727272727273,87.0,49.0,28.0,77.0,51.0,28.0,19.0,70.0,53.0,78.0
LAW090280,Kendrick Law,WR,DET,2026,5,168,10.7,14.0,7.5,1.3827093778201338,,168,23.0,,,,,,,0.010193036261952,18.83333333333333,65.0,94.0,,,,,,,2.0,2.0
BEN687044,Dallen Bentley,TE,DEN,2026,7,256,2.1,15.9,7.4,0.6522274721777643,,256,25.0,4.62,35.0,118.0,253.0,30.792763157894736,111.06637936826918,0.0018684603886397,15.0,100.0,99.0,28.0,66.0,48.0,75.0,83.0,82.0,1.0,8.0
BEL597603,Skyler Bell,WR,BUF,2026,4,125,8.5,21.7,7.0,1.4934544534349021,,125,24.0,4.4,41.0,133.0,192.0,26.037037037037038,102.45201830476057,0.094925634295713,66.76923076923077,51.0,99.0,24.0,96.0,94.0,32.0,34.0,60.0,40.0,41.0
SAR527100,Elijah Sarratt,WR,BAL,2026,4,115,9.1,20.0,6.9,1.0509898011120264,67.4,115,23.0,,,,210.0,26.245333333333335,,0.0825479930191972,72.76923076923077,48.0,94.0,,,,74.0,40.0,,32.0,50.0
GRE361852,Taylen Green,QB,CLE,2026,6,182,1.9,22.6,6.8,3.2068346847230456,,182,23.0,4.36,43.5,134.0,227.0,26.229618671926364,125.63478352484341,0.1891913427371594,65.23076923076923,73.0,76.0,1.0,100.0,100.0,78.0,10.0,99.0,65.0,85.0
DAN490797,CJ Daniels,WR,LAR,2026,6,197,1.6,14.2,6.6,1.7111019598539683,,197,,,,,202.0,25.93243243243243,,0.0421274354923644,43.63636363636363,78.0,,,,,54.0,30.0,,6.0,13.0
HEN199637,Emmanuel Henderson Jr.,WR,SEA,2026,6,199,1.5,19.0,6.3,0.9868936037384692,,199,,,,,,,,0.0073967165794696,20.5,78.0,,,,,,,,1.0,2.0
