player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status,pred_qb_pass_yards,pred_qb_rush_yards,pred_qb_receptions,pred_rush_yards,pred_rec_yards,pred_rb_receptions,pred_wr_rec_yards,pred_wr_receptions,pred_te_rec_yards,pred_te_receptions,off_epa_rank,implied_team_total,injury_status_score
00-0038555,Tank Bigsby,RB,PHI,CHI,2026,3,1.7094013510311201,00-0038555,9225,historical_crosswalk,2026_03_PHI_CHI,2026-09-28 20:15:00-04:00,2.0,2.0,3.66,none,,,,9.847783174974136,1.533581096935824,0.6770187573010488,,,,,14.0,23.5,1.0
00-0034975,Justice Hill,RB,BAL,DAL,2026,3,1.6264356146111636,00-0034975,5995,sleeper_gsis,2026_03_BAL_DAL,2026-09-27 16:25:00-04:00,2.0,2.0,5.88,none,,,,4.532191595197807,5.25759292907187,0.8458630652862617,,,,,2.0,27.75,1.0
00-0039875,Ray Davis,RB,BUF,LAC,2026,3,1.4861065054445555,00-0039875,11575,historical_crosswalk,2026_03_LAC_BUF,2026-09-27 13:00:00-04:00,3.0,3.0,2.81,none,,,,5.621860843310068,2.8656584528137765,0.554981476469491,,,,,6.0,28.5,1.0
00-0037085,Tyler Badie,RB,DEN,LA,2026,3,1.434713072833568,00-0037085,8208,historical_crosswalk,2026_03_LA_DEN,2026-09-27 20:20:00-04:00,4.0,4.0,1.66,none,,,,3.1742502826783,2.8865863770547655,0.3983573313666699,,,,,20.0,21.5,1.0
00-0036265,AJ Dillon,RB,CAR,CLE,2026,3,1.3877274160747222,00-0036265,6828,historical_crosswalk,2026_03_CAR_CLE,2026-09-27 13:00:00-04:00,3.0,2.0,4.1,none,,,,12.397173240100843,1.7527761449899741,0.292988585654034,,,,,25.0,22.5,1.0
00-0029892,Kyle Juszczyk,RB,SF,ARI,2026,3,1.1910411522170221,00-0029892,1379,sleeper_gsis,2026_03_ARI_SF,2026-09-27 16:05:00-04:00,3.0,3.0,1.54,none,,,,1.723891790830281,10.06254776401483,0.8988307414271307,,,,,13.0,28.0,1.0
00-0038454,Keaton Mitchell,RB,LAC,BUF,2026,3,1.17299855607862,00-0038454,9511,historical_crosswalk,2026_03_LAC_BUF,2026-09-27 13:00:00-04:00,2.0,2.0,6.56,none,,,,5.791175458354225,2.2931051260408255,0.6586142953992518,,,,,28.0,21.5,1.0
00-0036425,DeeJay Dallas,RB,MIN,TB,2026,3,1.1321483933665606,00-0036425,6931,historical_crosswalk,2026_03_MIN_TB,2026-09-27 16:05:00-04:00,3.0,3.0,3.29,none,,,,5.272333451928913,0.7086911003020401,0.17277215749823444,,,,,23.0,22.0,1.0
00-0039794,Braelon Allen,RB,NYJ,DET,2026,3,1.0894666556503998,00-0039794,11576,historical_crosswalk,2026_03_NYJ_DET,2026-09-27 13:00:00-04:00,2.0,2.0,5.85,none,,,,5.703639652648348,3.2004134414528567,0.39570868923371966,,,,,30.0,20.75,1.0
sleeper:13424,Seth McGowan,RB,IND,HOU,2026,3,1.071505268534681,,13424,synthetic_sleeper,2026_03_HOU_IND,2026-09-27 13:00:00-04:00,2.0,2.0,1.45,none,,,,9.413250393283272,2.1964353760900797,1.1169738518663301,,,,,22.0,20.5,1.0
