season,team,person_id,week_start,week_end,ledger_games,pbp_games,epa_play,success_rate,yards_play,explosive_rate,neutral_pass_rate,early_down_pass_rate,redzone_pass_rate,proe,team_adot,seconds_per_play,drive_scoring_points_per_drive_proxy,redzone_td_rate,drive_scoring_points_per_game_proxy,plays_per_game,rb_carry_share,qb_carry_share,rb_target_share,wr_target_share,te_target_share,rz_rb_share,rz_wr_share,rz_te_share,rz_qb_share,z_epa_play,rankpct_epa_play,z_success_rate,rankpct_success_rate,z_yards_play,rankpct_yards_play,z_explosive_rate,z_drive_scoring_points_per_drive_proxy,rankpct_drive_scoring_points_per_drive_proxy,z_redzone_td_rate,z_drive_scoring_points_per_game_proxy,rankpct_drive_scoring_points_per_game_proxy,z_plays_per_game,z_neutral_pass_rate,z_early_down_pass_rate,z_redzone_pass_rate,z_proe,z_team_adot,z_seconds_per_play,z_rb_carry_share,z_qb_carry_share,z_rb_target_share,z_wr_target_share,z_te_target_share,z_rz_rb_share,z_rz_wr_share,z_rz_te_share,z_rz_qb_share,off_rank_composite
2014,ATL,dirk_koetter,1,99,16.0,16,0.009335120944576095,0.4415204678362573,5.901559454191033,0.08771929824561403,0.6263498920086393,0.60375,0.5847457627118644,2.8032719558849206,7.821086261980831,28.598351001177857,2.0813953488372094,0.6428571428571429,22.375,64.125,0.9130434782608695,0.06793478260869565,0.21348314606741572,0.6982343499197432,0.08828250401284109,0.5526315789473685,0.38596491228070173,0.06140350877192982,0.0,0.30820090054405147,0.65625,0.5222416026117466,0.71875,0.8572156275717921,0.78125,-0.3202460087244852,0.4836291188377486,0.71875,1.2222510938214433,0.320723107132896,0.625,0.34795287132899383,1.1324766905368966,1.1312494843738223,0.3345516244347297,0.9546886455771753,-0.571359243894781,-0.3473053218852453,0.6981389541409516,-0.49922164312760686,0.5530163543311871,1.36721465848868,-1.8658680736300173,0.8211921738173753,1.2182550175624451,-1.4894388985199718,-1.2224288307534992,0.7
2014,BAL,gary_kubiak,1,99,16.0,16,0.04969921039934627,0.43587174348697394,5.867735470941883,0.11122244488977956,0.5565610859728507,0.5224646983311938,0.4971751412429379,-2.4538035411201045,8.436131386861314,29.25925925925926,2.2045454545454546,0.5454545454545454,24.25,62.375,0.9327146171693735,0.060324825986078884,0.14972273567467653,0.5841035120147874,0.21626617375231053,0.5174418604651163,0.27906976744186046,0.12790697674418605,0.040697674418604654,0.798993673692186,0.78125,0.3481949937712195,0.65625,0.7813112692049371,0.75,1.3952309548973258,0.7908838947838516,0.78125,-0.08141030293853364,0.7708608013545044,0.75,-0.266969757291871,-0.488068406775041,-0.5789477571205095,-0.9487773221702246,-0.4427185871994606,0.04880100929455545,0.0630691117250068,1.002493200471852,-0.6472442060785392,-0.6374557162830837,-0.1469965194891118,0.14624743241410368,0.29774365677476955,-0.31792712951576335,-0.02750913614749454,-0.2527068803298026,0.74375
2014,BUF,nathaniel_hackett,1,99,16.0,16,-0.07615120371898947,0.4095427435387674,5.081510934393638,0.0775347912524851,0.5923694779116466,0.5602094240837696,0.583941605839416,0.30693015876127994,7.244791666666667,28.749685534591194,1.612565445026178,0.4489795918367347,19.25,62.875,0.9207161125319693,0.05115089514066496,0.25524475524475526,0.5611888111888111,0.16958041958041958,0.47692307692307695,0.3076923076923077,0.11538461538461539,0.05384615384615385,-0.7312396247993188,0.25,-0.46304536277567365,0.34375,-0.9830542267031478,0.15625,-1.0636054999905211,-0.686083454479572,0.25,-1.3726558768722235,-0.42950638323645135,0.4375,-0.09127757768590962,0.3434276066297726,0.2151801422385339,0.32276687545483895,0.2911246384080642,-1.1524466920899488,-0.2533379328024466,0.8168508818953573,-0.8256878981275796,1.332748307800433,-0.45101335462007963,-0.5877300357413988,-0.3049749233169636,0.09340525983694585,-0.3027851980571776,0.06058790365323784,0.2875
2014,CAR,mike_shula,1,99,16.0,16,-0.011498776371418669,0.4413727359389895,5.295519542421354,0.0886558627264061,0.5855263157894737,0.5324357405140759,0.49606299212598426,-2.3714148854078623,9.817343173431734,29.824499411071848,1.8381502890173411,0.5,19.875,65.5625,0.6774193548387096,0.221505376344086,0.0962962962962963,0.5925925925925926,0.2740740740740741,0.32,0.248,0.192,0.16,0.05487854452612937,0.53125,0.5176897367129796,0.6875,-0.5027977779675903,0.34375,-0.2518868729853537,-0.12325794735781193,0.5,-0.6897856214265218,-0.2794604851625819,0.46875,0.8530678876961328,0.18452457536840944,-0.3691626116403563,-0.9650756323887283,-0.42081848257729537,1.4414998806725838,0.41404083029187316,-2.947466053026591,2.487906142995339,-1.634981979375816,-0.034369109249897174,1.0550834803728233,-2.639212179195411,-0.7644284381581288,1.381432399009666,2.589963751483662,0.50625
2014,CIN,hue_jackson,1,99,16.0,16,-0.02128559529299559,0.4208955223880597,5.555223880597015,0.08955223880597014,0.527114967462039,0.48020434227330777,0.4236111111111111,-4.672676879375135,7.727634194831014,29.5451174289246,1.9076086956521738,0.5555555555555556,21.9375,62.8125,0.8643006263048016,0.10020876826722339,0.2150101419878296,0.5740365111561866,0.20892494929006086,0.539568345323741,0.2589928057553957,0.10071942446043165,0.10071942446043165,-0.06412079532524251,0.46875,-0.11324733096226734,0.5,0.08000440145366132,0.625,-0.18646105836935772,0.05003810501195867,0.5625,0.05378421228102027,0.21569097848118735,0.59375,-0.1132391001366548,-1.1718279621841328,-1.4680819901364697,-2.0268426334983123,-1.0325274368648842,-0.6655885211953037,0.24056558424574825,-0.05601636142617795,0.12854515118221263,0.5815269298434438,-0.28055871449813874,0.03083121092340558,0.6268760336778171,-0.6064516472271958,-0.6251665675803882,1.1774585861224116,0.55
2014,CLE,kyle_shanahan,1,99,16.0,16,-0.07927311526924175,0.3728813559322034,5.1834496510468595,0.09471585244267199,0.526,0.46035805626598464,0.3949579831932773,-7.004657583283344,10.039920159680639,27.496871088861077,1.4631578947368422,0.5319148936170213,17.375,62.6875,0.9065817409766455,0.07218683651804671,0.09619238476953908,0.7014028056112225,0.20040080160320642,0.6260869565217392,0.2608695652173913,0.06086956521739131,0.05217391304347826,-0.7691993966650615,0.21875,-1.5926437984154114,0.09375,-0.7542936805750396,0.1875,0.19042721012146566,-1.0588495444865287,0.15625,-0.2626284829136788,-0.8796440774580597,0.1875,-0.15716214503814513,-1.1977182898298449,-1.8856367372655771,-2.4467481663233657,-1.6524018716515616,1.665927966616787,-1.0312416922103298,0.5981621713895429,-0.41651421801599714,-1.636922113852012,1.409251597085071,-0.10318252513717642,1.9138439516229078,-0.5794808770933011,-1.5011764514267232,0.020742663454270713,0.16875
2014,DAL,scott_linehan,1,99,16.0,16,0.11551241051361907,0.46546546546546547,6.1591591591591595,0.11311311311311312,0.49223946784922396,0.45031446540880504,0.5080645161290323,-7.504150512217133,9.0,32.77985074626866,2.5813953488372094,0.6346153846153846,27.75,62.4375,0.9554655870445344,0.03643724696356275,0.1932059447983015,0.5732484076433121,0.23142250530785563,0.5630252100840336,0.3025210084033613,0.13445378151260504,0.0,1.5992258461540825,0.96875,1.2600268755976476,0.875,1.4352948022529235,0.90625,1.5332294038746097,1.731109882979438,0.96875,1.1119412833263673,1.6111178305681735,0.9375,-0.24500823484112583,-1.9816615604960022,-2.096948266238322,-0.7891958350533759,-1.7851743669315918,0.617359132501466,2.2490922394260515,1.3544989649503973,-1.1118855759251265,0.17442026888545026,-0.29101474172534547,0.38453009613001393,0.975797866611398,0.019088903777422287,0.11640770054118105,-1.2224288307534992,0.93125
2014,DEN,adam_gase,1,99,16.0,16,0.09892154988667164,0.46264367816091956,6.193486590038314,0.11302681992337164,0.5831381733021077,0.5451219512195122,0.632768361581921,1.1641961386805522,8.464462809917356,28.96781883194279,2.456989247311828,0.6721311475409836,28.5625,65.25,0.9478672985781991,0.026066350710900472,0.1625207296849088,0.6782752902155887,0.15920398009950248,0.4685714285714286,0.3942857142857143,0.13142857142857142,0.005714285714285714,1.3974951839242813,0.90625,1.1730829072151627,0.84375,1.5123289468145438,0.9375,1.5269309289784538,1.4207214457898951,0.90625,1.614061896126353,1.8061774980642036,1.0,0.7432602754424069,0.12907022932903728,-0.10225184046733161,1.0383126596697057,0.5189984213573517,0.07736805549147163,-0.11789352390360623,1.2369373245017843,-1.3136116460652505,-0.39850407944096544,1.1024112814108316,-0.7508648702056966,-0.4292060377754806,1.337832642053659,0.049905233916085465,-1.0862719528164577,0.91875
2014,DET,joe_lombardi,1,99,16.0,16,-0.010979172405042545,0.41544477028348,5.347018572825024,0.08504398826979472,0.6348195329087049,0.5829081632653061,0.5986842105263158,1.7218049054825177,8.045075125208681,30.420549581839904,1.7471264367816093,0.5416666666666666,19.0,63.9375,0.896551724137931,0.0636604774535809,0.2745762711864407,0.5813559322033899,0.13220338983050847,0.5972222222222222,0.2569444444444444,0.09722222222222222,0.020833333333333332,0.06119648393814724,0.59375,-0.28119408509142296,0.375,-0.38722886846004295,0.4375,-0.5155148679776334,-0.3503589568421139,0.40625,-0.132108246145866,-0.48952474246599914,0.40625,0.2820683039767583,1.3291477014946604,0.6927489072759191,0.5388166307916309,0.6672189527597718,-0.34550753885449076,0.7841432586414787,0.4429765347148172,-0.5823618810120258,1.693687481018674,-0.18344956004480162,-1.175358920604318,1.484479835751072,-0.6358884947228706,-0.7020447243587219,-0.7260235466080355,0.44375
2014,GB,mike_mccarthy,1,99,16.0,16,0.13693440597017525,0.46687054026503566,6.322120285423038,0.11824668705402651,0.6020833333333333,0.5417201540436457,0.6256684491978609,2.4022540985155665,8.069029850746269,30.37641154328733,2.6932515337423313,0.5967741935483871,27.4375,61.3125,0.8361445783132531,0.07951807228915662,0.16195856873822975,0.6779661016949152,0.15065913370998116,0.3770491803278688,0.3825136612021858,0.12568306010928962,0.04918032786885246,1.8596989721060775,1.0,1.3033195712420191,0.90625,1.8009956612169769,0.96875,1.9079250976051472,2.010186761018269,1.0,0.6054650566446803,1.5360948815312387,0.90625,-0.6403156389545389,0.5689901527426658,-0.17382374863338992,0.9342649444886918,0.8480922585403563,-0.32135358973188305,0.7567368488255957,-0.4916501498907489,-0.27391310183984596,-0.40900019924460607,1.0983091761192176,-0.8852040241940174,-1.7906032636060436,1.1686573459385963,-0.07639696135003397,-0.050586848508470145,0.95625
