season,team_name,evidence,source_url
2020,New York Jets,"Amidst heavy criticism, Head Coach Adam Gase gave up offensive play calling duties, instead leaving it to Offensive Coordinator Dowell Loggains.",https://en.wikipedia.org/wiki/2020_New_York_Jets_season
2020,New York Jets,"After the game Williams drew criticism for his play call from the media, players, and coach Adam Gase and after discussions between Gase and team administrators, Williams was relieved of his duties the following day.",https://en.wikipedia.org/wiki/2020_New_York_Jets_season
2020,Philadelphia Eagles,This left many fans and media questioning Pederson's play calling creativity.,https://en.wikipedia.org/wiki/2020_Philadelphia_Eagles_season
2020,Tennessee Titans,"inst the Baltimore Ravens in the Wild Card round of the playoffs, Vrabel revealed that outside linebackers coach Shane Bowen was defensive coordinator in all but title, and that Bowen made the defensive play calls.",https://en.wikipedia.org/wiki/2020_Tennessee_Titans_season
2021,Los Angeles Chargers,"com/sports/chargers/story/2022-01-13/brandon-staley-chargers-fourth-down-playcalling-nfl |website=Los Angeles Times |date=13 January 2022 |access-date=15 March 2022}} Later in the season, Staley was criticized after failed conversion attempts in overtime losses to the Chiefs and Raiders.",https://en.wikipedia.org/wiki/2021_Los_Angeles_Chargers_season
2021,Miami Dolphins,"On May 26, Tua Tagovailoa, when reflecting on the 2020 season, said he wasn't comfortable calling plays and he didn't know the playbook really well.",https://en.wikipedia.org/wiki/2021_Miami_Dolphins_season
2022,New England Patriots,"Former defensive coordinator Matt Patricia was given offensive playcalling duties and former special teams coordinator Joe Judge was named quarterbacks coach, despite both having no prior offensive coaching experience.",https://en.wikipedia.org/wiki/2022_New_England_Patriots_season
2024,Cleveland Browns,It was later announced that head coach Kevin Stefanski would relinquish playcalling duties to offensive coordinator Ken Dorsey moving forward.,https://en.wikipedia.org/wiki/2024_Cleveland_Browns_season
2024,Los Angeles Rams,"For the Rams' exhibition matchup against the Chargers, assistant head coach/pass game coordinator Aubrey Pleasant served as head coach, calling plays and making decisions from the sideline while Sean McVay watched the game from the coach's booth.",https://en.wikipedia.org/wiki/2024_Los_Angeles_Rams_season
2025,Los Angeles Rams,"As had been done for the previous season, assistant head coach/pass game coordinator Aubrey Pleasant served as head coach for the Rams' exhibition matchup against the Chargers, calling plays and making decisions from the sideline while Sean McVay watched the game from the coach's booth.",https://en.wikipedia.org/wiki/2025_Los_Angeles_Rams_season
2025,New York Jets,Defensive backs/pass game coordinator Chris Harris took over as the team’s defensive play-caller.,https://en.wikipedia.org/wiki/2025_New_York_Jets_season
2025,New York Jets,{{cite web |last1=Weir |first1=Susanna |title=Jets Make Change at Defensive Coordinator; Chris Harris Will Handle Play-Calling Duties |url=https://www.,https://en.wikipedia.org/wiki/2025_New_York_Jets_season
