season,team,plays,games,epa_play,success_rate,yards_play,explosive_rate,pass_rate,plays_per_game,proe,neutral_pass_rate,early_down_pass_rate,redzone_pass_rate,drive_scoring_points_per_drive_proxy,n_drives,redzone_td_rate,seconds_per_play
1999,ARI,982,16,-0.19572142878023202,0.3533604887983707,4.0784114052953155,0.062118126272912425,0.6384928716904277,61.375,,0.5697940503432495,0.5555555555555556,0.4782608695652174,1.103960396039604,202,0.5121951219512195,
1999,ATL,914,16,-0.11660110988442277,0.3730853391684901,4.915754923413567,0.07768052516411379,0.6083150984682714,57.125,,0.547911547911548,0.5458392101551481,0.5660377358490566,1.4207650273224044,184,0.5365853658536586,
1999,BAL,955,15,-0.13946029543524296,0.3539267015706806,4.676439790575916,0.07853403141361257,0.6115183246073298,63.666666666666664,,0.576837416481069,0.5347885402455662,0.48672566371681414,1.3990147783251232,204,0.38095238095238093,
1999,BUF,1023,16,-0.020228858373840194,0.40175953079178883,5.191593352883675,0.08211143695014662,0.5884652981427175,63.9375,,0.5620608899297423,0.5166666666666667,0.49640287769784175,1.6630434782608696,186,0.47058823529411764,
1999,CAR,963,16,0.014542104450210973,0.4205607476635514,5.844236760124611,0.10176531671858775,0.6656282450674974,60.1875,,0.617948717948718,0.603494623655914,0.6153846153846154,2.1518324607329844,195,0.48148148148148145,
1999,CHI,1091,16,-0.08114441194271461,0.3987167736021998,4.992667277726856,0.076076993583868,0.6801099908340972,68.1875,,0.6186770428015564,0.6253041362530414,0.6722689075630253,1.2871287128712872,203,0.38095238095238093,
1999,CIN,1012,16,-0.07535289605851817,0.40118577075098816,5.08399209486166,0.07608695652173914,0.650197628458498,63.25,,0.5851648351648352,0.6171052631578947,0.5796178343949044,1.3421052631578947,190,0.42592592592592593,
1999,CLE,853,16,-0.12692794751964334,0.3481828839390387,4.351699882766706,0.06799531066822978,0.6729191090269636,53.3125,,0.5944700460829493,0.616822429906542,0.5921052631578947,1.1912568306010929,183,0.7241379310344828,
1999,DAL,997,16,-0.016707815413191236,0.39518555667001004,5.152457372116349,0.09829488465396188,0.5275827482447342,62.3125,,0.5355648535564853,0.46344647519582244,0.4296875,1.6349206349206349,189,0.574468085106383,
1999,DEN,1033,16,-0.04874158656373864,0.40077444336882867,5.060987415295257,0.07938044530493708,0.5866408518877058,64.5625,,0.571157495256167,0.5340050377833753,0.44366197183098594,1.5104166666666667,193,0.3958333333333333,
1999,DET,951,16,-0.06506112387729111,0.38275499474237645,5.0988433228180865,0.08622502628811778,0.668769716088328,59.4375,,0.6402569593147751,0.5938375350140056,0.574468085106383,1.5080213903743316,187,0.5833333333333334,
1999,GB,1008,16,-0.03612242608702954,0.40476190476190477,5.333333333333333,0.09325396825396826,0.6418650793650794,63.0,,0.6060037523452158,0.5795454545454546,0.6394557823129252,1.7210526315789474,191,0.5084745762711864,
1999,IND,949,16,0.054305186827831,0.41201264488935724,5.859852476290833,0.09799789251844046,0.5922023182297155,59.3125,,0.6124721603563474,0.5224274406332454,0.5314685314685315,2.189944134078212,180,0.48214285714285715,
1999,JAX,1060,16,0.048139489071705316,0.42830188679245285,5.2377358490566035,0.08396226415094339,0.5735849056603773,66.25,,0.5867924528301887,0.5103030303030303,0.45901639344262296,1.9175824175824177,184,0.46153846153846156,
1999,KC,1029,16,-0.006927355024915957,0.391642371234208,5.141885325558795,0.08357628765792031,0.5131195335276968,64.3125,,0.47717842323651455,0.46262886597938147,0.39,1.5072463768115942,209,0.625,
1999,LA,894,15,0.1451768847588268,0.47144456886898095,6.625279642058166,0.12416107382550336,0.5906040268456376,59.6,,0.6473988439306358,0.5508474576271186,0.5503875968992248,2.458823529411765,170,0.6730769230769231,
1999,LAC,1021,16,-0.15181220555746383,0.3555337904015671,4.357492654260529,0.061704211557296766,0.6258570029382958,63.8125,,0.5915221579961464,0.5525291828793775,0.5695364238410596,1.260204081632653,196,0.38,
1999,LV,1039,16,0.0408949918946653,0.42540904716073147,5.433108758421559,0.10009624639076034,0.5717035611164581,64.9375,,0.570631970260223,0.5091575091575091,0.4472049689440994,1.931578947368421,190,0.5645161290322581,
1999,MIA,1049,16,-0.12197380266233278,0.3755958055290753,4.638703527168732,0.08293612964728313,0.6015252621544328,65.5625,,0.5584415584415584,0.5410447761194029,0.5448717948717948,1.5572139303482586,201,0.41509433962264153,
1999,MIN,962,16,0.013114045579781053,0.44386694386694386,5.944906444906445,0.11538461538461539,0.5883575883575883,60.125,,0.5912863070539419,0.5272244355909694,0.45517241379310347,2.0164835164835164,185,0.5333333333333333,
1999,NE,994,16,-0.11637137553863876,0.37122736418511065,5.083501006036217,0.08148893360160966,0.6096579476861167,62.125,,0.5770833333333333,0.5447368421052632,0.43846153846153846,1.3585858585858586,202,0.3829787234042553,
1999,NO,1031,16,-0.13575791827122352,0.36566440349175555,4.79243452958293,0.08244422890397672,0.5926285160038798,64.4375,,0.522,0.5328282828282829,0.4666666666666667,1.228855721393035,203,0.43478260869565216,
1999,NYG,1054,16,-0.09577766592836226,0.38425047438330173,4.8538899430740035,0.0683111954459203,0.6347248576850095,65.875,,0.5588235294117647,0.5804455445544554,0.5774647887323944,1.3969072164948453,194,0.5348837209302325,
1999,NYJ,973,16,-0.032400861681548994,0.3895169578622816,4.861253854059609,0.08324768756423433,0.5560123329907503,60.8125,,0.5288640595903166,0.5062068965517241,0.5038759689922481,1.518716577540107,187,0.42,
1999,PHI,923,16,-0.19873094229080965,0.3315276273022752,4.1105092091007585,0.06608884073672806,0.6121343445287107,57.6875,,0.5623471882640587,0.5345080763582967,0.620253164556962,1.1044776119402986,202,0.41379310344827586,
1999,PIT,1040,16,-0.07022146547862293,0.41634615384615387,4.617307692307692,0.0673076923076923,0.5865384615384616,65.0,,0.5625,0.538558786346397,0.5,1.528205128205128,196,0.5384615384615384,
1999,SEA,948,16,-0.08654356419263226,0.3829113924050633,5.0548523206751055,0.09282700421940929,0.5981012658227848,59.25,,0.6278026905829597,0.5454545454545454,0.5,1.6062176165803108,195,0.4666666666666667,
1999,SF,991,16,-0.0421913280900789,0.4177598385469223,5.369323915237135,0.08779011099899092,0.627648839556004,61.9375,,0.5571776155717761,0.5706806282722513,0.5702479338842975,1.4438202247191012,178,0.4666666666666667,
1999,TB,968,16,-0.15160627415284408,0.35020661157024796,4.333677685950414,0.07954545454545454,0.53099173553719,60.5,,0.5346534653465347,0.45228215767634855,0.49137931034482757,1.280612244897959,199,0.375,
1999,TEN,982,16,0.009795515210877978,0.40427698574338083,5.3370672097759675,0.08757637474541752,0.59979633401222,61.375,,0.592901878914405,0.5508586525759577,0.5035971223021583,1.8177083333333333,194,0.6037735849056604,
1999,WAS,999,16,0.07542953653840725,0.44344344344344344,5.901901901901902,0.11211211211211211,0.5725725725725725,62.4375,,0.5404761904761904,0.5153846153846153,0.36879432624113473,2.141361256544503,191,0.6078431372549019,
2000,ARI,920,16,-0.15433958049893245,0.3858695652173913,4.803260869565217,0.07717391304347826,0.6521739130434783,57.5,,0.5729442970822282,0.5962643678160919,0.576,1.1477272727272727,177,0.34782608695652173,
2000,ATL,912,16,-0.22816774991484576,0.3607456140350877,4.316885964912281,0.06469298245614036,0.6348684210526315,57.0,,0.5653153153153153,0.5732574679943101,0.56,1.1703296703296704,182,0.358974358974359,
2000,BAL,1049,16,-0.06035233825875739,0.4013346043851287,4.694947569113442,0.08579599618684461,0.5376549094375596,65.5625,,0.545816733067729,0.44746600741656367,0.4472049689440994,1.5714285714285714,196,0.3888888888888889,
