season,team,prior_qb_id,prior_qb_epa_play,prior_qb_cpoe,qb_returns,ret_qb_attempt_share,ret_rb_carry_share,ret_wrte_target_share,relocated,vacated_rush_share,vacated_target_share,ret_skill_fantasy_share,prior_epa_play,prior_success_rate,prior_points_per_drive,prior_plays,prior_pass_rate,prior_ol_sack_rate
1999,ARI,,,,,,,,0.0,,,,,,,,,
1999,ATL,,,,,,,,0.0,,,,,,,,,
1999,BAL,,,,,,,,0.0,,,,,,,,,
1999,BUF,,,,,,,,0.0,,,,,,,,,
1999,CAR,,,,,,,,0.0,,,,,,,,,
1999,CHI,,,,,,,,0.0,,,,,,,,,
1999,CIN,,,,,,,,0.0,,,,,,,,,
1999,CLE,,,,,,,,0.0,,,,,,,,,
1999,DAL,,,,,,,,0.0,,,,,,,,,
1999,DEN,,,,,,,,0.0,,,,,,,,,
1999,DET,,,,,,,,0.0,,,,,,,,,
1999,GB,,,,,,,,0.0,,,,,,,,,
1999,HOU,,,,,,,,0.0,,,,,,,,,
1999,IND,,,,,,,,0.0,,,,,,,,,
1999,JAX,,,,,,,,0.0,,,,,,,,,
1999,KC,,,,,,,,0.0,,,,,,,,,
1999,LA,,,,,,,,0.0,,,,,,,,,
1999,LAC,,,,,,,,0.0,,,,,,,,,
1999,LV,,,,,,,,0.0,,,,,,,,,
1999,MIA,,,,,,,,0.0,,,,,,,,,
1999,MIN,,,,,,,,0.0,,,,,,,,,
1999,NE,,,,,,,,0.0,,,,,,,,,
1999,NO,,,,,,,,0.0,,,,,,,,,
1999,NYG,,,,,,,,0.0,,,,,,,,,
1999,NYJ,,,,,,,,0.0,,,,,,,,,
1999,PHI,,,,,,,,0.0,,,,,,,,,
1999,PIT,,,,,,,,0.0,,,,,,,,,
1999,SEA,,,,,,,,0.0,,,,,,,,,
1999,SF,,,,,,,,0.0,,,,,,,,,
1999,TB,,,,,,,,0.0,,,,,,,,,
1999,TEN,,,,,,,,0.0,,,,,,,,,
1999,WAS,,,,,,,,0.0,,,,,,,,,
2000,ARI,00-0013042,-0.1812579096487205,,1.0,1.0,1.0,0.9854368932038835,0.0,0.0,0.014563106796116498,0.9927184466019418,-0.195721428780232,0.3533604887983707,1.3613861386138617,982.0,0.6384928716904277,0.0751252086811352
2000,ATL,00-0002876,-0.03027899291955178,,1.0,1.0,0.08970099667774087,0.9234972677595629,0.0,0.9102990033222591,0.07650273224043713,0.5065991322186518,-0.1166011098844227,0.3730853391684901,1.625,914.0,0.6083150984682714,0.0897435897435897
2000,BAL,00-0000722,-0.10141422971065996,,1.0,1.0,1.0,0.7092731829573935,0.0,0.0,0.2907268170426065,0.8546365914786967,-0.1394602954352429,0.3539267015706806,1.607843137254902,955.0,0.6115183246073298,0.0922242314647378
2000,BUF,00-0005363,0.014265598361974155,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.0202288583738401,0.4017595307917888,1.8655913978494625,1023.0,0.5884652981427175,0.0489642184557438
2000,CAR,00-0001218,0.11894725618655941,,1.0,0.9983818770226537,0.5890909090909091,0.8957871396895787,0.0,0.4109090909090909,0.10421286031042132,0.7424390243902439,0.0145421044502109,0.4205607476635514,2.405128205128205,963.0,0.6656282450674974,0.0806451612903225
2000,CHI,00-0010560,-0.07307637841460005,,1.0,1.0,0.98125,1.0,0.0,0.018750000000000044,0.0,0.990625,-0.0811444119427146,0.3987167736021998,1.6403940886699508,1091.0,0.6801099908340972,0.0534458509142053
2000,CIN,00-0001335,-0.053846307017581155,,1.0,1.0,0.9706744868035191,0.9949622166246851,0.0,0.029325513196480912,0.005037783375314908,0.982818351714102,-0.0753528960585181,0.4011857707509881,1.5947368421052632,1012.0,0.650197628458498,0.0827702702702702
2000,CLE,00-0003535,-0.15698456677451733,,1.0,1.0,0.953125,0.8468468468468469,0.0,0.046875,0.15315315315315314,0.8999859234234234,-0.1269279475196433,0.3481828839390387,1.371584699453552,853.0,0.6729191090269636,0.1098901098901098
2000,DAL,00-0000104,0.053787871263063794,,1.0,1.0,1.0,0.8100263852242744,0.0,0.0,0.1899736147757256,0.9050131926121372,-0.0167078154131912,0.39518555667001,1.8994708994708995,997.0,0.5275827482447342,0.0463320463320463
2000,DEN,00-0006423,0.0028217324147889818,,1.0,0.8492201039861352,0.8845208845208845,1.0,0.0,0.11547911547911549,0.0,0.9422604422604423,-0.0487415865637386,0.4007744433688286,1.7202072538860105,1033.0,0.5866408518877058,0.0589254766031195
2000,DET,00-0005589,0.047028298491847705,,1.0,1.0,0.4541984732824427,0.9952267303102625,0.0,0.5458015267175573,0.004773269689737458,0.7247126017963527,-0.0650611238772911,0.3827549947423764,1.7165775401069518,951.0,0.668769716088328,0.1024390243902439
2000,GB,00-0005106,0.00750818572070926,,1.0,1.0,1.0,0.963302752293578,0.0,0.0,0.03669724770642202,0.981651376146789,-0.0361224260870295,0.4047619047619047,1.8848167539267016,1008.0,0.6418650793650794,0.0552922590837282
2000,HOU,,,,,,,,0.0,,,,,,,,,
2000,IND,00-0010346,0.1940681815668235,,1.0,0.9764492753623188,0.9651474530831099,1.0,0.0,0.034852546916890104,0.0,0.982573726541555,0.054305186827831,0.4120126448893572,2.361111111111111,949.0,0.5922023182297155,0.0252707581227436
2000,JAX,00-0002110,0.11248561464965967,,1.0,1.0,0.9484304932735426,1.0,0.0,0.05156950672645744,0.0,0.9742152466367713,0.0481394890717053,0.4283018867924528,2.0489130434782608,1060.0,0.5735849056603773,0.0631578947368421
2000,KC,00-0006300,0.07763983044928832,,1.0,1.0,0.26294820717131473,0.9464285714285714,0.0,0.7370517928286853,0.0535714285714286,0.6046883892999431,-0.0069273550249159,0.391642371234208,1.7272727272727273,1029.0,0.5131195335276968,0.0498084291187739
2000,LA,00-0017200,0.3106088419463907,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.1451768847588268,0.4714445688689809,2.723529411764706,894.0,0.5906040268456376,0.0590551181102362
2000,LAC,00-0006808,-0.07725352059844302,,1.0,0.7609046849757674,0.9338842975206612,0.8490566037735849,0.0,0.06611570247933884,0.15094339622641506,0.891470450647123,-0.1518122055574638,0.3555337904015671,1.4438775510204085,1021.0,0.6258570029382958,0.072463768115942
2000,LV,00-0005741,0.10205185470694189,,1.0,1.0,1.0,0.9713467048710601,0.0,0.0,0.028653295128939882,0.9856733524355301,0.0408949918946653,0.4254090471607314,2.284210526315789,1039.0,0.5717035611164581,0.0867256637168141
2000,MIA,00-0010379,-0.10927732995758697,,0.0,0.39087947882736157,0.6700251889168766,0.8905852417302799,0.0,0.32997481108312343,0.10941475826972014,0.7803052153235782,-0.1219738026623327,0.3755958055290753,1.9751243781094527,1049.0,0.6015252621544328,0.060064935064935
2000,MIN,00-0005885,0.1347862181163302,,1.0,1.0,0.6415584415584416,0.9908045977011494,0.0,0.35844155844155845,0.00919540229885063,0.8161815196297955,0.013114045579781,0.4438669438669438,2.372972972972973,962.0,0.5883575883575883,0.0755395683453237
2000,NE,00-0001361,-0.06657068395896118,,1.0,0.9983050847457627,0.8972222222222223,1.0,0.0,0.10277777777777775,0.0,0.9486111111111111,-0.1163713755386387,0.3712273641851106,1.4702970297029705,994.0,0.6096579476861167,0.0945945945945946
2000,NO,00-0016534,-0.07227653548117853,,1.0,1.0,0.8083989501312336,0.828125,0.0,0.19160104986876636,0.171875,0.8182619750656168,-0.1357579182712235,0.3656644034917555,1.4630541871921183,1031.0,0.5926285160038798,0.0681431005110732
2000,NYG,00-0003292,-0.020746547769794225,,1.0,1.0,0.6446540880503144,0.9862700228832952,0.0,0.35534591194968557,0.013729977116704761,0.8154620554668048,-0.0957776659283622,0.3842504743833017,1.7268041237113405,1054.0,0.6347248576850095,0.0640625
2000,NYJ,00-0010137,0.10066256560241038,,1.0,1.0,1.0,0.9191616766467066,0.0,0.0,0.08083832335329344,0.9595808383233533,-0.0324008616815489,0.3895169578622816,1.6898395721925137,973.0,0.5560123329907503,0.0729783037475345
2000,PHI,00-0012726,-0.21834607032505138,,1.0,1.0,0.9396551724137931,0.9106628242074928,0.0,0.06034482758620685,0.08933717579250722,0.925158998310643,-0.1987309422908096,0.3315276273022752,1.316831683168317,923.0,0.6121343445287107,0.0947775628626692
2000,PIT,00-0015700,-0.19947996744214325,,1.0,0.9982300884955753,1.0,0.9684466019417476,0.0,0.0,0.03155339805825241,0.9842233009708738,-0.0702214654786229,0.4163461538461538,1.7959183673469388,1040.0,0.5865384615384616,0.0651408450704225
2000,SEA,00-0009311,-0.0031043518516966316,,1.0,0.9349005424954792,1.0,0.8678756476683938,0.0,0.0,0.13212435233160624,0.9339378238341969,-0.0865435641926322,0.3829113924050633,1.7538461538461538,948.0,0.5981012658227848,0.0666666666666666
2000,SF,00-0005755,0.05680058897461345,,1.0,0.658703071672355,0.8958333333333334,0.9289473684210526,0.0,0.10416666666666663,0.07105263157894737,0.912390350877193,-0.0421913280900789,0.4177598385469223,1.6348314606741574,991.0,0.627648839556004,0.0578231292517006
2000,TB,00-0004293,-0.12840775124434914,,1.0,1.0,1.0,0.9260450160771704,0.0,0.0,0.07395498392282962,0.9630225080385852,-0.151606274152844,0.3502066115702479,1.4773869346733668,968.0,0.53099173553719,0.0865979381443299
2000,TEN,00-0011024,0.016022228654493383,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0097955152108779,0.4042769857433808,2.0051546391752577,982.0,0.59979633401222,0.0458715596330275
2000,WAS,00-0008442,0.09982617219869512,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0754295365384072,0.4434434434434434,2.408376963350785,999.0,0.5725725725725725,0.0531914893617021
2001,ARI,00-0013042,-0.1135143007697032,,1.0,1.0,1.0,0.8828125,0.0,0.0,0.1171875,0.94140625,-0.1543395804989324,0.3858695652173913,1.4180790960451977,920.0,0.6521739130434783,0.0583190394511149
2001,ATL,00-0002876,-0.18704043309252852,,1.0,0.7873462214411248,0.9738562091503268,1.0,0.0,0.02614379084967322,0.0,0.9869281045751634,-0.2281677499148457,0.3607456140350877,1.4230769230769231,912.0,0.6348684210526315,0.1070175438596491
2001,BAL,00-0000722,-0.08114743225000351,,1.0,1.0,1.0,0.9397260273972603,0.0,0.0,0.0602739726027397,0.9698630136986301,-0.0603523382587573,0.4013346043851287,1.739795918367347,1049.0,0.5376549094375596,0.0790441176470588
2001,BUF,00-0008612,-0.09298785766743653,,1.0,1.0,1.0,0.98,0.0,0.0,0.020000000000000018,0.99,-0.0579772991625941,0.4033696729435084,1.702020202020202,1009.0,0.6144697720515362,0.0944741532976827
2001,CAR,00-0001218,-0.013686433797949689,,1.0,0.9373996789727127,1.0,0.9786223277909739,0.0,0.0,0.02137767220902609,0.989311163895487,-0.0817593473523894,0.4051546391752577,1.838150289017341,970.0,0.6649484536082474,0.1073717948717948
2001,CHI,00-0011044,-0.2162412899656926,,1.0,0.9964850615114236,0.8486646884272997,0.851258581235698,0.0,0.1513353115727003,0.14874141876430202,0.8499616348314989,-0.1397594987061331,0.3918367346938775,1.175257731958763,980.0,0.6214285714285714,0.0597539543057996
2001,CIN,00-0015082,-0.3180486339013623,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.1695384130700248,0.3449691991786447,1.0846560846560849,974.0,0.5431211498973306,0.1022044088176352
2001,CLE,00-0012726,-0.25414790803946335,,1.0,0.9980657640232108,0.7534722222222222,0.9779005524861878,0.0,0.2465277777777778,0.02209944751381221,0.865686387354205,-0.2212849700315984,0.3180212014134275,0.9162303664921466,849.0,0.6325088339222615,0.0754352030947775
2001,DAL,00-0000104,-0.10694089594894163,,0.0,0.42616033755274263,0.8496042216358839,0.8092307692307692,0.0,0.1503957783641161,0.1907692307692308,0.8294174954333265,-0.0934845825434878,0.4087982832618025,1.7486631016042782,932.0,0.5257510729613734,0.0733752620545073
2001,DEN,00-0006423,0.25353178294851686,,1.0,1.0,0.9778761061946902,0.9801980198019802,0.0,0.02212389380530977,0.01980198019801982,0.9790370629983352,0.082433786188318,0.4531392174704277,2.512437810945274,1100.0,0.5590909090909091,0.0489038785834738
2001,DET,00-0000865,-0.15893224006658674,,1.0,0.8139963167587477,0.9173333333333333,0.9634464751958225,0.0,0.08266666666666667,0.036553524804177506,0.9403899042645779,-0.1400646914158329,0.3691683569979716,1.5242718446601942,987.0,0.585612968591692,0.0919117647058823
