season,team,person_id,role,games,team_games,exposure
2017,IND,rob_chudzinski,caller,16,16,1.0
2017,JAX,nathaniel_hackett,caller,16,16,1.0
2017,KC,andy_reid,caller,11,16,0.6875
2017,KC,matt_nagy,caller,5,16,0.3125
2017,LA,sean_mcvay,caller,16,16,1.0
2017,LAC,ken_whisenhunt,caller,16,16,1.0
2017,LV,todd_downing,caller,16,16,1.0
2017,MIA,adam_gase,caller,16,16,1.0
2017,MIN,pat_shurmur,caller,16,16,1.0
2017,NE,josh_mcdaniels,caller,16,16,1.0
2017,NO,sean_payton,caller,16,16,1.0
2017,NYG,ben_mcadoo,caller,5,16,0.3125
2017,NYG,mike_sullivan,caller,11,16,0.6875
2017,NYJ,john_morton,caller,16,16,1.0
2017,PHI,doug_pederson,caller,16,16,1.0
2017,PIT,todd_haley,caller,16,16,1.0
2017,SEA,darrell_bevell,caller,16,16,1.0
2017,SF,kyle_shanahan,caller,16,16,1.0
2017,TB,dirk_koetter,caller,16,16,1.0
2017,TEN,terry_robiskie,caller,16,16,1.0
2017,WAS,jay_gruden,caller,16,16,1.0
2018,ARI,mike_mccoy,caller,16,16,1.0
2018,ATL,steve_sarkisian,caller,16,16,1.0
2018,BAL,marty_mornhinweg,caller,16,16,1.0
2018,BUF,brian_daboll,caller,16,16,1.0
2018,CAR,norv_turner,caller,16,16,1.0
2018,CHI,matt_nagy,caller,16,16,1.0
2018,CIN,bill_lazor,caller,16,16,1.0
2018,CLE,freddie_kitchens,caller,8,16,0.5
2018,CLE,todd_haley,caller,8,16,0.5
2018,DAL,scott_linehan,caller,16,16,1.0
2018,DEN,bill_musgrave,caller,16,16,1.0
2018,DET,jim_bob_cooter,caller,16,16,1.0
2018,GB,mike_mccarthy,caller,16,16,1.0
2018,HOU,bill_obrien,caller,16,16,1.0
2018,IND,frank_reich,caller,16,16,1.0
2018,JAX,nathaniel_hackett,caller,16,16,1.0
2018,KC,andy_reid,caller,16,16,1.0
2018,LA,sean_mcvay,caller,16,16,1.0
2018,LAC,ken_whisenhunt,caller,16,16,1.0
2018,LV,jon_gruden,caller,16,16,1.0
2018,MIA,adam_gase,caller,16,16,1.0
2018,MIN,john_defilippo,caller,16,16,1.0
2018,NE,josh_mcdaniels,caller,16,16,1.0
2018,NO,sean_payton,caller,16,16,1.0
2018,NYG,pat_shurmur,caller,16,16,1.0
2018,NYJ,jeremy_bates,caller,16,16,1.0
2018,PHI,doug_pederson,caller,16,16,1.0
2018,PIT,randy_fichtner,caller,16,16,1.0
2018,SEA,brian_schottenheimer,caller,16,16,1.0
2018,SF,kyle_shanahan,caller,16,16,1.0
2018,TB,dirk_koetter,caller,16,16,1.0
2018,TEN,matt_lafleur,caller,16,16,1.0
2018,WAS,jay_gruden,caller,16,16,1.0
2019,CAR,norv_turner,caller,16,16,1.0
2019,CHI,matt_nagy,caller,16,16,1.0
2019,CIN,zac_taylor,caller,16,16,1.0
2019,CLE,freddie_kitchens,caller,16,16,1.0
2019,DAL,kellen_moore,caller,16,16,1.0
2019,DEN,rich_scangarello,caller,16,16,1.0
2019,GB,matt_lafleur,caller,16,16,1.0
2019,HOU,bill_obrien,caller,16,16,1.0
2019,IND,frank_reich,caller,16,16,1.0
2019,JAX,john_defilippo,caller,16,16,1.0
2019,KC,andy_reid,caller,16,16,1.0
2019,LA,sean_mcvay,caller,16,16,1.0
2019,LAC,ken_whisenhunt,caller,7,16,0.4375
2019,LAC,shane_steichen,caller,9,16,0.5625
2019,LV,jon_gruden,caller,16,16,1.0
2019,MIA,chad_oshea,caller,16,16,1.0
2019,MIN,kevin_stefanski,caller,16,16,1.0
2019,NYJ,adam_gase,caller,16,16,1.0
2019,PHI,doug_pederson,caller,16,16,1.0
2019,PIT,randy_fichtner,caller,16,16,1.0
2019,SEA,brian_schottenheimer,caller,16,16,1.0
2019,SF,kyle_shanahan,caller,16,16,1.0
2019,TB,byron_leftwich,caller,16,16,1.0
2019,TEN,arthur_smith,caller,16,16,1.0
2019,WAS,jay_gruden,caller,5,16,0.3125
2019,WAS,kevin_oconnell,caller,11,16,0.6875
2020,ARI,kliff_kingsbury,caller,16,16,1.0
2020,ATL,dirk_koetter,caller,16,16,1.0
2020,BAL,greg_roman,caller,16,16,1.0
