season,week,team,head_coach,game_id
1999,4,CLE,Chris Palmer,1999_04_NE_CLE
1999,4,DAL,Chan Gailey,1999_04_ARI_DAL
1999,4,DEN,Mike Shanahan,1999_04_NYJ_DEN
1999,4,JAX,Tom Coughlin,1999_04_JAX_PIT
1999,4,KC,Gunther Cunningham,1999_04_KC_SD
1999,4,LA,Dick Vermeil,1999_04_STL_CIN
1999,4,LAC,Mike Riley,1999_04_KC_SD
1999,4,LV,Jon Gruden,1999_04_OAK_SEA
1999,4,MIA,Jimmy Johnson,1999_04_BUF_MIA
1999,4,MIN,Dennis Green,1999_04_TB_MIN
1999,4,NE,Pete Carroll,1999_04_NE_CLE
1999,4,NO,Mike Ditka,1999_04_NO_CHI
1999,4,NYG,Jim Fassel,1999_04_PHI_NYG
1999,4,NYJ,Bill Parcells,1999_04_NYJ_DEN
1999,4,PHI,Andy Reid,1999_04_PHI_NYG
1999,4,PIT,Bill Cowher,1999_04_JAX_PIT
1999,4,SEA,Mike Holmgren,1999_04_OAK_SEA
1999,4,SF,Steve Mariucci,1999_04_TEN_SF
1999,4,TB,Tony Dungy,1999_04_TB_MIN
1999,4,TEN,Jeff Fisher,1999_04_TEN_SF
1999,4,WAS,Norv Turner,1999_04_CAR_WAS
1999,5,ARI,Vince Tobin,1999_05_NYG_ARI
1999,5,ATL,Dan Reeves,1999_05_ATL_NO
1999,5,BAL,Brian Billick,1999_05_BAL_TEN
1999,5,BUF,Wade Phillips,1999_05_PIT_BUF
1999,5,CHI,Dick Jauron,1999_05_CHI_MIN
1999,5,CIN,Bruce Coslet,1999_05_CIN_CLE
1999,5,CLE,Chris Palmer,1999_05_CIN_CLE
1999,5,DAL,Chan Gailey,1999_05_DAL_PHI
1999,5,DEN,Mike Shanahan,1999_05_DEN_OAK
1999,5,DET,Bobby Ross,1999_05_SD_DET
1999,5,GB,Ray Rhodes,1999_05_TB_GB
1999,5,IND,Jim Mora,1999_05_MIA_IND
1999,5,JAX,Tom Coughlin,1999_05_JAX_NYJ
1999,5,KC,Gunther Cunningham,1999_05_NE_KC
1999,5,LA,Dick Vermeil,1999_05_SF_STL
1999,5,LAC,Mike Riley,1999_05_SD_DET
1999,5,LV,Jon Gruden,1999_05_DEN_OAK
1999,5,MIA,Jimmy Johnson,1999_05_MIA_IND
1999,5,MIN,Dennis Green,1999_05_CHI_MIN
1999,5,NE,Pete Carroll,1999_05_NE_KC
1999,5,NO,Mike Ditka,1999_05_ATL_NO
1999,5,NYG,Jim Fassel,1999_05_NYG_ARI
1999,5,NYJ,Bill Parcells,1999_05_JAX_NYJ
1999,5,PHI,Andy Reid,1999_05_DAL_PHI
1999,5,PIT,Bill Cowher,1999_05_PIT_BUF
1999,5,SF,Steve Mariucci,1999_05_SF_STL
1999,5,TB,Tony Dungy,1999_05_TB_GB
1999,5,TEN,Jeff Fisher,1999_05_BAL_TEN
1999,6,ARI,Vince Tobin,1999_06_WAS_ARI
1999,6,ATL,Dan Reeves,1999_06_STL_ATL
1999,6,BUF,Wade Phillips,1999_06_OAK_BUF
1999,6,CAR,George Seifert,1999_06_CAR_SF
1999,6,CHI,Dick Jauron,1999_06_PHI_CHI
1999,6,CIN,Bruce Coslet,1999_06_PIT_CIN
1999,6,CLE,Chris Palmer,1999_06_CLE_JAX
1999,6,DAL,Chan Gailey,1999_06_DAL_NYG
1999,6,DEN,Mike Shanahan,1999_06_GB_DEN
1999,6,DET,Bobby Ross,1999_06_MIN_DET
1999,6,GB,Ray Rhodes,1999_06_GB_DEN
1999,6,IND,Jim Mora,1999_06_IND_NYJ
1999,6,JAX,Tom Coughlin,1999_06_CLE_JAX
1999,6,LA,Dick Vermeil,1999_06_STL_ATL
1999,6,LAC,Mike Riley,1999_06_SEA_SD
1999,6,LV,Jon Gruden,1999_06_OAK_BUF
1999,6,MIA,Jimmy Johnson,1999_06_MIA_NE
1999,6,MIN,Dennis Green,1999_06_MIN_DET
1999,6,NE,Pete Carroll,1999_06_MIA_NE
1999,6,NO,Mike Ditka,1999_06_TEN_NO
1999,6,NYG,Jim Fassel,1999_06_DAL_NYG
1999,6,NYJ,Bill Parcells,1999_06_IND_NYJ
1999,6,PHI,Andy Reid,1999_06_PHI_CHI
1999,6,PIT,Bill Cowher,1999_06_PIT_CIN
1999,6,SEA,Mike Holmgren,1999_06_SEA_SD
1999,6,SF,Steve Mariucci,1999_06_CAR_SF
1999,6,TEN,Jeff Fisher,1999_06_TEN_NO
1999,6,WAS,Norv Turner,1999_06_WAS_ARI
1999,7,ATL,Dan Reeves,1999_07_ATL_PIT
1999,7,BAL,Brian Billick,1999_07_KC_BAL
1999,7,BUF,Wade Phillips,1999_07_BUF_SEA
1999,7,CAR,George Seifert,1999_07_DET_CAR
1999,7,CHI,Dick Jauron,1999_07_CHI_TB
1999,7,CIN,Bruce Coslet,1999_07_CIN_IND
1999,7,CLE,Chris Palmer,1999_07_CLE_STL
1999,7,DAL,Chan Gailey,1999_07_WAS_DAL
1999,7,DEN,Mike Shanahan,1999_07_DEN_NE
1999,7,DET,Bobby Ross,1999_07_DET_CAR
1999,7,GB,Ray Rhodes,1999_07_GB_SD
1999,7,IND,Jim Mora,1999_07_CIN_IND
1999,7,KC,Gunther Cunningham,1999_07_KC_BAL
1999,7,LA,Dick Vermeil,1999_07_CLE_STL
1999,7,LAC,Mike Riley,1999_07_GB_SD
1999,7,LV,Jon Gruden,1999_07_NYJ_OAK
1999,7,MIA,Jimmy Johnson,1999_07_PHI_MIA
1999,7,MIN,Dennis Green,1999_07_SF_MIN
1999,7,NE,Pete Carroll,1999_07_DEN_NE
1999,7,NO,Mike Ditka,1999_07_NO_NYG
1999,7,NYG,Jim Fassel,1999_07_NO_NYG
1999,7,NYJ,Bill Parcells,1999_07_NYJ_OAK
1999,7,PHI,Andy Reid,1999_07_PHI_MIA
1999,7,PIT,Bill Cowher,1999_07_ATL_PIT
1999,7,SEA,Mike Holmgren,1999_07_BUF_SEA
1999,7,SF,Steve Mariucci,1999_07_SF_MIN
1999,7,TB,Tony Dungy,1999_07_CHI_TB
1999,7,WAS,Norv Turner,1999_07_WAS_DAL
1999,8,ARI,Vince Tobin,1999_08_NE_ARI
1999,8,ATL,Dan Reeves,1999_08_CAR_ATL
1999,8,BAL,Brian Billick,1999_08_BUF_BAL
1999,8,BUF,Wade Phillips,1999_08_BUF_BAL
1999,8,CAR,George Seifert,1999_08_CAR_ATL
1999,8,CHI,Dick Jauron,1999_08_CHI_WAS
1999,8,CIN,Bruce Coslet,1999_08_JAX_CIN
1999,8,CLE,Chris Palmer,1999_08_CLE_NO
1999,8,DAL,Chan Gailey,1999_08_DAL_IND
1999,8,DEN,Mike Shanahan,1999_08_MIN_DEN
1999,8,DET,Bobby Ross,1999_08_TB_DET
1999,8,GB,Ray Rhodes,1999_08_SEA_GB
1999,8,IND,Jim Mora,1999_08_DAL_IND
1999,8,JAX,Tom Coughlin,1999_08_JAX_CIN
1999,8,KC,Gunther Cunningham,1999_08_SD_KC
1999,8,LA,Dick Vermeil,1999_08_STL_TEN
1999,8,LAC,Mike Riley,1999_08_SD_KC
1999,8,LV,Jon Gruden,1999_08_MIA_OAK
1999,8,MIA,Jimmy Johnson,1999_08_MIA_OAK
1999,8,MIN,Dennis Green,1999_08_MIN_DEN
1999,8,NE,Pete Carroll,1999_08_NE_ARI
1999,8,NO,Mike Ditka,1999_08_CLE_NO
1999,8,NYG,Jim Fassel,1999_08_NYG_PHI
1999,8,PHI,Andy Reid,1999_08_NYG_PHI
1999,8,SEA,Mike Holmgren,1999_08_SEA_GB
1999,8,TB,Tony Dungy,1999_08_TB_DET
1999,8,TEN,Jeff Fisher,1999_08_STL_TEN
1999,8,WAS,Norv Turner,1999_08_CHI_WAS
1999,9,ARI,Vince Tobin,1999_09_ARI_NYJ
1999,9,ATL,Dan Reeves,1999_09_JAX_ATL
1999,9,BAL,Brian Billick,1999_09_BAL_CLE
1999,9,BUF,Wade Phillips,1999_09_BUF_WAS
1999,9,CAR,George Seifert,1999_09_PHI_CAR
1999,9,CHI,Dick Jauron,1999_09_CHI_GB
1999,9,CIN,Bruce Coslet,1999_09_CIN_SEA
1999,9,CLE,Chris Palmer,1999_09_BAL_CLE
1999,9,DAL,Chan Gailey,1999_09_DAL_MIN
1999,9,DEN,Mike Shanahan,1999_09_DEN_SD
1999,9,DET,Bobby Ross,1999_09_STL_DET
1999,9,GB,Ray Rhodes,1999_09_CHI_GB
1999,9,IND,Jim Mora,1999_09_KC_IND
1999,9,JAX,Tom Coughlin,1999_09_JAX_ATL
1999,9,KC,Gunther Cunningham,1999_09_KC_IND
1999,9,LA,Dick Vermeil,1999_09_STL_DET
1999,9,LAC,Mike Riley,1999_09_DEN_SD
1999,9,MIA,Jimmy Johnson,1999_09_TEN_MIA
1999,9,MIN,Dennis Green,1999_09_DAL_MIN
1999,9,NO,Mike Ditka,1999_09_TB_NO
1999,9,NYJ,Bill Parcells,1999_09_ARI_NYJ
1999,9,PHI,Andy Reid,1999_09_PHI_CAR
1999,9,PIT,Bill Cowher,1999_09_PIT_SF
1999,9,SEA,Mike Holmgren,1999_09_CIN_SEA
1999,9,SF,Steve Mariucci,1999_09_PIT_SF
1999,9,TB,Tony Dungy,1999_09_TB_NO
1999,9,TEN,Jeff Fisher,1999_09_TEN_MIA
1999,9,WAS,Norv Turner,1999_09_BUF_WAS
1999,10,ARI,Vince Tobin,1999_10_DET_ARI
1999,10,BAL,Brian Billick,1999_10_BAL_JAX
1999,10,BUF,Wade Phillips,1999_10_MIA_BUF
1999,10,CAR,George Seifert,1999_10_CAR_STL
1999,10,CHI,Dick Jauron,1999_10_MIN_CHI
1999,10,CIN,Bruce Coslet,1999_10_TEN_CIN
1999,10,CLE,Chris Palmer,1999_10_CLE_PIT
1999,10,DAL,Chan Gailey,1999_10_GB_DAL
1999,10,DEN,Mike Shanahan,1999_10_DEN_SEA
1999,10,DET,Bobby Ross,1999_10_DET_ARI
1999,10,GB,Ray Rhodes,1999_10_GB_DAL
1999,10,IND,Jim Mora,1999_10_IND_NYG
1999,10,JAX,Tom Coughlin,1999_10_BAL_JAX
1999,10,KC,Gunther Cunningham,1999_10_KC_TB
1999,10,LA,Dick Vermeil,1999_10_CAR_STL
1999,10,LAC,Mike Riley,1999_10_SD_OAK
1999,10,LV,Jon Gruden,1999_10_SD_OAK
1999,10,MIA,Jimmy Johnson,1999_10_MIA_BUF
1999,10,MIN,Dennis Green,1999_10_MIN_CHI
1999,10,NE,Pete Carroll,1999_10_NYJ_NE
1999,10,NO,Mike Ditka,1999_10_SF_NO
1999,10,NYG,Jim Fassel,1999_10_IND_NYG
1999,10,NYJ,Bill Parcells,1999_10_NYJ_NE
1999,10,PHI,Andy Reid,1999_10_WAS_PHI
1999,10,PIT,Bill Cowher,1999_10_CLE_PIT
1999,10,SEA,Mike Holmgren,1999_10_DEN_SEA
1999,10,SF,Steve Mariucci,1999_10_SF_NO
1999,10,TB,Tony Dungy,1999_10_KC_TB
1999,10,TEN,Jeff Fisher,1999_10_TEN_CIN
1999,10,WAS,Norv Turner,1999_10_WAS_PHI
1999,11,ARI,Vince Tobin,1999_11_DAL_ARI
1999,11,ATL,Dan Reeves,1999_11_ATL_TB
1999,11,BAL,Brian Billick,1999_11_BAL_CIN
1999,11,BUF,Wade Phillips,1999_11_BUF_NYJ
1999,11,CAR,George Seifert,1999_11_CAR_CLE
1999,11,CHI,Dick Jauron,1999_11_CHI_SD
1999,11,CIN,Bruce Coslet,1999_11_BAL_CIN
1999,11,CLE,Chris Palmer,1999_11_CAR_CLE
1999,11,DAL,Chan Gailey,1999_11_DAL_ARI
1999,11,DEN,Mike Shanahan,1999_11_OAK_DEN
1999,11,DET,Bobby Ross,1999_11_DET_GB
1999,11,GB,Ray Rhodes,1999_11_DET_GB
1999,11,IND,Jim Mora,1999_11_IND_PHI
1999,11,JAX,Tom Coughlin,1999_11_NO_JAX
1999,11,KC,Gunther Cunningham,1999_11_SEA_KC
1999,11,LA,Dick Vermeil,1999_11_STL_SF
1999,11,LAC,Mike Riley,1999_11_CHI_SD
1999,11,LV,Jon Gruden,1999_11_OAK_DEN
1999,11,MIA,Jimmy Johnson,1999_11_NE_MIA
1999,11,NE,Pete Carroll,1999_11_NE_MIA
1999,11,NO,Mike Ditka,1999_11_NO_JAX
1999,11,NYG,Jim Fassel,1999_11_NYG_WAS
1999,11,NYJ,Bill Parcells,1999_11_BUF_NYJ
1999,11,PHI,Andy Reid,1999_11_IND_PHI
1999,11,PIT,Bill Cowher,1999_11_PIT_TEN
1999,11,SEA,Mike Holmgren,1999_11_SEA_KC
1999,11,SF,Steve Mariucci,1999_11_STL_SF
1999,11,TB,Tony Dungy,1999_11_ATL_TB
1999,11,TEN,Jeff Fisher,1999_11_PIT_TEN
1999,11,WAS,Norv Turner,1999_11_NYG_WAS
1999,12,ARI,Vince Tobin,1999_12_ARI_NYG
1999,12,ATL,Dan Reeves,1999_12_ATL_CAR
1999,12,BAL,Brian Billick,1999_12_JAX_BAL
1999,12,BUF,Wade Phillips,1999_12_NE_BUF
1999,12,CAR,George Seifert,1999_12_ATL_CAR
1999,12,CHI,Dick Jauron,1999_12_CHI_DET
1999,12,CIN,Bruce Coslet,1999_12_CIN_PIT
1999,12,CLE,Chris Palmer,1999_12_TEN_CLE
1999,12,DAL,Chan Gailey,1999_12_MIA_DAL
1999,12,DET,Bobby Ross,1999_12_CHI_DET
1999,12,GB,Ray Rhodes,1999_12_GB_SF
1999,12,IND,Jim Mora,1999_12_NYJ_IND
1999,12,JAX,Tom Coughlin,1999_12_JAX_BAL
1999,12,KC,Gunther Cunningham,1999_12_KC_OAK
1999,12,LA,Dick Vermeil,1999_12_NO_STL
1999,12,LAC,Mike Riley,1999_12_SD_MIN
1999,12,LV,Jon Gruden,1999_12_KC_OAK
1999,12,MIA,Jimmy Johnson,1999_12_MIA_DAL
