player,position,team,our_proj,our_rank,adp_rank,value,call,tier,reason,contested,injury_return,years_exp,age,sleeper_rank,sleeper_agrees
Brian Robinson,RB,ATL,102.8740560422098,37.0,44.0,7.0,BUY,MEDIUM,,,,4.0,27.44695414099932,48.0,0.0
Woody Marks,RB,HOU,75.46338702068766,50.0,45.0,-5.0,,,,,,1.0,25.67282683093772,45.0,0.0
Tyrone Tracy Jr.,RB,NYG,96.58863228992982,40.0,46.0,6.0,,,,returning starter,,2.0,26.77344284736482,41.0,1.0
Jordan Mason,RB,MIN,95.9519416352246,43.0,47.0,4.0,,,,,,4.0,27.274469541409992,39.0,1.0
Emmett Johnson,RB,KC,26.78039902884269,58.0,48.0,-10.0,,,,,,0.0,,49.0,1.0
Trey Benson,RB,ARI,104.19080425254944,35.0,49.0,14.0,,,,returning starter,,2.0,24.109514031485283,57.0,0.0
Alvin Kamara,RB,NO,82.83223691848946,48.0,50.0,2.0,,,,,,9.0,31.1047227926078,55.0,0.0
Tyjae Spears,RB,TEN,88.66213939592964,46.0,51.0,5.0,BUY,MEDIUM,,,,3.0,25.21286789869952,42.0,1.0
Dylan Sampson,RB,CLE,61.5284627232917,54.0,52.0,-2.0,,,,,,1.0,21.96303901437372,44.0,0.0
Braelon Allen,RB,NYJ,79.26700541630763,49.0,53.0,4.0,,,,,,2.0,22.61464750171116,54.0,0.0
Mike Washington,RB,LV,39.06671738704708,57.0,54.0,-3.0,,,,,,0.0,,50.0,0.0
Kimani Vidal,RB,LAC,86.8574932225729,47.0,55.0,8.0,BUY,HIGH,,,,2.0,25.010266940451743,56.0,0.0
Chris Rodriguez Jr.,RB,JAX,92.8727857024552,44.0,56.0,12.0,BUY,HIGH,,,,3.0,26.93223819301848,37.0,1.0
Tank Bigsby,RB,PHI,112.01458915567777,29.0,57.0,28.0,BUY,HIGH,,,,3.0,24.005475701574262,53.0,1.0
Keaton Mitchell,RB,LAC,55.199714023797675,55.0,58.0,3.0,,,,,,3.0,24.621492128678987,43.0,1.0
Brock Bowers,TE,LV,136.96013730315144,1.0,1.0,0.0,,,,,,2.0,23.718001368925396,2.0,
Trey McBride,TE,ARI,135.37242790580945,2.0,2.0,0.0,,,,,,4.0,26.77618069815195,1.0,
Colston Loveland,TE,CHI,107.13483302893634,11.0,3.0,-8.0,,,,,,1.0,22.39561943874059,3.0,0.0
Tyler Warren,TE,IND,122.95419013965333,6.0,4.0,-2.0,,,,,,1.0,24.27378507871321,4.0,0.0
Tucker Kraft,TE,GB,94.13014143601083,15.0,5.0,-10.0,,,,,,3.0,25.82614647501711,8.0,1.0
Harold Fannin Jr.,TE,CLE,123.23622803992097,5.0,6.0,1.0,,,,,,1.0,22.11635865845312,5.0,1.0
Kyle Pitts,TE,ATL,131.93690910174493,3.0,7.0,4.0,,,,,,5.0,25.90280629705681,7.0,0.0
George Kittle,TE,SF,125.2933561369057,4.0,8.0,4.0,,,,,,9.0,32.8952772073922,14.0,0.0
Sam LaPorta,TE,DET,119.72443829081229,7.0,9.0,2.0,,,,,,3.0,25.634496919917865,6.0,1.0
Dalton Kincaid,TE,BUF,99.64773283128793,12.0,10.0,-2.0,,,,,,3.0,26.87200547570157,11.0,1.0
Oronde Gadsden II,TE,LAC,86.40808309568285,17.0,11.0,-6.0,,,,,,1.0,23.18685831622177,15.0,1.0
Hunter Henry,TE,NE,89.92254228645182,16.0,12.0,-4.0,,,,,,10.0,31.734428473648187,17.0,1.0
Dallas Goedert,TE,PHI,108.80497421194205,10.0,13.0,3.0,,,,,,8.0,31.66050650239562,18.0,0.0
Jake Ferguson,TE,DAL,77.12312808731787,22.0,14.0,-8.0,,,,,,4.0,27.61943874058864,12.0,0.0
Mark Andrews,TE,BAL,82.88157742687353,19.0,15.0,-4.0,,,,,,8.0,30.98699520876112,10.0,0.0
Dalton Schultz,TE,HOU,98.32372510012759,13.0,16.0,3.0,,,,,,8.0,30.140999315537304,22.0,0.0
Juwan Johnson,TE,NO,112.31604170212277,9.0,17.0,8.0,BUY,HIGH,,,,6.0,29.965776865160848,20.0,0.0
Brenton Strange,TE,JAX,84.84166703941517,18.0,18.0,0.0,,,,,,3.0,25.678302532511974,12.0,
Travis Kelce,TE,KC,116.40050665655971,8.0,19.0,11.0,BUY,HIGH,,,,12.0,36.90622861054072,9.0,1.0
Kenyon Sadiq,TE,NYJ,35.27409131282313,32.0,20.0,-12.0,,,,,,0.0,,21.0,1.0
Isaiah Likely,TE,NYG,41.30324394198426,30.0,21.0,-9.0,FADE,HIGH,declining,,,4.0,26.3709787816564,16.0,0.0
Chig Okonkwo,TE,WAS,68.6109202080828,25.0,22.0,-3.0,,,,,,4.0,26.981519507186857,25.0,1.0
AJ Barner,TE,SEA,78.18468387876533,21.0,23.0,2.0,,,,,,2.0,24.331279945242983,19.0,1.0
T.J. Hockenson,TE,MIN,68.12945388540794,26.0,24.0,-2.0,,,,,,7.0,29.163586584531146,23.0,0.0
David Njoku,TE,LAC,62.77965674967739,27.0,25.0,-2.0,,,,,,9.0,30.143737166324435,29.0,1.0
Colby Parkinson,TE,LA,72.8139261661026,24.0,26.0,2.0,,,,,,6.0,27.64955509924709,27.0,0.0
Mason Taylor,TE,NYJ,78.92000016391023,20.0,27.0,7.0,,,,rookie,,1.0,22.31622176591376,32.0,0.0
Eli Stowers,TE,PHI,44.44484284017763,29.0,28.0,-1.0,,,,,,0.0,,28.0,0.0
Terrance Ferguson,TE,LA,45.279548058893866,28.0,29.0,1.0,,,,,,1.0,23.48802190280629,30.0,0.0
Theo Johnson,TE,NYG,95.44401059688131,14.0,30.0,16.0,BUY,HIGH,,,,2.0,25.51129363449692,31.0,0.0
Cade Otton,TE,TB,74.0408385716072,23.0,31.0,8.0,BUY,HIGH,,,,4.0,27.381245722108144,24.0,1.0
Gunnar Helm,TE,TEN,41.20830023834321,31.0,32.0,1.0,,,,,,1.0,23.98631074606434,26.0,1.0
Ja'Marr Chase,WR,CIN,194.63791421823146,1.0,1.0,0.0,,,,,,5.0,26.50239561943874,2.0,
Puka Nacua,WR,LA,179.99082829324615,3.0,2.0,-1.0,,,,,,3.0,25.259411362080765,1.0,0.0
Jaxon Smith-Njigba,WR,SEA,171.59241366486592,6.0,3.0,-3.0,,,,,,3.0,24.54483230663929,3.0,0.0
Amon-Ra St. Brown,WR,DET,185.9986301562122,2.0,4.0,2.0,,,,,,5.0,26.855578370978783,4.0,0.0
CeeDee Lamb,WR,DAL,174.36175856505253,4.0,5.0,1.0,,,,,,6.0,27.40041067761807,5.0,0.0
Justin Jefferson,WR,MIN,169.07124881820116,8.0,6.0,-2.0,,,,,,6.0,27.211498973305957,6.0,0.0
Drake London,WR,ATL,156.34053323303584,11.0,7.0,-4.0,,,,,,4.0,25.10609171800137,9.0,1.0
A.J. Brown,WR,NE,153.76306664932096,14.0,8.0,-6.0,FADE,MEDIUM,age cliff,,,7.0,29.17180013689254,10.0,1.0
Nico Collins,WR,HOU,164.9702185655973,10.0,9.0,-1.0,,,,,,5.0,27.45516769336071,7.0,0.0
Malik Nabers,WR,NYG,149.90128049272843,16.0,10.0,-6.0,,,,,,2.0,23.096509240246405,12.0,1.0
Chris Olave,WR,NO,152.953921391431,15.0,11.0,-4.0,,,,,,4.0,26.17932922655715,11.0,0.0
George Pickens,WR,DAL,171.84093926800685,5.0,12.0,7.0,BUY,MEDIUM,,,,4.0,25.49486652977413,8.0,1.0
Rashee Rice,WR,KC,134.21018234618103,23.0,13.0,-10.0,,,,,,3.0,26.360027378507876,24.0,1.0
Tee Higgins,WR,CIN,143.55990174767277,19.0,14.0,-5.0,FADE,MEDIUM,declining,,,6.0,27.61943874058864,18.0,1.0
DeVonta Smith,WR,PHI,156.23896687124753,13.0,15.0,2.0,,,,,,5.0,27.797399041752225,15.0,0.0
Tetairoa McMillan,WR,CAR,171.54936345677135,7.0,16.0,9.0,BUY,HIGH,,,,1.0,23.408624229979463,16.0,0.0
Garrett Wilson,WR,NYJ,132.0784462523849,24.0,17.0,-7.0,,,,,,4.0,26.11088295687885,13.0,0.0
Ladd McConkey,WR,LAC,128.1161690335926,29.0,18.0,-11.0,,,,,,2.0,24.80492813141684,20.0,1.0
Luther Burden III,WR,CHI,102.64405201130887,42.0,19.0,-23.0,,,,,,1.0,22.72142368240931,21.0,1.0
Emeka Egbuka,WR,TB,146.55500394082983,17.0,20.0,3.0,,,,,,1.0,23.88227241615332,23.0,0.0
Jaylen Waddle,WR,DEN,139.28188502603183,21.0,21.0,0.0,,,,,,5.0,27.76728268309377,30.0,
Mike Evans,WR,SF,107.53620324234983,38.0,22.0,-16.0,,,,,returning from injury,12.0,33.02943189596167,19.0,0.0
Rome Odunze,WR,CHI,117.58188800646614,31.0,23.0,-8.0,,,,,,2.0,24.246406570841888,29.0,1.0
Zay Flowers,WR,BAL,166.80114764326976,9.0,24.0,15.0,BUY,HIGH,,,,3.0,25.971252566735117,14.0,1.0
Jameson Williams,WR,DET,156.2793085661179,12.0,25.0,13.0,BUY,HIGH,,,,4.0,25.43463381245722,17.0,1.0
