season,player,position,team,ffc_adp,fmt,norm_name,ffc_overall_rank,ffc_pos_rank
2014,LeSean McCoy,RB,PHI,2.0,ppr,lesean mccoy,1,1
2014,Jamaal Charles,RB,KC,2.5,ppr,jamaal charles,2,2
2014,Calvin Johnson,WR,DET,4.1,ppr,calvin johnson,3,1
2014,Matt Forte,RB,CHI,4.2,ppr,matt forte,4,3
2014,Adrian Peterson,RB,MIN,5.3,ppr,adrian peterson,5,4
2014,Eddie Lacy,RB,GB,6.2,ppr,eddie lacy,6,5
2014,Demaryius Thomas,WR,DEN,6.7,ppr,demaryius thomas,7,2
2014,Jimmy Graham,TE,NO,7.8,ppr,jimmy graham,8,1
2014,Dez Bryant,WR,DAL,9.1,ppr,dez bryant,9,3
2014,Peyton Manning,QB,DEN,10.4,ppr,peyton manning,10,1
2014,Montee Ball,RB,DEN,10.4,ppr,montee ball,10,6
2014,A.J. Green,WR,CIN,11.5,ppr,aj green,12,4
2014,Julio Jones,WR,ATL,13.3,ppr,julio jones,13,5
2014,Brandon Marshall,WR,CHI,13.9,ppr,brandon marshall,14,6
2014,DeMarco Murray,RB,DAL,14.2,ppr,demarco murray,15,7
2014,Marshawn Lynch,RB,SEA,15.9,ppr,marshawn lynch,16,8
2014,Giovani Bernard,RB,CIN,16.7,ppr,giovani bernard,17,9
2014,Jordy Nelson,WR,GB,17.8,ppr,jordy nelson,18,7
2014,Antonio Brown,WR,PIT,18.4,ppr,antonio brown,19,8
2014,Drew Brees,QB,NO,19.1,ppr,drew brees,20,2
2014,Doug Martin,RB,TB,20.9,ppr,doug martin,21,10
2014,Alshon Jeffery,WR,CHI,21.9,ppr,alshon jeffery,22,9
2014,Aaron Rodgers,QB,GB,22.2,ppr,aaron rodgers,23,3
2014,Andre Ellington,RB,ARI,22.5,ppr,andre ellington,24,11
2014,Randall Cobb,WR,GB,25.0,ppr,randall cobb,25,10
2014,Arian Foster,RB,HOU,25.8,ppr,arian foster,26,12
2014,Julius Thomas,TE,DEN,26.2,ppr,julius thomas,27,2
2014,Keenan Allen,WR,LAC,28.0,ppr,keenan allen,28,11
2014,Shane Vereen,RB,NE,28.5,ppr,shane vereen,29,13
2014,Rob Gronkowski,TE,NE,29.7,ppr,rob gronkowski,30,3
2014,LeVeon Bell,RB,PIT,30.4,ppr,leveon bell,31,14
2014,Zac Stacy,RB,LAR,32.5,ppr,zac stacy,32,15
2014,Roddy White,WR,ATL,33.1,ppr,roddy white,33,12
2014,Reggie Bush,RB,DET,33.3,ppr,reggie bush,34,16
2014,Alfred Morris,RB,WAS,34.2,ppr,alfred morris,35,17
2014,Vincent Jackson,WR,TB,34.7,ppr,vincent jackson,36,13
2014,Cordarrelle Patterson,WR,MIN,36.2,ppr,cordarrelle patterson,37,14
2014,Andre Johnson,WR,HOU,36.4,ppr,andre johnson,38,15
2014,Rashad Jennings,RB,NYG,38.4,ppr,rashad jennings,39,18
