cfb_pid,cfb_name,cfb_team,cfb_pos,cfb_seasons,cfb_last_season,cfb_final_class,cfb_rec_ypg,cfb_rush_ypg,cfb_scrim_ypg,cfb_scrim_td,cfb_rec_pg,cfb_final_dom,cfb_final_recshare,cfb_ypc,cfb_ypr,cfb_best_dom,cfb_breakout_class,cfb_career_scrim_yds,cfb_career_scrim_td,norm_name
4429885.0,Kobie Campbell,Rice,,4.0,2024.0,,29.545454545454547,3.6363636363636362,33.18181818181818,0.0,2.8181818181818183,0.04125226039783002,0.11114911080711354,40.0,10.483870967741936,0.04125226039783002,,835.0,0.0,kobie campbell
505616.0,David Hood,Temple,RB,2.0,2017.0,,14.25,47.166666666666664,61.416666666666664,4.0,2.0,0.1500064870145233,0.05591890124264225,4.879310344827586,7.125,0.1500064870145233,,835.0,4.0,david hood
4586331.0,Taj Butts,Duquesne,,3.0,2024.0,,4.5,44.166666666666664,48.666666666666664,0.0,0.6666666666666666,0.03681290973272819,0.012134831460674157,3.955223880597015,6.75,0.13087002846556303,,835.0,2.0,taj butts
531609.0,Terry Pettis,Middle Tennessee,WR,2.0,2015.0,,59.3,0.0,59.3,4.0,2.8,0.11379757785467129,0.15872591006423983,,21.178571428571427,0.11379757785467129,,834.0,4.0,terry pettis
5084408.0,Bisi Owens,Pennsylvania,,2.0,2024.0,,51.5,0.0,51.5,0.0,3.4,0.067479035639413,0.24819277108433735,,15.147058823529411,0.067479035639413,,834.0,0.0,bisi owens
4427600.0,Terrell Jennings,Florida A&M,,4.0,2023.0,,3.3,54.7,58.0,8.0,0.5,0.26339342795039,0.01429190125595496,5.11214953271028,6.6,0.3875739644970414,4.0,834.0,9.0,terrell jennings
4432211.0,Tristan Golightly,Abilene Christian,,4.0,2023.0,,25.428571428571427,0.42857142857142855,25.857142857142858,0.0,2.0,0.03398422831393166,0.14686468646864687,1.5,12.714285714285714,0.10711433756805808,2.0,833.0,2.0,tristan golightly
4921154.0,Eugene Wilson,Florida,,2.0,2024.0,,66.25,0.0,66.25,1.0,4.75,0.037321252465483234,0.09097150703741846,0.0,13.947368421052632,0.055719050421816754,,833.0,1.0,eugene wilson
3124043.0,Tyrell Clay,UTSA,RB,4.0,2017.0,,5.4,55.3,60.7,2.0,0.9,0.16943491191946924,0.024702653247941447,4.570247933884297,6.0,0.16943491191946924,,833.0,5.0,tyrell clay
5095114.0,Nate Garnett,Morehead State,,1.0,2024.0,,82.3,1.0,83.3,1.0,3.5,0.18863089471545985,0.43683651804670914,10.0,23.514285714285716,0.18863089471545985,,833.0,1.0,nate garnett
3122424.0,Taylor Cornelius,Oklahoma State,QB,4.0,2018.0,4.0,9.916666666666666,48.166666666666664,58.083333333333336,14.0,0.5,0.26895421929668506,0.03275529865125241,7.3164556962025316,19.833333333333332,0.26895421929668506,4.0,833.0,16.0,taylor cornelius
4429019.0,Marcus Rosemy,Georgia,,2.0,2023.0,,44.583333333333336,0.0,44.583333333333336,4.0,2.8333333333333335,0.08057195214882731,0.12647754137115838,,15.735294117647058,0.08057195214882731,,833.0,4.0,marcus rosemy
4574678.0,Taylor Shields,Gardner-Webb,,3.0,2024.0,,37.166666666666664,0.0,37.166666666666664,2.0,1.8333333333333333,0.06688179078436038,0.08683800623052959,,20.272727272727273,0.2774036662925552,,833.0,10.0,taylor shields
515360.0,Angel Santiago,Army,QB,1.0,2014.0,,0.0,75.63636363636364,75.63636363636364,10.0,0.0,0.27460646946895,0.0,4.894117647058824,,0.27460646946895,,832.0,10.0,angel santiago
4035430.0,Lindsey Scott Jr.,Incarnate Word,QB,2.0,2022.0,4.0,0.5454545454545454,60.18181818181818,60.72727272727273,8.0,0.09090909090909091,0.23449126177402474,0.001568627450980392,7.195652173913044,6.0,0.5906077348066299,4.0,832.0,9.0,lindsey scott
3127332.0,Marcus McMaryion,Fresno State,QB,4.0,2018.0,4.0,1.1538461538461537,24.76923076923077,25.923076923076923,7.0,0.07692307692307693,0.112541374715213,0.004379562043795621,5.962962962962963,15.0,0.112541374715213,4.0,832.0,11.0,marcus mcmaryion
4573418.0,Isaac Seide,New Hampshire,,4.0,2024.0,,10.0,49.55555555555556,59.55555555555556,2.0,2.111111111111111,0.13050304491245876,0.03537735849056604,4.247619047619048,4.7368421052631575,0.13050304491245876,,831.0,4.0,isaac seide
4362669.0,T.J. Graham,Northern Colorado,WR,5.0,2022.0,4.0,29.666666666666668,0.0,29.666666666666668,0.0,3.0,0.033559577677224735,0.11104179663131628,0.0,9.88888888888889,0.07123425692695215,4.0,831.0,4.0,tj graham
4570839.0,Jaelin Benefield,Southern Illinois,,3.0,2024.0,,1.0,29.0,30.0,0.0,0.6666666666666666,0.011583011583011582,0.0015274949083503055,5.4375,1.5,0.17781732264624955,2.0,831.0,2.0,jaelin benefield
3120349.0,Jalen Greene,Utah State,WR,4.0,2018.0,,52.4,0.0,52.4,4.0,3.7,0.0893479949435721,0.15184004636337295,,14.162162162162161,0.0893479949435721,,831.0,4.0,jalen greene
4361185.0,Justin McGriff,Utah State,WR,3.0,2022.0,4.0,38.54545454545455,0.0,38.54545454545455,2.0,2.6363636363636362,0.09801812004530011,0.1826798793623438,,14.620689655172415,0.09869776339022954,4.0,831.0,3.0,justin mcgriff
5083553.0,Rovaughn Banks Jr.,Abilene Christian,,3.0,2024.0,,8.5,31.25,39.75,2.0,0.75,0.04914793448710297,0.012190749372534958,5.0,11.333333333333334,0.1490139140955838,1.0,831.0,8.0,rovaughn banks
4570519.0,Terrion Avery,South Alabama,RB,4.0,2022.0,4.0,4.666666666666667,28.0,32.666666666666664,0.0,0.3333333333333333,0.009951259138911454,0.004635761589403974,4.0,14.0,0.10557676194022902,4.0,830.0,3.0,terrion avery
