player,position,team,our_proj,our_rank,adp_rank,value,call,tier,reason,contested,injury_return,years_exp,age,sleeper_rank,sleeper_agrees,actual_rank,actual_total,injured
George Kittle,TE,SF,138.75909254223828,2.0,3.0,1.0,,,,,,8,31.89596167008898,3.0,0.0,10.0,133.0,False
Sam LaPorta,TE,DET,123.00506935863689,4.0,4.0,0.0,,,,,,2,24.635181382614647,4.0,,18.0,86.9,True
Travis Kelce,TE,KC,98.51291998454197,10.0,5.0,-5.0,FADE,MEDIUM,age cliff,,,11,35.90691307323751,7.0,1.0,3.0,155.20000000000002,False
T.J. Hockenson,TE,MIN,92.61018982204402,12.0,6.0,-6.0,,,,,returning from injury,6,28.164271047227928,5.0,0.0,17.0,87.3,False
Mark Andrews,TE,BAL,113.03584890911138,7.0,7.0,0.0,,,,,,7,29.987679671457904,6.0,,11.0,107.0,False
Evan Engram,TE,DEN,99.94717663722399,8.0,8.0,0.0,,,,,,8,30.99794661190965,8.0,,19.0,77.8,False
Tyler Warren,TE,IND,73.20322246584776,19.0,9.0,-10.0,,,,,,0,23.274469541409992,11.0,1.0,5.0,150.5,False
David Njoku,TE,CLE,116.17223914402473,5.0,10.0,5.0,,,,,returning from injury,8,29.144421629021217,9.0,1.0,21.0,69.8,False
Tucker Kraft,TE,GB,89.29635417530199,14.0,11.0,-3.0,,,,,,2,24.826830937713893,10.0,0.0,14.0,101.2,True
Colston Loveland,TE,CHI,83.88671575737457,15.0,12.0,-3.0,,,,,,0,21.39630390143737,13.0,1.0,9.0,136.1,False
Kyle Pitts,TE,ATL,94.04343804716108,11.0,13.0,2.0,,,,,,4,24.903490759753595,17.0,0.0,2.0,166.8,False
Dalton Kincaid,TE,BUF,90.43660478770784,13.0,14.0,1.0,,,,,,2,25.87268993839836,16.0,0.0,12.0,106.60000000000001,False
Jake Ferguson,TE,DAL,51.0730200570645,23.0,15.0,-8.0,FADE,HIGH,declining,,,3,26.62012320328542,14.0,0.0,7.0,147.1,False
Dallas Goedert,TE,PHI,74.36930601556004,18.0,16.0,-2.0,,,,,,7,30.6611909650924,12.0,0.0,4.0,155.1,False
Jonnu Smith,TE,PIT,115.82008185739613,6.0,17.0,11.0,BUY,HIGH,,,,8,30.028747433264886,19.0,0.0,22.0,66.2,False
Zach Ertz,TE,WAS,99.37573137212655,9.0,18.0,9.0,BUY,HIGH,,,,12,34.809034907597535,20.0,0.0,13.0,101.4,False
Chig Okonkwo,TE,TEN,66.14735923838919,20.0,19.0,-1.0,,,,,,3,25.98220396988364,15.0,0.0,15.0,96.0,False
Hunter Henry,TE,NE,82.73276382634349,16.0,20.0,4.0,,,,,,9,30.73511293634497,18.0,1.0,6.0,148.8,False
Isaiah Likely,TE,BAL,75.62326973832674,17.0,21.0,4.0,,,,,,3,25.371663244353183,23.0,0.0,23.0,48.2,False
Brenton Strange,TE,JAX,59.9265656067944,22.0,22.0,0.0,,,,,,2,24.67898699520876,21.0,,16.0,95.0,False
Darren Waller,TE,MIA,65.79735581917618,21.0,23.0,2.0,,,,,,10,32.96646132785763,21.0,1.0,20.0,76.7,True
Ja'Marr Chase,WR,CIN,191.2354987622674,4.0,1.0,-3.0,,,,,,4,25.50308008213552,1.0,0.0,4.0,251.1,False
Justin Jefferson,WR,MIN,202.56541287176714,1.0,2.0,1.0,,,,,,5,26.21218343600274,3.0,0.0,22.0,159.50000000000003,False
CeeDee Lamb,WR,DAL,193.24739172357783,3.0,3.0,0.0,,,,,,5,26.40109514031485,2.0,,18.0,163.4,False
Amon-Ra St. Brown,WR,DET,188.83987459739095,5.0,4.0,-1.0,,,,,,4,25.856262833675565,9.0,1.0,3.0,265.49999999999994,False
Malik Nabers,WR,NYG,193.69623022197428,2.0,5.0,3.0,,,,,,1,22.09719370294319,5.0,0.0,61.0,48.1,True
