player,position,team,ppg_pred,games_pred,projected_total,vor,our_overall_rank,our_pos_rank,adp_pos_rank,adp_overall_rank,value_gap,sleeper_pts_half_ppr,age,years_exp,target_ppg,target_games
Bhayshul Tuten,RB,JAX,4.5751215174011906,11.745554751023686,53.73734027522225,-57.56279927087856,202.0,65.0,53.0,148.0,-12.0,94.5,23.54551676933607,0,5.225,16.0
Troy Franklin,WR,DEN,4.6692993750806195,16.044120640514166,74.91480248047087,-57.91906840169044,203.0,69.0,82.0,213.0,13.0,78.3,22.56810403832991,1,8.033333333333333,18.0
RJ Harvey,RB,DEN,4.842166019096967,10.929213200988118,52.92106477729066,-58.37907476881015,204.0,66.0,22.0,54.0,-44.0,180.5,24.57221081451061,0,9.636842105263158,19.0
Blake Corum,RB,LA,4.614998337144473,11.318042764817072,52.23274853936082,-59.06739100673999,205.0,67.0,62.0,181.0,-5.0,48.6,24.76659822039699,1,5.91,20.0
Parker Washington,WR,JAX,4.628660933295289,15.915282514438745,73.66644641694023,-59.167424465221075,206.0,70.0,660.0,1638.0,590.0,56.2,23.449691991786448,2,9.158823529411764,17.0
Allen Lazard,WR,NYJ,6.212465830522074,11.84241103110566,73.5705738817416,-59.26329700041971,207.0,71.0,694.0,1716.0,623.0,32.2,29.724845995893222,7,1.8,10.0
Dameon Pierce,RB,KC,5.036465351963635,10.319728322705936,51.97495413898624,-59.32518540711457,208.0,68.0,362.0,1508.0,294.0,43.0,25.533196440793976,3,1.2,3.0
Josh Whyle,TE,GB,2.1327511344256616,16.4957317028816,35.18129050250208,-59.43580966056027,209.0,48.0,226.0,1186.0,178.0,4.6,25.98220396988364,2,1.3444444444444443,9.0
Jaydon Blue,RB,DAL,4.569700586830306,11.270044752558602,51.50073011937086,-59.79940942672995,210.0,69.0,45.0,125.0,-24.0,113.2,21.648186173853524,0,3.98,5.0
DJ Giddens,RB,IND,4.464695810612437,11.367291420395471,50.751498382650354,-60.548641163450455,211.0,70.0,63.0,183.0,-7.0,70.1,22.01779603011636,0,1.0666666666666669,9.0
Isiah Pacheco,RB,KC,4.70980929567695,10.75243724858992,50.6419289045919,-60.65821064150891,212.0,71.0,23.0,55.0,-48.0,175.3,26.50239561943874,3,5.984615384615386,13.0
Tommy Tremble,TE,CAR,2.3508984122916825,14.287324742547172,33.58804905314982,-61.02905110991253,213.0,49.0,344.0,1770.0,295.0,26.0,25.24845995893224,4,2.8000000000000003,18.0
Christian Watson,WR,GB,4.8590686643677525,14.771210907249111,71.77432805418131,-61.059542827979996,214.0,72.0,124.0,310.0,52.0,50.3,26.308008213552363,3,10.445454545454544,11.0
Kylen Granson,TE,PHI,2.007702001961877,16.34304272503948,32.811959597210254,-61.80514056585209,215.0,50.0,316.0,1642.0,266.0,1.4,27.43326488706365,4,0.4166666666666667,18.0
Drew Sample,TE,CIN,1.9934945765119112,16.237596173299398,32.369559907062914,-62.24754025599943,216.0,51.0,207.0,1097.0,156.0,20.7,29.377138945927445,6,1.4352941176470588,17.0
Josh Oliver,TE,MIN,2.056785159217479,15.650175030105308,32.18904774107656,-62.42805242198579,217.0,52.0,312.0,1616.0,260.0,23.3,28.449007529089663,6,3.1666666666666665,15.0
Luke Schoonmaker,TE,DAL,1.9758611187020862,16.115054229221283,31.84110907729395,-62.775991085768396,218.0,53.0,309.0,1598.0,256.0,27.5,26.92676249144421,2,1.1882352941176473,17.0
Tua Tagovailoa,QB,MIA,15.2374803381658,10.611555718560762,161.69337161892048,-62.78187477890904,219.0,23.0,23.0,178.0,0.0,262.6,27.50171115674196,5,11.47857142857143,14.0
Tre Tucker,WR,LV,4.418772040091246,15.828410158723655,69.94213624846432,-62.891734633696984,220.0,73.0,630.0,1567.0,557.0,58.2,24.484599589322382,2,7.835294117647058,17.0
Cade Stover,TE,HOU,1.914198592653535,16.205534550961126,31.020611430648025,-63.59648873241432,221.0,54.0,274.0,1402.0,220.0,47.6,25.22108145106092,1,1.2636363636363637,11.0
Cam Skattebo,RB,NYG,4.049850398892318,11.739652376657068,47.54383586046177,-63.75630368563904,222.0,72.0,37.0,99.0,-35.0,102.9,23.57015742642026,0,14.4625,8.0
Adam Thielen,WR,PIT,6.52518315934609,10.583529727001688,69.05946994107013,-63.77440094109117,223.0,74.0,60.0,150.0,-14.0,78.4,35.0280629705681,11,1.7705882352941178,17.0
