player,position,team,ppg_pred,games_pred,projected_total,vor,our_overall_rank,our_pos_rank,blend_rank,blend_pos_rank,adp_pos_rank,adp_overall_rank,value_gap,sleeper_pts_half_ppr,age,years_exp,target_ppg,target_games
Joe Burrow,QB,CIN,14.49001694692693,7.10288149473662,102.9208732307473,-121.04044017204521,612.0,30.0,45.0,11.0,4.0,56.0,-26.0,306.12,29.724845995893222,6.0,,0.0
Mac Jones,QB,SF,8.61051568701259,9.934502950928103,85.5411935016393,-138.4201199011532,613.0,31.0,,,,,,,27.98904859685147,5.0,,0.0
Jayden Daniels,QB,WAS,13.206254924263476,6.452415328163832,85.21224170095674,-138.74907170183576,614.0,32.0,48.0,13.0,5.0,62.0,-27.0,313.72,25.70294318959617,2.0,,0.0
Kyler Murray,QB,MIN,13.260114463499793,5.505253371968934,73.00028986287626,-150.96102353991625,615.0,33.0,93.0,22.0,21.0,158.0,-12.0,265.2,29.06776180698152,7.0,,0.0
Michael Penix Jr.,QB,ATL,8.969616084089157,7.620901532376435,68.35656096006338,-155.60475244272914,616.0,34.0,,,31.0,239.0,-3.0,108.38,26.31622176591376,2.0,,0.0
Marcus Mariota,QB,WAS,8.04995682920276,8.267650403105545,66.55422882394043,-157.40708457885208,617.0,35.0,,,,,,,32.837782340862425,11.0,,0.0
Kirk Cousins,QB,LV,8.891791362272276,7.115429168378105,63.26891161824464,-160.69240178454788,618.0,36.0,,,,,,,38.03422313483915,14.0,,0.0
Carson Wentz,QB,MIN,8.101085289951307,5.798045381161303,46.97046014779595,-176.99085325499658,619.0,37.0,,,,,,,33.67008898015058,10.0,,0.0
Jameis Winston,QB,NYG,7.897642498906471,5.262684592677699,41.56280149747169,-182.39851190532082,620.0,38.0,,,,,,,32.65160848733744,11.0,,0.0
Dillon Gabriel,QB,CLE,5.786940952771646,6.535557454016772,37.82088507984165,-186.14042832295087,621.0,39.0,,,,,,,25.675564681724847,1.0,,0.0
Shedeur Sanders,QB,CLE,6.131233021722917,5.901047896330477,36.18069972474997,-187.78061367804253,622.0,40.0,,,30.0,235.0,-10.0,55.2,24.56399726214921,1.0,,0.0
Deshaun Watson,QB,CLE,5.325552764730672,6.289932115984898,33.49736537025162,-190.46394803254088,623.0,41.0,,,,,,,30.965092402464062,9.0,,0.0
Spencer Rattler,QB,NO,5.873705304102279,4.925393558753845,28.930310270843655,-195.03100313194886,624.0,42.0,,,,,,,25.924709103353862,2.0,,0.0
Davis Mills,QB,HOU,5.746881479347607,4.978098412314789,28.608541568101586,-195.35277183469094,625.0,43.0,,,,,,,27.863107460643395,5.0,,0.0
Will Levis,QB,TEN,4.727661630395604,5.853994103899517,27.67570330956784,-196.28561009322468,626.0,44.0,,,,,,,27.1813826146475,3.0,,0.0
Tyler Huntley,QB,BAL,5.491727222951091,4.833010474660912,26.541575192503107,-197.4197382102894,627.0,45.0,,,,,,,28.57494866529774,6.0,,0.0
Malik Willis,QB,MIA,6.121130674767352,4.303061793339588,26.339603538630367,-197.62170986416214,628.0,46.0,91.0,21.0,18.0,143.0,-28.0,252.78,27.27173169062286,4.0,,0.0
Andy Dalton,QB,PHI,4.507180923455715,5.23697566304281,23.6039968050684,-200.35731659772412,629.0,47.0,,,,,,,38.84188911704312,15.0,,0.0
Anthony Richardson,QB,IND,5.225370543387751,4.0897104756100235,21.370252650236925,-202.5910607525556,630.0,48.0,,,,,,,24.279260780287476,3.0,,0.0
Trey Lance,QB,LAC,4.133773466212762,5.046740934072588,20.862083764119074,-203.09922963867345,631.0,49.0,,,,,,,26.313483915126625,5.0,,0.0
Hendon Hooker,QB,TEN,3.858806389158879,5.369270768501727,20.71897634661847,-203.24233705617405,632.0,50.0,,,,,,,28.63244353182752,2.0,,0.0
Will Grier,QB,CAR,4.027043180745677,4.985357499419328,20.076249921615926,-203.8850634811766,633.0,51.0,,,,,,,31.41409993155373,7.0,,0.0
Mitchell Trubisky,QB,TEN,3.7643719194124046,4.892560002983549,18.41741548927154,-205.54389791352096,634.0,52.0,,,,,,,32.03285420944559,9.0,,0.0
Tyrod Taylor,QB,GB,4.657266777828575,3.806406512524603,17.72745059369116,-206.23386280910137,635.0,53.0,,,,,,,37.07871321013005,15.0,,0.0
Brady Cook,QB,NYJ,5.035922522913475,3.3414052113212787,16.827057761873288,-207.13425564091924,636.0,54.0,,,,,,,24.8870636550308,1.0,,0.0
Quinn Ewers,QB,MIA,4.693567109412465,3.578348885271625,16.795220633913654,-207.16609276887885,637.0,55.0,,,,,,,23.46611909650924,1.0,,0.0
Stetson Bennett,QB,LA,3.602909365673731,4.532947287613236,16.331798236647067,-207.62951516614544,638.0,56.0,,,,,,,28.843258042436688,0.0,,0.0
Kenny Pickett,QB,CAR,3.571090985468796,4.51900577145303,16.13778077371738,-207.82353262907515,639.0,57.0,,,,,,,28.23819301848049,4.0,,0.0
Mason Rudolph,QB,PIT,4.551663469769739,3.43080905048361,15.615888226841653,-208.34542517595085,640.0,58.0,,,,,,,31.12662559890486,7.0,,0.0
Bailey Zappe,QB,NYJ,3.4956975145898,4.311421842799101,15.071426620220992,-208.88988678257152,641.0,59.0,,,,,,,27.351129363449694,4.0,,0.0
Kyle McCord,QB,GB,4.16731097985367,3.553245825199907,14.807480341474786,-209.15383306131773,642.0,60.0,,,,,,,23.95071868583162,0.0,,0.0
Tommy DeVito,QB,NE,4.732977336240648,3.0866644546887656,14.609112908621526,-209.35220049417097,643.0,61.0,,,,,,,28.0684462696783,3.0,,0.0
Zach Wilson,QB,NO,3.0893214491670484,4.713873897672005,14.5626717407468,-209.39864166204572,644.0,62.0,,,,,,,27.08008213552361,5.0,,0.0
Jake Browning,QB,TB,4.374874361967368,3.2335491101728433,14.14637110025757,-209.81494230253494,645.0,63.0,,,,,,,30.390143737166323,3.0,,0.0
Will Howard,QB,PIT,4.834426507907951,2.814135786997319,13.604732645512243,-210.35658075728026,646.0,64.0,,,,,,,24.93634496919918,0.0,,0.0
Easton Stick,QB,IND,3.803401897829504,3.3719376085751307,12.824833899817332,-211.1364795029752,647.0,65.0,,,,,,,30.978781656399725,6.0,,0.0
Drew Lock,QB,SEA,3.042839332233667,4.170661085790243,12.690651593258925,-211.27066180953358,648.0,66.0,,,,,,,29.806981519507183,7.0,,0.0
Sam Howell,QB,DAL,3.050634930760763,4.10445907793488,12.52120623502626,-211.44010716776626,649.0,67.0,,,,,,,25.95756331279945,4.0,,0.0
Riley Leonard,QB,IND,4.371243807672123,2.6761584203929,11.698140923492074,-212.26317247930044,650.0,68.0,,,,,,,23.96714579055441,1.0,,0.0
Jalen Milroe,QB,SEA,3.1851356661984713,3.654233401726197,11.639229140451876,-212.32208426234064,651.0,69.0,,,,,,,23.718001368925396,1.0,,0.0
Sean Clifford,QB,CIN,2.593452115943018,3.9515454498981786,10.248143908283437,-213.7131694945091,652.0,70.0,,,,,,,28.134154688569478,3.0,,0.0
Sam Hartman,QB,WAS,3.554990064055696,2.8594726902081966,10.165397002128751,-213.79591640066377,653.0,71.0,,,,,,,27.093771389459278,0.0,,0.0
Teddy Bridgewater,QB,DET,2.9853828553813244,3.3988533010476303,10.146878372903815,-213.8144350298887,654.0,72.0,,,,,,,33.80698151950719,12.0,,0.0
Case Keenum,QB,CHI,3.136709605503743,3.0251332625096605,9.488964562442927,-214.47234884034958,655.0,73.0,,,,,,,38.53798767967146,13.0,,0.0
Nick Mullens,QB,JAX,2.740009161303231,3.329251072371669,9.122178438576979,-214.83913496421553,656.0,74.0,,,,,,,31.449691991786448,8.0,,0.0
Graham Mertz,QB,HOU,3.3706498698267837,2.6672735877336233,8.990445371286755,-214.97086803150574,657.0,75.0,,,,,,,25.73579739904175,0.0,,0.0
Max Brosmer,QB,MIN,2.6029525951261583,3.116026872417434,8.110870234041807,-215.8504431687507,658.0,76.0,,,,,,,25.429158110882955,1.0,,0.0
Aidan O'Connell,QB,LV,2.7952964662563,2.593130924779844,7.248569710577029,-216.7127436922155,659.0,77.0,,,,,,,28.0,3.0,,0.0
Gardner Minshew,QB,AZ,2.767708128875512,2.612842204851752,7.23158460983721,-216.7297287929553,660.0,78.0,,,,,,,30.2943189596167,7.0,,0.0
Connor Bazelak,QB,TB,2.373281232941682,2.81114105040421,6.6716282980762776,-217.28968510471623,661.0,79.0,,,,,,,25.94113620807666,0.0,,0.0
Sam Ehlinger,QB,DEN,2.2933432679763595,2.8438613135234974,6.521950198427519,-217.43936320436498,662.0,80.0,,,,,,,27.920602327173167,5.0,,0.0
Joe Milton III,QB,DAL,3.6999344147543667,1.6859725177372695,6.23798774070619,-217.72332566208632,663.0,81.0,,,,,,,26.48870636550308,2.0,,0.0
Tanner McKee,QB,PHI,3.4155385724727463,1.7865360563183703,6.101982811468736,-217.85933059132378,664.0,82.0,,,,,,,26.34633812457221,2.0,,0.0
DJ Uiagalelei,QB,LAC,2.074565963831818,2.881814416466405,5.978514102481055,-217.98279930031146,665.0,83.0,,,,,,,25.374401095140318,0.0,,0.0
Carter Bradley,QB,JAX,1.960940673863463,2.754270577744755,5.400961202725109,-218.5603522000674,666.0,84.0,,,,,,,26.480492813141684,0.0,,0.0
Trevor Siemian,QB,ATL,3.0314847985999016,1.6500402449862435,5.002071919753854,-218.95924148303865,667.0,85.0,,,,,,,34.68309377138946,11.0,,0.0
Kurtis Rourke,QB,SF,3.221347287643175,1.516663110565645,4.8856985974891005,-219.07561480530342,668.0,86.0,,,,,,,25.8507871321013,0.0,,0.0
Kyle Allen,QB,BUF,1.5366834855515048,3.1239112041225656,4.800462757704462,-219.16085064508806,669.0,87.0,,,,,,,30.48323066392881,8.0,,0.0
Josh Johnson,QB,CIN,1.4476263118557657,2.7492943286400617,3.979950809175186,-219.98136259361732,670.0,88.0,,,,,,,40.2984257357974,15.0,,0.0
Skylar Thompson,QB,BAL,1.918633947608141,1.9884103214894981,3.8150315445841687,-220.14628185820834,671.0,89.0,,,,,,,29.24298425735797,4.0,,0.0
Shane Buechele,QB,BUF,1.8871176646604049,1.9094867253012016,3.6034261297504475,-220.35788727304205,672.0,90.0,,,,,,,28.64613278576317,1.0,,0.0
Chris Oladokun,QB,KC,1.560589798909529,1.949021165861092,3.0416225493015774,-220.91969085349095,673.0,91.0,,,,,,,28.993839835728952,2.0,,0.0
Tyson Bagent,QB,CHI,1.16631652846403,2.5497135771336357,2.973773087860106,-220.9875403149324,674.0,92.0,,,,,,,26.23134839151266,3.0,,0.0
Cam Miller,QB,MIA,0.9246000041775679,2.8583393088095264,2.6428205368661946,-221.31849286592632,675.0,93.0,,,,,,,25.204654346338124,0.0,,0.0
Kedon Slovis,QB,AZ,1.2879787220544188,1.5999162158874736,2.06065804313289,-221.90065535965962,676.0,94.0,,,,,,,25.39082819986311,1.0,,0.0
Adrian Martinez,QB,SF,1.234478376714673,1.3348236402989961,1.6478109206766753,-222.31350248211584,677.0,95.0,,,,,,,26.650239561943877,1.0,,0.0
Brandon Allen,QB,NYG,0.6113126836449698,2.5927572923809112,1.5849854184454406,-222.37632798434709,678.0,96.0,,,,,,,33.987679671457904,7.0,,0.0
Jarrett Stidham,QB,DEN,0.3364340424865855,3.480066206280565,1.170812741899926,-222.79050066089258,679.0,97.0,,,,,,,30.06433949349761,7.0,,0.0
