player,position,team,ppg_pred,games_pred,projected_total,vor,our_overall_rank,our_pos_rank,blend_rank,blend_pos_rank,adp_pos_rank,adp_overall_rank,value_gap,sleeper_pts_half_ppr,age,years_exp,target_ppg,target_games
Wan'Dale Robinson,WR,TEN,9.529495551839082,15.689335595172235,149.5114537655044,29.33175232341067,47.0,19.0,106.0,42.0,44.0,113.0,25.0,127.0,25.65366187542779,4.0,,0.0
Jaylen Waddle,WR,DEN,9.696455420843709,15.316877743485245,148.51942222621784,28.33972078412411,48.0,20.0,62.0,23.0,18.0,41.0,-2.0,155.0,27.76728268309377,5.0,,0.0
Bucky Irving,RB,TB,10.370303053528838,13.760877535232364,142.70447032285657,27.980300776824564,49.0,19.0,40.0,18.0,14.0,26.0,-5.0,179.3,24.03559206023272,2.0,,0.0
Saquon Barkley,RB,PHI,10.18114388407053,13.891899611160781,141.43542876429134,26.711259218259343,50.0,20.0,23.0,12.0,10.0,17.0,-10.0,226.0,29.557837097878167,8.0,,0.0
Travis Kelce,TE,KC,8.905736409203325,15.282798118554282,136.10457163891294,25.639806047679286,51.0,3.0,105.0,9.0,19.0,114.0,16.0,131.5,36.90622861054072,12.0,,0.0
Courtland Sutton,WR,DEN,9.290602333019795,15.653765320023101,145.43290860275098,25.253207160657254,52.0,21.0,81.0,32.0,32.0,73.0,11.0,139.5,30.89390828199863,8.0,,0.0
Jameson Williams,WR,DET,9.404017314860182,15.458965459938389,145.3763788550861,25.196677412992372,53.0,22.0,54.0,19.0,22.0,49.0,0.0,176.2,25.43463381245722,4.0,,0.0
Tyler Warren,TE,IND,8.86795381924123,15.264112459758785,135.36144438484556,24.896678793611898,54.0,4.0,70.0,4.0,4.0,55.0,0.0,151.2,24.27378507871321,1.0,,0.0
Tee Higgins,WR,CIN,9.661470302836795,14.968427209108055,144.61701496097172,24.437313518877986,55.0,23.0,49.0,16.0,14.0,34.0,-9.0,174.6,27.61943874058864,6.0,,0.0
Ladd McConkey,WR,LAC,9.182391803979005,15.525916796870096,142.56505114483994,22.38534970274621,56.0,24.0,55.0,20.0,20.0,44.0,-4.0,171.8,24.80492813141684,2.0,,0.0
Davante Adams,WR,LA,9.259270757161012,15.36179250125018,142.23899608440112,22.059294642307393,57.0,25.0,63.0,24.0,19.0,42.0,-6.0,157.7,33.686516084873375,12.0,,0.0
Juwan Johnson,TE,NO,8.32232410053545,15.8939237865987,132.27438498128402,21.809619390050358,58.0,5.0,114.0,14.0,17.0,110.0,12.0,109.6,29.965776865160848,6.0,,0.0
Sam LaPorta,TE,DET,8.739937826011491,15.066396400111458,131.67936779901748,21.214602207783827,59.0,6.0,85.0,7.0,8.0,85.0,2.0,144.1,25.634496919917865,3.0,,0.0
Sam Darnold,QB,SEA,14.416580321585126,17.0,245.08186546694714,21.120552064154623,60.0,9.0,69.0,19.0,23.0,174.0,14.0,262.74,29.240246406570844,8.0,,0.0
Brock Bowers,TE,LV,8.895349355907108,14.290535141843964,127.1193025695696,16.65453697833594,61.0,7.0,39.0,2.0,2.0,27.0,-5.0,188.0,23.718001368925396,2.0,,0.0
Baker Mayfield,QB,TB,16.229738385114235,14.796881209827971,240.1495109511206,16.188197548328077,62.0,10.0,64.0,16.0,19.0,146.0,9.0,274.88,31.38398357289528,8.0,,0.0
Dallas Goedert,TE,PHI,8.252705796883983,15.302918699498845,126.29048586059842,15.825720269364766,63.0,8.0,111.0,12.0,12.0,101.0,4.0,115.5,31.66050650239562,8.0,,0.0
Quentin Johnston,WR,LAC,9.056531921336035,15.003278263508095,135.87766851814814,15.697967076054411,64.0,26.0,103.0,40.0,46.0,118.0,20.0,134.9,24.985626283367555,3.0,,0.0
Dalton Schultz,TE,HOU,7.5471212220238595,16.551314051966976,124.91477353398169,14.45000794274803,65.0,9.0,120.0,17.0,15.0,105.0,6.0,106.0,30.140999315537304,8.0,,0.0
Colston Loveland,TE,CHI,8.095525812510017,15.34888291965289,124.25727786924409,13.792512278010435,66.0,10.0,65.0,3.0,3.0,46.0,-7.0,161.9,22.39561943874059,1.0,,0.0
TreVeyon Henderson,RB,NE,9.232985696819807,13.743909067905754,126.89731584236587,12.173146296333869,67.0,21.0,61.0,22.0,20.0,43.0,-1.0,162.0,23.860369609856264,1.0,,0.0
Quinshon Judkins,RB,CLE,9.051332697195809,13.986532179024364,126.59675603238458,11.872586486352574,68.0,22.0,67.0,23.0,25.0,59.0,3.0,167.8,22.84188911704312,1.0,,0.0
David Montgomery,RB,HOU,8.701379725575844,14.516007170035465,126.30929048566018,11.585120939628183,69.0,23.0,59.0,21.0,26.0,63.0,3.0,180.4,29.234770704996578,7.0,,0.0
Alec Pierce,WR,IND,8.665164930541035,15.050556284245397,130.4155524993772,10.235851057283483,70.0,27.0,80.0,31.0,40.0,93.0,13.0,157.0,26.33264887063655,4.0,,0.0
Michael Pittman,WR,PIT,8.328048212179915,15.624241265582967,130.11943453850589,9.939733096412155,71.0,28.0,108.0,44.0,45.0,115.0,17.0,133.5,28.90622861054073,6.0,,0.0
Luther Burden III,WR,CHI,8.490080011415168,15.323655801391354,130.09906382119883,9.919362379105095,72.0,29.0,57.0,22.0,17.0,40.0,-12.0,166.7,22.72142368240931,1.0,,0.0
Jordan Addison,WR,MIN,9.100388492996416,14.257510890752567,129.74888804897574,9.569186606882013,73.0,30.0,102.0,39.0,43.0,106.0,13.0,134.1,24.594113620807665,3.0,,0.0
Kenneth Gainwell,RB,TB,7.953335621096152,15.546641207253666,123.64765530205187,8.923485756019872,74.0,24.0,118.0,35.0,37.0,109.0,13.0,116.2,27.468856947296374,5.0,,0.0
Tucker Kraft,TE,GB,7.908525220967761,15.077190138511277,119.23833847174284,8.773572880509178,75.0,11.0,98.0,8.0,6.0,71.0,-5.0,134.8,25.82614647501711,3.0,,0.0
Jakobi Meyers,WR,JAX,8.37145790861726,15.140410711870118,126.74731099359856,6.56760955150483,76.0,31.0,97.0,36.0,36.0,81.0,5.0,137.3,29.80971937029432,7.0,,0.0
Dak Prescott,QB,DAL,15.96313818869329,14.43999295126063,230.50760292473046,6.54628952193795,77.0,11.0,41.0,9.0,11.0,96.0,0.0,303.88,33.09240246406571,10.0,,0.0
Tony Pollard,RB,TEN,8.07280899357933,14.83237036512826,119.73889287970692,5.014723333674922,78.0,25.0,88.0,29.0,30.0,76.0,5.0,146.1,29.3388090349076,7.0,,0.0
Michael Wilson,WR,AZ,7.8468446539505035,15.891396089422205,124.69731644809256,4.5176150059988345,79.0,32.0,90.0,34.0,34.0,77.0,2.0,139.9,26.521560574948666,3.0,,0.0
Tre Tucker,WR,LV,7.835577443547142,15.910334392108501,124.6666572820977,4.486955840003972,80.0,33.0,,,79.0,207.0,46.0,91.8,25.4839151266256,3.0,,0.0
Jordan Love,QB,GB,14.843048186788653,15.388758100480274,228.41607802026294,4.454764617470431,81.0,12.0,58.0,14.0,16.0,128.0,4.0,282.52,27.83025325119781,5.0,,0.0
J.K. Dobbins,RB,DEN,9.646406349954418,12.332687004838464,118.96611023547409,4.241940689442089,82.0,26.0,95.0,30.0,34.0,94.0,8.0,147.2,27.707049965776864,6.0,,0.0
Jared Goff,QB,DET,15.120711264283738,15.07357301544631,227.9231452876624,3.961831884869895,83.0,13.0,60.0,15.0,17.0,132.0,4.0,283.46,31.88227241615332,10.0,,0.0
Zach Charbonnet,RB,SEA,7.971781882496633,14.815003146893046,118.10197367553259,3.377804129500589,84.0,27.0,130.0,38.0,42.0,125.0,15.0,68.8,25.645448323066397,3.0,,0.0
Rachaad White,RB,WAS,7.940251254323371,14.857304901373979,117.97073387899951,3.246564332967509,85.0,28.0,133.0,39.0,51.0,152.0,23.0,106.7,27.63586584531143,4.0,,0.0
Romeo Doubs,WR,NE,7.649180541413225,16.123271276588934,123.32981291281084,3.150111470717107,86.0,34.0,107.0,43.0,48.0,126.0,14.0,138.7,26.38466803559206,4.0,,0.0
Khalil Shakir,WR,BUF,7.546719043015194,16.296993860455284,122.9888339105996,2.809132468505865,87.0,35.0,119.0,45.0,50.0,130.0,15.0,132.0,26.576317590691307,4.0,,0.0
Jaylen Warren,RB,PIT,8.304481964570751,14.096903633071186,117.06748197713156,2.3433124310995623,88.0,29.0,76.0,25.0,27.0,64.0,-2.0,152.6,27.83299110198494,4.0,,0.0
AJ Barner,TE,SEA,6.701851216463028,16.589188012052922,111.17826985871076,0.7135042674771057,89.0,12.0,128.0,20.0,22.0,135.0,10.0,113.4,24.331279945242983,2.0,,0.0
George Kittle,TE,SF,8.453773559545105,13.141083246192643,111.09174209044453,0.6269764992108691,90.0,13.0,117.0,16.0,16.0,108.0,3.0,123.4,32.8952772073922,9.0,,0.0
DJ Moore,WR,BUF,7.9052457484077445,15.202525673069687,120.17970144209373,0.0,91.0,36.0,78.0,29.0,26.0,58.0,-10.0,147.5,29.38261464750171,8.0,,0.0
Rhamondre Stevenson,RB,NE,7.510371662724061,15.275431722698634,114.724169546032,0.0,91.0,30.0,75.0,24.0,28.0,69.0,-2.0,157.9,28.520191649555095,5.0,,0.0
Aaron Rodgers,QB,PIT,13.799438089935357,16.229741525934962,223.9613134027925,0.0,91.0,14.0,,,,,,,42.74880219028063,15.0,,0.0
Oronde Gadsden II,TE,LAC,6.729646968738817,16.414644944136725,110.46476559123366,0.0,91.0,14.0,110.0,11.0,10.0,89.0,-4.0,122.1,23.18685831622177,1.0,,0.0
Garrett Wilson,WR,NYJ,8.983919909644094,13.104749997420912,117.73202441273811,-2.447677029355617,95.0,37.0,53.0,18.0,16.0,38.0,-21.0,188.1,26.11088295687885,4.0,,0.0
Mark Andrews,TE,BAL,6.864320311615365,15.581128586646223,106.95385743520647,-3.5109081560271846,96.0,15.0,112.0,13.0,14.0,103.0,-1.0,127.8,30.98699520876112,8.0,,0.0
Rico Dowdle,RB,PIT,7.826045466600042,14.14657873620175,110.71176838635226,-4.01240115967974,97.0,31.0,99.0,32.0,31.0,80.0,0.0,136.6,28.216290212183434,6.0,,0.0
RJ Harvey,RB,DEN,6.98879388375853,15.720941221679787,109.87041785700305,-4.853751689028954,98.0,32.0,83.0,26.0,21.0,48.0,-11.0,139.8,25.571526351813823,1.0,,0.0
Harold Fannin Jr.,TE,CLE,7.261985123304464,14.242987302242398,103.43236190029867,-7.032403690934984,99.0,16.0,84.0,6.0,5.0,65.0,-11.0,148.1,22.11635865845312,1.0,,0.0
Malik Nabers,WR,NYG,9.905763289239594,11.408900015429944,113.01386294345099,-7.165838498642742,100.0,38.0,44.0,14.0,8.0,21.0,-30.0,192.6,23.096509240246405,2.0,,0.0
Jake Ferguson,TE,DAL,6.365639882986211,16.07539846129979,102.33019758014512,-8.134568011088533,101.0,17.0,115.0,15.0,13.0,102.0,-4.0,124.8,27.61943874058864,4.0,,0.0
Kyle Monangai,RB,CHI,7.763880762067562,13.553154871594051,105.22507837289132,-9.499091173140684,102.0,33.0,96.0,31.0,29.0,75.0,-4.0,143.1,24.23819301848049,1.0,,0.0
Brenton Strange,TE,JAX,6.588664140308386,15.260274349907075,100.5448223805006,-9.919943210733052,103.0,18.0,123.0,19.0,18.0,112.0,0.0,124.8,25.678302532511974,3.0,,0.0
Parker Washington,WR,JAX,6.93423060019374,15.844646425840583,109.87043209531416,-10.309269346779573,104.0,39.0,92.0,35.0,42.0,97.0,3.0,158.2,24.449007529089663,3.0,,0.0
Dalton Kincaid,TE,BUF,6.71104941727674,14.60308920462395,98.00205329713182,-12.462712294101834,105.0,19.0,109.0,10.0,9.0,87.0,-10.0,125.6,26.87200547570157,3.0,,0.0
Rome Odunze,WR,CHI,7.651834311720579,13.985016472499836,107.01102889425175,-13.168672547841979,106.0,40.0,82.0,33.0,30.0,68.0,-10.0,156.7,24.246406570841888,2.0,,0.0
Hunter Henry,TE,NE,7.088653504866757,13.57696736087574,96.24241726813338,-14.222348323100277,107.0,20.0,121.0,18.0,11.0,98.0,-9.0,119.9,31.734428473648187,10.0,,0.0
Chuba Hubbard,RB,CAR,6.912340696726467,14.485471895132846,100.12851689201423,-14.59565265401777,108.0,34.0,87.0,28.0,32.0,83.0,-2.0,159.1,27.225188227241617,5.0,,0.0
Bryce Young,QB,CAR,13.380501742951914,15.51633688858848,207.61637278198722,-16.34494062080529,109.0,15.0,,,27.0,205.0,12.0,225.26,25.10335386721424,3.0,,0.0
Troy Franklin,WR,DEN,6.605717670224097,15.632090180933945,103.26117433073196,-16.91852711136177,110.0,41.0,,,69.0,185.0,28.0,70.6,23.567419575633128,2.0,,0.0
Jaxson Dart,QB,NYG,15.155014698874064,13.63158923824714,206.5869352746489,-17.374378128143604,111.0,16.0,43.0,10.0,7.0,78.0,-9.0,300.54,23.30458590006845,1.0,,0.0
Xavier Worthy,WR,KC,7.1315831773707,14.292089660829296,101.92522619464393,-18.254475247449804,112.0,42.0,122.0,46.0,51.0,131.0,9.0,134.0,23.34839151266256,2.0,,0.0
Josh Downs,WR,IND,6.542247110308962,15.558087748357384,101.78485461362435,-18.394846828469383,113.0,43.0,126.0,49.0,56.0,148.0,13.0,132.1,25.05407255304586,3.0,,0.0
Jacory Croskey-Merritt,RB,WAS,7.689442227215295,12.245104622209297,94.15802455868536,-20.566144987346647,114.0,35.0,127.0,36.0,40.0,120.0,5.0,118.4,25.388090349075977,1.0,,0.0
Tyrone Tracy Jr.,RB,NYG,6.477263095142547,14.374802114941883,93.10937523909008,-21.614794306941917,115.0,36.0,135.0,40.0,44.0,133.0,8.0,100.8,26.77344284736482,2.0,,0.0
Theo Johnson,TE,NYG,5.592689836957806,15.601397358336353,87.25377644830809,-23.21098914292557,116.0,21.0,148.0,25.0,30.0,159.0,9.0,61.5,25.51129363449692,2.0,,0.0
Jordan Mason,RB,MIN,6.698424084928648,13.522670140994192,90.58057936498098,-24.143590181051025,117.0,37.0,129.0,37.0,45.0,136.0,8.0,118.0,27.274469541409992,4.0,,0.0
Pat Freiermuth,TE,PIT,5.32294656386925,16.160423702532178,86.02107181806484,-24.443693773168818,118.0,22.0,,,,,,,27.852156057494867,5.0,,0.0
Chris Godwin Jr.,WR,TB,7.464187669887571,12.800697414178973,95.54680780487641,-24.63289363721732,119.0,44.0,101.0,38.0,41.0,95.0,-3.0,139.6,30.510609171800137,9.0,,0.0
T.J. Hockenson,TE,MIN,5.635011858710339,15.183953597696977,85.56175858512998,-24.903007006103678,120.0,23.0,137.0,22.0,23.0,139.0,0.0,103.0,29.163586584531146,7.0,,0.0
Cam Ward,QB,TEN,12.493478242594785,15.912966661227353,198.80830275718012,-25.153010645612397,121.0,17.0,,,25.0,196.0,8.0,227.84,24.27104722792608,1.0,,0.0
Marvin Harrison Jr.,WR,AZ,7.0421242822814865,13.465614391416526,94.82653008163336,-25.353171360460365,122.0,45.0,100.0,37.0,38.0,88.0,-7.0,145.7,24.057494866529773,2.0,,0.0
Christian Watson,WR,GB,6.929547954883901,13.662354762684284,94.6739425046572,-25.505758937436525,123.0,46.0,79.0,30.0,29.0,66.0,-17.0,159.9,27.307323750855577,4.0,,0.0
Cade Otton,TE,TB,5.313195556269512,15.928387932646865,84.63063998227624,-25.83412560895742,124.0,24.0,142.0,23.0,31.0,161.0,7.0,100.0,27.381245722108144,4.0,,0.0
Jonathon Brooks,RB,CAR,6.683013712648851,13.019429497032467,87.00902585953291,-27.71514368649909,125.0,38.0,158.0,50.0,57.0,176.0,19.0,24.3,23.11567419575633,2.0,,0.0
Mason Taylor,TE,NYJ,5.616799141086146,14.564576919701478,81.80630313286237,-28.65846245837129,126.0,25.0,150.0,27.0,27.0,154.0,2.0,60.8,22.31622176591376,1.0,,0.0
Jauan Jennings,WR,MIN,6.46305134284346,14.153796502430968,91.47671349136954,-28.702987950724193,127.0,47.0,136.0,52.0,52.0,134.0,5.0,108.1,29.144421629021217,5.0,,0.0
Woody Marks,RB,HOU,5.520736973342192,15.58088981558171,86.01799448245275,-28.706175063579252,128.0,39.0,139.0,42.0,43.0,129.0,4.0,74.3,25.67282683093772,1.0,,0.0
Matthew Golden,WR,GB,6.133518552241313,14.641139196839795,89.80169888976435,-30.378002552329377,129.0,48.0,132.0,51.0,63.0,172.0,15.0,132.3,23.08555783709788,1.0,,0.0
Jerry Jeudy,WR,CLE,5.739007634539605,15.414432683321444,88.46354685167857,-31.716154590415158,130.0,49.0,147.0,54.0,64.0,175.0,15.0,98.1,27.35660506502396,6.0,,0.0
Terry McLaurin,WR,WAS,6.807576516152055,12.916144994337808,87.92764534266898,-32.25205609942475,131.0,50.0,74.0,28.0,25.0,54.0,-25.0,165.6,30.96235455167693,7.0,,0.0
Mike Evans,WR,SF,7.406276010227223,11.845561729947452,87.73149966817549,-32.44820177391824,132.0,51.0,73.0,27.0,27.0,60.0,-24.0,173.0,33.02943189596167,12.0,,0.0
Evan Engram,TE,DEN,4.9735561238767385,15.669928321451057,77.93526796386244,-32.529497627371214,133.0,26.0,,,,,,,31.99726214921287,9.0,,0.0
C.J. Stroud,QB,HOU,12.759995584378832,14.866071415089865,189.69100561360705,-34.270307789185466,134.0,18.0,94.0,23.0,22.0,170.0,4.0,234.2,24.91170431211499,3.0,,0.0
Patrick Mahomes,QB,KC,15.359920962390218,12.27943913347961,188.61121455272823,-35.350098850064285,135.0,19.0,66.0,17.0,12.0,100.0,-7.0,278.62,30.95687885010267,9.0,,0.0
Ricky Pearsall,WR,SF,6.312193370671848,13.281115401967039,83.83296859542412,-36.34673284666961,136.0,52.0,104.0,41.0,39.0,92.0,-13.0,139.7,25.976728268309376,2.0,,0.0
Bhayshul Tuten,RB,JAX,5.808364228301627,13.425515588309231,77.9802844896412,-36.743885056390795,137.0,40.0,86.0,27.0,23.0,51.0,-17.0,152.9,24.54483230663929,1.0,,0.0
Alvin Kamara,RB,NO,5.99263743123723,12.834311924992223,76.91137804588274,-37.81279150014926,138.0,41.0,151.0,47.0,49.0,147.0,8.0,40.9,31.1047227926078,9.0,,0.0
Cole Kmet,TE,CHI,4.538594265361308,16.003759772603786,72.63457232815954,-37.83019326307412,139.0,27.0,,,,,,,27.479808350444905,6.0,,0.0
Tyjae Spears,RB,TEN,5.479867014897755,13.919448856186646,76.27672865257348,-38.44744089345852,140.0,42.0,143.0,45.0,50.0,149.0,8.0,97.1,25.21286789869952,3.0,,0.0
Tua Tagovailoa,QB,ATL,14.337313853985728,12.921223464496787,185.25563618797526,-38.70567721481726,141.0,20.0,,,32.0,243.0,12.0,137.94,28.501026694045173,6.0,,0.0
Jayden Higgins,WR,HOU,5.1416781892007295,15.821202720765616,81.3475329562838,-38.83216848580993,142.0,53.0,125.0,48.0,53.0,137.0,0.0,135.2,23.71252566735113,1.0,,0.0
Blake Corum,RB,LA,5.373098894488008,14.099283765260893,75.75684601219602,-38.96732353383598,143.0,43.0,113.0,33.0,33.0,86.0,-10.0,127.8,25.765913757700204,2.0,,0.0
Dawson Knox,TE,BUF,4.417052694955196,15.892731165307904,70.1990310239217,-40.26573456731195,144.0,28.0,,,,,,,29.796030116358654,7.0,,0.0
Pat Bryant,WR,DEN,4.98311452621233,16.00780297581302,79.76871554151883,-40.4109859005749,145.0,54.0,,,70.0,186.0,16.0,78.9,23.72621492128679,1.0,,0.0
Cooper Kupp,WR,SEA,5.102894310450623,15.602887850067908,79.61988763671067,-40.55981380538306,146.0,55.0,,,96.0,233.0,41.0,70.4,33.21286789869952,9.0,,0.0
Trey Benson,RB,AZ,6.306955021805957,11.703466760445277,73.81323845732943,-40.91093108870257,147.0,44.0,154.0,49.0,47.0,142.0,3.0,25.7,24.109514031485283,2.0,,0.0
Rashid Shaheed,WR,SEA,5.9054226494588855,13.390676218849197,79.07760263436252,-41.10209880773121,148.0,56.0,145.0,53.0,65.0,177.0,9.0,111.2,28.00273785078713,4.0,,0.0
Michael Carter,RB,TEN,5.4935035639087335,13.397910582073715,73.60146953155248,-41.12270001447952,149.0,45.0,,,,,,,27.32101300479124,5.0,,0.0
Adonai Mitchell,WR,NYJ,5.0484372610887105,15.579419649753925,78.65172266595535,-41.52797877613838,150.0,57.0,159.0,56.0,66.0,179.0,9.0,52.2,23.89869952087611,2.0,,0.0
Chig Okonkwo,TE,WAS,4.53015560903904,15.091033459441473,68.36472987248462,-42.10003571874904,151.0,29.0,146.0,24.0,26.0,153.0,-3.0,95.9,26.981519507186857,4.0,,0.0
Kayshon Boutte,WR,NE,4.884552628188801,15.849499070242224,77.41771233902762,-42.761989103066114,152.0,58.0,156.0,55.0,67.0,180.0,9.0,79.1,24.32032854209445,3.0,,0.0
Aaron Jones,RB,MIN,5.954022928649668,12.075676223996195,71.898853116623,-42.825316429409,153.0,46.0,116.0,34.0,36.0,107.0,-10.0,136.8,31.74811772758385,9.0,,0.0
James Conner,RB,AZ,7.526481936203483,9.525348345213544,71.69236225629548,-43.03180728973652,154.0,47.0,144.0,46.0,39.0,116.0,-8.0,53.8,31.326488706365502,9.0,,0.0
Chimere Dike,WR,TEN,4.860429695168152,15.866008018431769,77.11561651656179,-43.064084925531944,155.0,59.0,,,71.0,188.0,12.0,70.4,24.71457905544148,1.0,,0.0
Geno Smith,QB,NYJ,13.654229282897228,13.181067447844235,179.9773171261982,-43.983996276594326,156.0,21.0,,,,,,,35.893223819301845,13.0,,0.0
Kimani Vidal,RB,LAC,5.508855660222668,12.752017396010194,70.24902321126869,-44.47514633476331,157.0,48.0,160.0,51.0,55.0,171.0,7.0,32.2,25.010266940451743,2.0,,0.0
Keon Coleman,WR,BUF,4.890377059605486,15.408207984574652,75.35194685739395,-44.827754584699775,158.0,60.0,,,95.0,232.0,35.0,31.8,23.29363449691992,2.0,,0.0
Chris Rodriguez Jr.,RB,JAX,6.21273741047176,11.218822873774068,69.69960056935246,-45.02456897667955,159.0,49.0,140.0,43.0,56.0,173.0,7.0,125.0,26.93223819301848,3.0,,0.0
David Njoku,TE,LAC,4.597879449844871,14.201678399516688,65.29760526644358,-45.167160324790075,160.0,30.0,149.0,26.0,24.0,140.0,-6.0,64.2,30.143737166324435,9.0,,0.0
Lamar Jackson,QB,BAL,15.617114862549766,11.447024105073718,178.7694902833122,-45.19182311948032,161.0,22.0,35.0,7.0,2.0,37.0,-20.0,320.0,29.648186173853524,8.0,,0.0
Tyler Allgeier,RB,AZ,5.098369104709939,13.595103713886482,69.3128567502062,-45.41131279582581,162.0,50.0,141.0,44.0,38.0,111.0,-12.0,67.8,26.379192334017795,4.0,,0.0
Brian Robinson,RB,ATL,5.445617192839384,12.522992752684102,68.19542463981955,-46.52874490621245,163.0,51.0,138.0,41.0,35.0,99.0,-16.0,63.4,27.44695414099932,4.0,,0.0
Jayden Reed,WR,GB,6.375034514884212,11.532651367856976,73.52105051821485,-46.65865092387888,164.0,61.0,124.0,47.0,49.0,127.0,-12.0,136.8,26.34360027378508,3.0,,0.0
Mike Gesicki,TE,CIN,4.370009027023425,14.4330868647739,63.07271988687516,-47.392045704358495,165.0,31.0,,,,,,,30.91307323750856,8.0,,0.0
Marquise Brown,WR,PHI,4.837168486207893,15.033445002804262,72.7193064067043,-47.460395035389425,166.0,62.0,,,,,,,29.24298425735797,7.0,,0.0
Daniel Jones,QB,IND,14.796419493344825,11.903806332929191,176.13371206955506,-47.82760133323745,167.0,23.0,,,26.0,204.0,3.0,231.52,29.26488706365503,7.0,,0.0
Tank Dell,WR,HOU,6.4387608098654,10.933735059215437,70.3997048047277,-49.779996637366025,168.0,63.0,,,80.0,209.0,17.0,80.8,26.84188911704312,3.0,,0.0
Ollie Gordon II,RB,MIA,4.811644729244066,13.49399886943562,64.9283285365453,-49.79584100948671,169.0,52.0,,,,,,,22.628336755646817,1.0,,0.0
Darnell Mooney,WR,NYG,4.892768067760394,14.384973442025297,70.3823387127227,-49.79736272937103,170.0,64.0,,,83.0,217.0,19.0,58.5,28.84052019164956,6.0,,0.0
Tank Bigsby,RB,PHI,5.834132700739252,11.100833590650192,64.763736256677,-49.960433289354995,171.0,53.0,162.0,53.0,58.0,178.0,5.0,53.2,24.005475701574262,3.0,,0.0
Tre Harris,WR,LAC,4.395465590969263,15.899991830983376,69.8878669897798,-50.291834452313935,172.0,65.0,,,73.0,194.0,8.0,93.4,24.50650239561944,1.0,,0.0
Colby Parkinson,TE,LA,3.6724775456174674,16.37465591846095,60.13555617776,-50.329209413473656,173.0,32.0,151.0,28.0,25.0,151.0,-7.0,67.2,27.64955509924709,6.0,,0.0
Trevor Etienne,RB,CAR,5.071832500651013,12.65941069233113,64.20641058845396,-50.51775895757804,174.0,54.0,,,,,,,22.14647501711157,1.0,,0.0
Elic Ayomanor,WR,TEN,4.480769316709044,15.298016660060474,68.54688365690275,-51.63281778519098,175.0,66.0,,,77.0,201.0,11.0,46.7,23.247091033538677,1.0,,0.0
Terrance Ferguson,TE,LA,3.754728325368848,15.617930299580001,58.64108527946941,-51.82368031176425,176.0,33.0,157.0,30.0,29.0,157.0,-4.0,66.4,23.48802190280629,1.0,,0.0
Marvin Mims Jr.,WR,DEN,4.433955587587926,15.399456032785093,68.28050412238206,-51.899197319711675,177.0,67.0,,,82.0,215.0,15.0,56.4,24.45448323066393,3.0,,0.0
Jalen Coker,WR,CAR,5.268380330833813,12.881851265837248,67.86649183366362,-52.313209608430114,178.0,68.0,131.0,50.0,55.0,144.0,-13.0,133.9,24.83778234086242,2.0,,0.0
Brandon Aiyuk,WR,SF,6.343349547294867,10.68970630520505,67.80854365183754,-52.37115779025619,179.0,69.0,,,72.0,189.0,3.0,106.3,28.459958932238195,6.0,,0.0
Isaiah Bond,WR,CLE,4.703192448956429,14.289072771134437,67.2042591597884,-52.97544228230532,180.0,70.0,,,,,,,22.46406570841889,1.0,,0.0
Gunnar Helm,TE,TEN,3.567813433943612,16.08191885332477,57.377286128483156,-53.0874794627505,181.0,34.0,154.0,29.0,32.0,165.0,-2.0,94.3,23.98631074606434,1.0,,0.0
Calvin Ridley,WR,TEN,5.702011545156308,11.720678354602956,66.8314432950097,-53.348258147084024,182.0,71.0,,,74.0,195.0,3.0,63.8,31.698836413415467,8.0,,0.0
Dylan Sampson,RB,CLE,4.327637006585795,14.108127855072514,61.05485619925569,-53.66931334677631,183.0,55.0,151.0,47.0,52.0,156.0,-3.0,77.2,21.96303901437372,1.0,,0.0
Xavier Legette,WR,CAR,4.29460336601602,15.14050204909499,65.0224510632158,-55.15725037887793,184.0,72.0,,,,,,,25.587953456536617,2.0,,0.0
Greg Dulcich,TE,MIA,3.777521732184603,14.371834957698297,54.2899188840757,-56.174846707157954,185.0,35.0,,,,,,,26.43394934976044,4.0,,0.0
Devin Singletary,RB,NYG,4.243554202081237,13.548466752380534,57.49365301882234,-57.23051652720966,186.0,56.0,,,,,,,28.993839835728952,7.0,,0.0
Samaje Perine,RB,CIN,4.560343907578686,12.497474428899118,56.99278137195051,-57.731388174081495,187.0,57.0,,,,,,,30.9596167008898,9.0,,0.0
Darnell Washington,TE,PIT,3.3072963225848877,15.89387491256408,52.56575404994739,-57.89901154128627,188.0,36.0,,,,,,,25.0403832991102,3.0,,0.0
Isaac TeSlaa,WR,DET,3.8138533488690465,16.093618003909402,61.37869891962905,-58.80100252246468,189.0,73.0,,,76.0,200.0,3.0,88.9,24.52840520191649,1.0,,0.0
Ray Davis,RB,BUF,4.341891611840261,12.855742956949214,55.818242508752306,-58.905927037279696,190.0,58.0,,,65.0,198.0,7.0,53.5,26.781656399726216,2.0,,0.0
Jake Tonges,TE,SF,3.1795855369634842,16.13839154506021,51.31339634652722,-59.15136924470644,191.0,37.0,,,33.0,191.0,-4.0,55.8,27.15126625598905,4.0,,0.0
Jordan James,RB,SF,4.845675119260621,11.459270583826568,55.527902352923526,-59.196267193108476,192.0,59.0,,,,,,,22.42573579739904,0.0,,0.0
John Metchie III,WR,CAR,3.9891615557037405,15.106928866894334,60.26397986056595,-59.915721581527784,193.0,74.0,,,,,,,26.12183436002738,3.0,,0.0
