player_id,player_display_name,position,team,opponent_team,gameday,projected_pts,implied_team_total,depth_chart_position,injury_status_score,is_home,off_epa_roll4,opp_season_win_pct,opp_win_pct_roll4,off_epa_rank,sos_rank,pred_qb_pass_yards,pred_qb_rush_yards,pred_rush_yards,pred_rec_yards,pred_wr_receptions,pred_wr_rec_yards,pred_te_receptions,pred_te_rec_yards
00-0033106,Jared Goff,QB,DET,DAL,2025-12-04,22.3,26.0,1.0,1.0,1,0.1573203137248841,0.4666666666666667,0.6192557442557443,3,4,284.84,5.77,,,,,,
00-0034857,Josh Allen,QB,BUF,CIN,2025-12-07,22.19,24.25,1.0,1.0,1,0.1692050266074698,0.2142857142857142,0.4848068598068598,2,15,204.58,35.0,,,,,,
00-0039910,Jayden Daniels,QB,WAS,MIN,2025-12-07,22.16,21.0,1.0,1.0,0,-0.1204819871553674,0.7142857142857143,0.4870546120546121,25,14,228.79,37.64,,,,,,
00-0033873,Patrick Mahomes,QB,KC,HOU,2025-12-07,20.5,18.5,1.0,1.0,1,-0.1152884611769509,0.5833333333333334,0.4682609057609058,24,16,270.82,15.09,,,,,,
00-0039732,Bo Nix,QB,DEN,LV,2025-12-07,19.75,16.0,1.0,1.0,0,0.1174218214754575,0.4,0.4614968364968364,6,18,255.35,4.18,,,,,,
00-0036971,Trevor Lawrence,QB,JAX,IND,2025-12-07,19.43,23.5,1.0,1.0,1,0.1250437759787225,0.5333333333333333,0.4613719613719613,5,19,245.99,20.52,,,,,,
00-0034796,Lamar Jackson,QB,BAL,PIT,2025-12-07,18.61,19.0,1.0,1.0,1,-0.0035963003912532,0.7857142857142857,0.4665334665334665,16,17,208.09,18.48,,,,,,
00-0036442,Joe Burrow,QB,CIN,BUF,2025-12-07,18.35,30.25,1.0,1.0,0,0.0448989351680796,0.2,0.5255577755577756,12,11,274.72,3.1,,,,,,
00-0036389,Jalen Hurts,QB,PHI,LAC,2025-12-08,17.98,20.0,1.0,1.0,0,0.0590580013814779,0.2857142857142857,0.4583749583749584,11,20,243.42,29.11,,,,,,
00-0033119,Jacoby Brissett,QB,ARI,LA,2025-12-07,17.74,29.5,1.0,1.0,1,-0.0200817692320336,0.3333333333333333,0.5669955044955045,20,5,255.19,16.7,,,,,,
00-0035710,Daniel Jones,QB,IND,JAX,2025-12-07,17.46,21.0,1.0,1.0,0,-0.1099062493798814,0.5454545454545454,0.6739094239094239,23,3,244.53,15.1,,,,,,
00-0035228,Kyler Murray,QB,ARI,LA,2025-12-07,17.33,29.5,3.0,1.0,1,-0.0200817692320336,0.6666666666666666,0.5669955044955045,20,5,227.14,19.77,,,,,,
00-0023459,Aaron Rodgers,QB,PIT,BAL,2025-12-07,17.17,24.5,1.0,1.0,0,0.069888843890464,0.2,0.5423326673326674,9,8,243.42,7.23,,,,,,
00-0036264,Jordan Love,QB,GB,CHI,2025-12-07,17.12,19.0,1.0,1.0,1,0.1529564013719251,0.8461538461538461,0.7367007992007992,4,1,259.44,11.88,,,,,,
00-0033077,Dak Prescott,QB,DAL,DET,2025-12-04,16.94,29.5,1.0,1.0,0,0.0876025690281826,0.2666666666666666,0.5569222444222444,7,7,250.56,7.81,,,,,,
00-0032268,Marcus Mariota,QB,WAS,MIN,2025-12-07,16.9,21.0,2.0,1.0,0,-0.1204819871553674,0.1538461538461538,0.4870546120546121,25,14,201.95,18.11,,,,,,
00-0039918,Caleb Williams,QB,CHI,GB,2025-12-07,16.82,25.5,1.0,1.0,0,0.075685334949902,0.7333333333333333,0.5668914418914419,8,6,227.79,14.55,,,,,,
00-0026498,Matthew Stafford,QB,LA,ARI,2025-12-07,16.38,20.0,1.0,1.0,0,0.2548577506652165,0.4,0.5377747252747253,1,10,276.03,7.78,,,,,,
