player_id,player_display_name,position,team,opponent_team,gameday,projected_pts,implied_team_total,depth_chart_position,injury_status_score,is_home,off_epa_roll4,opp_season_win_pct,opp_win_pct_roll4,off_epa_rank,sos_rank
00-0036332,Josiah Deguara,TE,ARI,SEA,2025-11-09,1.95,25.75,2.0,1.0,0,-0.0200817692320336,0.3333333333333333,0.5669955044955045,21,5
00-0035956,Giovanni Ricci,TE,DET,WAS,2025-11-09,1.89,20.5,2.0,1.0,0,0.1573203137248841,0.7692307692307693,0.6192557442557443,4,4
00-0039686,Colson Yankoff,TE,WAS,DET,2025-11-09,1.89,29.0,4.0,1.0,1,-0.1204819871553674,0.3333333333333333,0.4870546120546121,25,13
00-0038046,Charlie Kolar,TE,BAL,MIN,2025-11-09,1.85,22.0,2.0,1.0,0,-0.0035963003912532,0.7857142857142857,0.4665334665334665,17,15
00-0039613,Dallin Holker,TE,NO,CAR,2025-11-09,1.84,22.0,2.0,1.0,0,-0.0114811011743694,0.1666666666666666,0.4249292374292374,20,21
00-0040058,Nick Kallerup,TE,SEA,ARI,2025-11-09,1.78,18.75,4.0,1.0,1,-0.0089089855616453,0.3636363636363636,0.5245171495171495,19,11
00-0037282,James Mitchell,TE,CAR,NO,2025-11-09,1.76,16.5,4.0,1.0,1,0.0619172570125864,0.3333333333333333,0.5463286713286714,12,7
00-0031690,Eric Tomlinson,TE,LAC,PIT,2025-11-09,1.73,21.25,2.0,1.0,1,0.0667973673123801,0.2857142857142857,0.4346486846486846,11,20
00-0037306,John FitzPatrick,TE,GB,PHI,2025-11-10,1.67,22.0,2.0,1.0,1,0.1529564013719251,0.8461538461538461,0.7367007992007992,6,1
00-0037340,Zaire Mitchell-Paden,TE,BAL,MIN,2025-11-09,1.66,22.0,3.0,1.0,0,-0.0035963003912532,0.25,0.4665334665334665,17,15
00-0034159,Will Dissly,TE,LAC,PIT,2025-11-09,1.63,21.25,2.0,1.0,1,0.0667973673123801,0.6666666666666666,0.4346486846486846,11,20
00-0034981,Foster Moreau,TE,NO,CAR,2025-11-09,1.63,22.0,4.0,1.0,0,-0.0114811011743694,0.5833333333333334,0.4249292374292374,20,21
00-0040739,Elijah Arroyo,TE,SEA,ARI,2025-11-09,1.63,18.75,2.0,1.0,1,-0.0089089855616453,0.3636363636363636,0.5245171495171495,19,11
00-0036741,Jack Stoll,TE,NO,CAR,2025-11-09,1.61,22.0,2.0,0.5,0,-0.0114811011743694,0.5384615384615384,0.4249292374292374,20,21
00-0034073,Ross Dwelley,TE,DET,WAS,2025-11-09,1.59,20.5,2.0,1.0,0,0.1573203137248841,0.6363636363636364,0.6192557442557443,4,4
00-0036429,Charlie Woerner,TE,ATL,IND,2025-11-09,1.59,27.5,3.0,1.0,0,0.0221513693594375,0.2142857142857142,0.4211413586413586,14,22
00-0037277,Teagan Quitoriano,TE,ATL,IND,2025-11-09,1.58,27.5,2.0,1.0,0,0.0221513693594375,0.2,0.4211413586413586,14,22
00-0036887,Luke Farrell,TE,SF,LA,2025-11-09,1.56,27.5,3.0,1.0,1,0.1645314529215629,0.2727272727272727,0.3858641358641358,3,26
00-0038590,Justin Shorter,TE,LV,DEN,2025-11-06,1.54,26.0,8.0,1.0,0,-0.2095284627489942,0.3333333333333333,0.681984681984682,27,2
00-0039420,Jaheim Bell,TE,NE,TB,2025-11-09,1.51,25.5,5.0,1.0,0,0.1569497663344893,0.4615384615384615,0.4147435897435897,5,23
00-0036590,Quintin Morris,TE,JAX,HOU,2025-11-09,1.35,18.0,2.0,1.0,0,0.1250437759787225,0.5333333333333333,0.4613719613719613,7,17
00-0032141,Geoff Swaim,TE,CLE,NYJ,2025-11-09,1.29,18.0,2.0,1.0,0,-0.2035625371766095,0.3333333333333333,0.5391483516483516,26,9
00-0039737,Tip Reiman,TE,ARI,SEA,2025-11-09,1.25,25.75,2.0,1.0,0,-0.0200817692320336,1.0,0.5669955044955045,21,5
00-0036510,Kenny Yeboah,TE,NYJ,CLE,2025-11-09,1.16,19.5,2.0,1.0,1,-0.2392364677490492,0.8,0.4395812520812521,28,19
00-0024243,Marcedes Lewis,TE,CHI,NYG,2025-11-09,1.14,20.5,2.0,1.0,1,0.075685334949902,0.5,0.5668914418914419,9,6
