player_id,player_display_name,position,breakout_prob,breakout_type
00-0039916,Ricky Pearsall,WR,0.02593472,none
00-0039356,Ja'Tavion Sanders,TE,0.025867544,none
00-0034791,Nick Chubb,RB,0.025063645,none
00-0035710,Daniel Jones,QB,0.02503028,none
00-0033375,Tim Patrick,WR,0.024860658,none
00-0033077,Dak Prescott,QB,0.02414525,bounce_back
00-0030565,Geno Smith,QB,0.024022454,none
00-0037557,Ronnie Rivers,RB,0.023390297,none
00-0039847,Theo Johnson,TE,0.023261862,none
00-0033955,Jeremy McNichols,RB,0.023166431,none
00-0036196,Gabe Davis,WR,0.023072803,none
00-0039041,Elijah Higgins,TE,0.022859454,none
00-0037805,Jeremy Ruckert,TE,0.022606842,none
00-0038128,Malik Willis,QB,0.022068115,none
00-0039746,Will Shipley,RB,0.021046992,none
00-0033589,David Moore,WR,0.020973507,none
00-0036422,Adam Trautman,TE,0.020629406,none
00-0038619,Andrei Iosivas,WR,0.020625236,none
00-0031588,Stefon Diggs,WR,0.020615058,bounce_back
00-0038951,Sean Tucker,RB,0.020069828,none
00-0034981,Foster Moreau,TE,0.019721547,none
00-0038563,Tre Tucker,WR,0.019626454,none
00-0034829,Mike Gesicki,TE,0.019590136,none
00-0031236,Brandin Cooks,WR,0.019366559,none
00-0033526,Samaje Perine,RB,0.018874807,none
00-0037004,Hunter Long,TE,0.018592736,none
00-0032104,Ameer Abdullah,RB,0.01821073,none
00-0038040,Zamir White,RB,0.018039668,none
00-0035567,Craig Reynolds,RB,0.016303472,none
00-0038976,Marvin Mims Jr.,WR,0.016298035,none
00-0035208,Olamide Zaccheaus,WR,0.016009124,none
00-0039686,Colson Yankoff,TE,0.016002681,none
00-0033110,Tyler Higbee,TE,0.015954105,none
00-0038647,Ronnie Bell,WR,0.015656505,none
00-0035704,Drew Lock,QB,0.015377005,none
00-0037666,Jalen Tolbert,WR,0.01534156,none
00-0039793,AJ Barner,TE,0.014894499,none
00-0032950,Carson Wentz,QB,0.014582284,none
00-0038738,Hunter Luepke,RB,0.013836548,none
00-0036626,Dyami Brown,WR,0.01250659,none
00-0034159,Will Dissly,TE,0.01215037,none
