player_id,player_display_name,position,team,opponent_team,gameday,projected_pts,implied_team_total,depth_chart_position,injury_status_score,is_home,off_epa_roll4,opp_season_win_pct,opp_win_pct_roll4,off_epa_rank,sos_rank,pred_qb_pass_yards,pred_qb_rush_yards,pred_rush_yards,pred_rec_yards,pred_wr_receptions,pred_wr_rec_yards,pred_te_receptions,pred_te_rec_yards
00-0037834,Brock Purdy,QB,SF,ARI,2025-11-16,22.95,22.5,1.0,1.0,0,0.1645314529215629,0.7333333333333333,0.3858641358641358,3,28,261.43,15.22,,,,,,
00-0034857,Josh Allen,QB,BUF,TB,2025-11-16,21.57,20.25,1.0,1.0,1,0.1692050266074698,0.2142857142857142,0.4848068598068598,2,16,162.28,27.72,,,,,,
00-0039732,Bo Nix,QB,DEN,KC,2025-11-16,20.8,24.0,1.0,1.0,1,0.1174218214754575,0.4,0.4614968364968364,8,19,256.38,12.15,,,,,,
00-0036971,Trevor Lawrence,QB,JAX,LAC,2025-11-16,19.95,23.25,1.0,1.0,1,0.1250437759787225,0.5333333333333333,0.4613719613719613,7,20,242.8,15.1,,,,,,
00-0033077,Dak Prescott,QB,DAL,LV,2025-11-17,19.81,22.5,1.0,1.0,0,0.0876025690281826,0.2666666666666666,0.5569222444222444,9,6,260.07,5.91,,,,,,
00-0033106,Jared Goff,QB,DET,PHI,2025-11-16,19.76,24.5,1.0,1.0,0,0.1573203137248841,0.4666666666666667,0.6192557442557443,4,3,270.22,15.93,,,,,,
00-0033873,Patrick Mahomes,QB,KC,DEN,2025-11-16,19.26,20.5,1.0,1.0,0,-0.1152884611769509,0.5833333333333334,0.4682609057609058,26,17,265.76,12.59,,,,,,
00-0036264,Jordan Love,QB,GB,NYG,2025-11-16,18.91,17.0,1.0,1.0,0,0.1529564013719251,0.8461538461538461,0.7367007992007992,6,1,262.94,10.55,,,,,,
00-0032268,Marcus Mariota,QB,WAS,MIA,2025-11-16,18.03,25.0,2.0,1.0,0,-0.1204819871553674,0.1538461538461538,0.4870546120546121,27,15,201.01,24.32,,,,,,
00-0036945,Justin Fields,QB,NYJ,NE,2025-11-13,17.99,28.0,1.0,1.0,0,-0.2392364677490492,0.25,0.4395812520812521,30,22,177.89,23.82,,,,,,
00-0033119,Jacoby Brissett,QB,ARI,SF,2025-11-16,17.6,26.0,1.0,1.0,1,-0.0200817692320336,0.3333333333333333,0.5669955044955045,22,4,245.96,16.31,,,,,,
00-0028118,Tyrod Taylor,QB,NYJ,NE,2025-11-13,17.54,28.0,2.0,1.0,0,-0.2392364677490492,0.3636363636363636,0.4395812520812521,30,22,181.89,12.41,,,,,,
00-0034796,Lamar Jackson,QB,BAL,CLE,2025-11-16,17.47,15.0,1.0,1.0,0,-0.0035963003912532,0.7857142857142857,0.4665334665334665,19,18,198.48,13.01,,,,,,
00-0026498,Matthew Stafford,QB,LA,SEA,2025-11-16,17.46,23.25,1.0,1.0,1,0.2548577506652165,0.4,0.5377747252747253,1,10,284.54,13.13,,,,,,
00-0035228,Kyler Murray,QB,ARI,SF,2025-11-16,17.33,26.0,3.0,1.0,1,-0.0200817692320336,0.6666666666666666,0.5669955044955045,22,4,224.32,18.83,,,,,,
00-0029263,Russell Wilson,QB,NYG,GB,2025-11-16,17.31,24.5,2.0,1.0,1,-0.0875692463965452,0.8,0.5231684981684982,25,13,236.14,18.64,,,,,,
00-0039923,J.J. McCarthy,QB,MIN,CHI,2025-11-16,17.03,22.25,1.0,1.0,1,-0.0559571697535418,0.1428571428571428,0.3954170829170829,23,27,219.3,16.47,,,,,,
00-0036389,Jalen Hurts,QB,PHI,DET,2025-11-16,16.59,22.0,1.0,1.0,1,0.0590580013814779,0.2857142857142857,0.4583749583749584,14,21,230.38,21.34,,,,,,
00-0023459,Aaron Rodgers,QB,PIT,CIN,2025-11-16,16.52,21.5,1.0,1.0,1,0.069888843890464,0.2,0.5423326673326674,11,8,238.5,5.37,,,,,,
00-0039851,Drake Maye,QB,NE,NYJ,2025-11-13,16.4,15.5,1.0,1.0,1,0.1569497663344893,0.2,0.4147435897435897,5,25,229.61,33.03,,,,,,
00-0032950,Carson Wentz,QB,MIN,CHI,2025-11-16,16.38,22.25,3.0,1.0,1,-0.0559571697535418,0.6666666666666666,0.3954170829170829,23,27,244.27,5.39,,,,,,
00-0031503,Jameis Winston,QB,NYG,GB,2025-11-16,15.93,24.5,3.0,1.0,1,-0.0875692463965452,0.6,0.5231684981684982,25,13,227.49,14.55,,,,,,
00-0029604,Kirk Cousins,QB,ATL,CAR,2025-11-16,15.62,19.0,2.0,1.0,1,0.0221513693594375,0.7333333333333333,0.4211413586413586,16,24,252.17,2.76,,,,,,
00-0036972,Mac Jones,QB,SF,ARI,2025-11-16,15.56,22.5,2.0,1.0,0,0.1645314529215629,0.2727272727272727,0.3858641358641358,3,28,215.85,10.7,,,,,,
00-0040668,Shedeur Sanders,QB,CLE,BAL,2025-11-16,15.45,22.5,2.0,1.0,1,-0.2035625371766095,0.6,0.5391483516483516,28,9,210.56,25.15,,,,,,
00-0034869,Sam Darnold,QB,SEA,LA,2025-11-16,15.4,26.25,1.0,1.0,0,-0.0089089855616453,0.5333333333333333,0.5245171495171495,21,12,257.22,12.35,,,,,,
