week,position,slp_proj,name,norm_name
15,QB,21.43,Matthew Stafford,matthew stafford
6,QB,21.42,Justin Herbert,justin herbert
13,QB,21.4,Baker Mayfield,baker mayfield
17,QB,21.4,Matthew Stafford,matthew stafford
5,QB,21.35,Jalen Hurts,jalen hurts
1,QB,21.33,Patrick Mahomes,patrick mahomes
2,QB,21.33,Justin Fields,justin fields
3,QB,21.31,Dak Prescott,dak prescott
10,QB,21.3,Jared Goff,jared goff
17,QB,21.29,Baker Mayfield,baker mayfield
13,RB,21.28,Jahmyr Gibbs,jahmyr gibbs
15,RB,21.26,Christian McCaffrey,christian mccaffrey
11,RB,21.26,Christian McCaffrey,christian mccaffrey
12,RB,21.25,Christian McCaffrey,christian mccaffrey
18,QB,21.24,Jared Goff,jared goff
18,QB,21.24,Baker Mayfield,baker mayfield
5,QB,21.22,Drake Maye,drake maye
11,QB,21.16,Brock Purdy,brock purdy
10,QB,21.14,Bo Nix,bo nix
1,QB,21.13,Brock Purdy,brock purdy
12,RB,21.12,Jonathan Taylor,jonathan taylor
9,QB,21.12,Jaxson Dart,jaxson dart
3,QB,21.11,Justin Herbert,justin herbert
10,RB,21.09,Jonathan Taylor,jonathan taylor
7,QB,21.05,Justin Herbert,justin herbert
2,QB,21.03,Baker Mayfield,baker mayfield
10,QB,21.02,Daniel Jones,daniel jones
17,QB,20.99,Tyler Shough,tyler shough
4,QB,20.94,Justin Herbert,justin herbert
16,QB,20.92,Jacoby Brissett,jacoby brissett
2,QB,20.89,Jared Goff,jared goff
8,QB,20.84,Daniel Jones,daniel jones
13,QB,20.84,Trevor Lawrence,trevor lawrence
9,QB,20.82,Jayden Daniels,jayden daniels
8,QB,20.8,Drake Maye,drake maye
11,QB,20.8,Marcus Mariota,marcus mariota
2,QB,20.79,Kyler Murray,kyler murray
18,QB,20.77,Matthew Stafford,matthew stafford
9,RB,20.75,Jonathan Taylor,jonathan taylor
15,QB,20.75,Joe Burrow,joe burrow
3,QB,20.73,Baker Mayfield,baker mayfield
16,QB,20.71,Joe Burrow,joe burrow
4,RB,20.71,Christian McCaffrey,christian mccaffrey
12,QB,20.71,Matthew Stafford,matthew stafford
18,QB,20.67,Tyler Shough,tyler shough
7,QB,20.66,Justin Fields,justin fields
13,QB,20.66,Matthew Stafford,matthew stafford
7,RB,20.63,Christian McCaffrey,christian mccaffrey
3,QB,20.63,Kyler Murray,kyler murray
4,QB,20.62,Daniel Jones,daniel jones
12,RB,20.61,Jahmyr Gibbs,jahmyr gibbs
14,QB,20.6,Jordan Love,jordan love
1,QB,20.6,Dak Prescott,dak prescott
4,QB,20.59,Baker Mayfield,baker mayfield
15,QB,20.58,Marcus Mariota,marcus mariota
9,QB,20.57,Jared Goff,jared goff
8,QB,20.57,Dak Prescott,dak prescott
14,QB,20.57,Bo Nix,bo nix
2,QB,20.56,Justin Herbert,justin herbert
1,QB,20.56,Jared Goff,jared goff
16,QB,20.55,Tyler Shough,tyler shough
5,QB,20.53,Kyler Murray,kyler murray
2,QB,20.53,Bo Nix,bo nix
5,QB,20.51,Dak Prescott,dak prescott
8,RB,20.51,Bijan Robinson,bijan robinson
4,QB,20.49,Justin Fields,justin fields
11,QB,20.48,Bo Nix,bo nix
7,QB,20.47,Caleb Williams,caleb williams
16,QB,20.45,J.J. McCarthy,jj mccarthy
4,QB,20.43,Patrick Mahomes,patrick mahomes
11,QB,20.42,Baker Mayfield,baker mayfield
18,QB,20.41,Lamar Jackson,lamar jackson
18,QB,20.4,Joe Burrow,joe burrow
8,QB,20.4,Justin Fields,justin fields
4,QB,20.39,Jordan Love,jordan love
14,QB,20.37,Matthew Stafford,matthew stafford
13,QB,20.37,Daniel Jones,daniel jones
12,QB,20.35,Baker Mayfield,baker mayfield
5,QB,20.35,Baker Mayfield,baker mayfield
9,QB,20.34,Daniel Jones,daniel jones
9,QB,20.34,Bo Nix,bo nix
4,QB,20.33,Drake Maye,drake maye
3,QB,20.33,Jared Goff,jared goff
1,QB,20.32,Bo Nix,bo nix
13,QB,20.31,Jacoby Brissett,jacoby brissett
16,QB,20.31,Jordan Love,jordan love
17,QB,20.3,Jaxson Dart,jaxson dart
9,QB,20.3,Sam Darnold,sam darnold
4,QB,20.29,Bo Nix,bo nix
12,QB,20.28,Jared Goff,jared goff
3,QB,20.23,Bo Nix,bo nix
14,RB,20.2,Jonathan Taylor,jonathan taylor
6,QB,20.19,Bryce Young,bryce young
18,RB,20.16,Jahmyr Gibbs,jahmyr gibbs
8,RB,20.14,Jonathan Taylor,jonathan taylor
2,QB,20.11,Daniel Jones,daniel jones
1,QB,20.1,Kyler Murray,kyler murray
16,QB,20.08,Trevor Lawrence,trevor lawrence
1,QB,20.08,Tua Tagovailoa,tua tagovailoa
14,RB,20.08,De'Von Achane,devon achane
3,QB,20.06,Drake Maye,drake maye
2,QB,20.02,Dak Prescott,dak prescott
15,RB,20.02,Bijan Robinson,bijan robinson
16,QB,20.02,Jaxson Dart,jaxson dart
5,QB,20.01,Jared Goff,jared goff
16,QB,20.01,Jared Goff,jared goff
16,QB,20.0,Aaron Rodgers,aaron rodgers
9,QB,19.99,Jordan Love,jordan love
1,QB,19.98,Jordan Love,jordan love
8,QB,19.95,Marcus Mariota,marcus mariota
15,QB,19.95,Sam Darnold,sam darnold
15,QB,19.95,J.J. McCarthy,jj mccarthy
4,QB,19.9,Geno Smith,geno smith
2,QB,19.89,Sam Darnold,sam darnold
10,QB,19.88,Justin Fields,justin fields
17,RB,19.87,Jahmyr Gibbs,jahmyr gibbs
4,QB,19.87,Marcus Mariota,marcus mariota
11,QB,19.87,Jared Goff,jared goff
16,QB,19.87,Bo Nix,bo nix
7,QB,19.86,Bo Nix,bo nix
12,QB,19.86,Daniel Jones,daniel jones
17,QB,19.85,Sam Darnold,sam darnold
11,QB,19.84,Aaron Rodgers,aaron rodgers
7,QB,19.84,Jared Goff,jared goff
12,QB,19.83,Trevor Lawrence,trevor lawrence
18,QB,19.81,Sam Darnold,sam darnold
3,QB,19.8,Jordan Love,jordan love
12,QB,19.8,Jacoby Brissett,jacoby brissett
13,RB,19.78,De'Von Achane,devon achane
10,RB,19.77,Christian McCaffrey,christian mccaffrey
3,QB,19.76,Marcus Mariota,marcus mariota
10,QB,19.76,Marcus Mariota,marcus mariota
13,QB,19.76,Marcus Mariota,marcus mariota
2,QB,19.76,Jordan Love,jordan love
6,QB,19.75,Sam Darnold,sam darnold
17,RB,19.75,Jonathan Taylor,jonathan taylor
5,QB,19.74,Daniel Jones,daniel jones
18,QB,19.73,Shedeur Sanders,shedeur sanders
14,QB,19.73,Justin Herbert,justin herbert
4,QB,19.73,Dak Prescott,dak prescott
6,QB,19.72,Jordan Love,jordan love
2,QB,19.71,J.J. McCarthy,jj mccarthy
4,QB,19.7,Jared Goff,jared goff
3,QB,19.69,Tua Tagovailoa,tua tagovailoa
14,QB,19.68,Joe Burrow,joe burrow
6,QB,19.67,Jared Goff,jared goff
17,WR,19.67,Puka Nacua,puka nacua
5,QB,19.66,Jaxson Dart,jaxson dart
3,QB,19.66,Geno Smith,geno smith
13,QB,19.64,Joe Burrow,joe burrow
