player_id,player_display_name,position,team,opponent_team,gameday,projected_pts,implied_team_total,depth_chart_position,injury_status_score,is_home,off_epa_roll4,opp_season_win_pct,opp_win_pct_roll4,off_epa_rank,sos_rank,pred_qb_pass_yards,pred_qb_rush_yards,pred_rush_yards,pred_rec_yards,pred_wr_receptions,pred_wr_rec_yards,pred_te_receptions,pred_te_rec_yards
00-0035289,Gardner Minshew,QB,KC,IND,2025-11-23,8.14,23.5,2.0,1.0,1,-0.1152884611769509,0.6923076923076923,0.4682609057609058,25,17,144.98,1.35,,,,,,
00-0038476,Tommy DeVito,QB,NYG,DET,2025-11-23,7.62,32.25,3.0,1.0,0,-0.0875692463965452,0.4,0.5231684981684982,23,14,62.64,12.34,,,,,,
00-0038102,Kenny Pickett,QB,LV,CLE,2025-11-23,7.4,16.25,2.0,1.0,1,-0.2095284627489942,0.1333333333333333,0.681984681984682,27,2,90.76,10.83,,,,,,
00-0039398,Joe Milton III,QB,DAL,PHI,2025-11-23,6.8,25.25,2.0,1.0,1,0.0876025690281826,0.7142857142857143,0.5569222444222444,8,7,104.06,6.15,,,,,,
00-0027973,Andy Dalton,QB,CAR,SF,2025-11-24,6.57,28.0,2.0,1.0,0,0.0619172570125864,0.0,0.5463286713286714,11,8,80.4,5.56,,,,,,
00-0032434,Brandon Allen,QB,SF,CAR,2025-11-24,6.47,20.5,2.0,1.0,1,0.1645314529215629,0.7,0.3858641358641358,3,27,135.09,6.96,,,,,,
00-0033869,Mitchell Trubisky,QB,BUF,HOU,2025-11-20,6.22,19.0,2.0,1.0,0,0.1692050266074698,0.2222222222222222,0.4848068598068598,2,16,79.22,5.81,,,,,,
00-0040494,Max Brosmer,QB,MIN,GB,2025-11-23,5.83,24.0,2.0,1.0,0,-0.0559571697535418,0.5333333333333333,0.3954170829170829,21,26,125.82,10.74,,,,,,
00-0038583,Dorian Thompson-Robinson,QB,CLE,LV,2025-11-23,5.5,19.25,2.0,1.0,0,-0.2035625371766095,0.4666666666666667,0.5391483516483516,26,10,71.35,13.54,,,,,,
00-0038998,Jake Haener,QB,NO,ATL,2025-11-23,5.31,20.0,2.0,1.0,1,-0.0114811011743694,0.1666666666666666,0.4249292374292374,19,22,91.0,7.53,,,,,,
00-0040673,Jalen Milroe,QB,SEA,TEN,2025-11-23,5.01,14.5,3.0,1.0,0,-0.0089089855616453,0.0,0.5245171495171495,18,13,55.66,6.89,,,,,,
00-0038122,Desmond Ridder,QB,LV,CLE,2025-11-23,4.88,16.25,2.0,1.0,1,-0.2095284627489942,0.4615384615384615,0.681984681984682,27,2,91.44,3.52,,,,,,
00-0036928,Kyle Trask,QB,TB,LA,2025-11-23,4.85,28.25,2.0,1.0,0,0.0114114413538503,0.2727272727272727,0.3117715617715617,15,28,84.03,2.15,,,,,,
00-0038550,Hendon Hooker,QB,DET,NYG,2025-11-23,4.73,18.25,2.0,1.0,1,0.1573203137248841,0.1666666666666666,0.6192557442557443,4,4,67.99,6.51,,,,,,
00-0038416,Tyson Bagent,QB,CHI,PIT,2025-11-23,4.59,21.75,2.0,1.0,1,0.075685334949902,0.0,0.5668914418914419,9,6,29.32,2.98,,,,,,
00-0033662,Cooper Rush,QB,BAL,NYJ,2025-11-23,4.27,15.25,3.0,1.0,1,-0.0035963003912532,0.25,0.4665334665334665,17,18,62.95,0.0,,,,,,
00-0034771,Mason Rudolph,QB,PIT,CHI,2025-11-23,4.27,24.75,2.0,1.0,0,0.069888843890464,0.7,0.5423326673326674,10,9,63.58,5.63,,,,,,
00-0033319,Nick Mullens,QB,JAX,ARI,2025-11-23,4.1,22.5,2.0,1.0,0,0.1250437759787225,0.2307692307692307,0.4613719613719613,7,19,48.56,8.66,,,,,,
00-0031237,Teddy Bridgewater,QB,TB,LA,2025-11-23,3.98,28.25,2.0,1.0,0,0.0114114413538503,0.6666666666666666,0.3117715617715617,15,28,132.13,6.17,,,,,,
00-0034577,Kyle Allen,QB,DET,NYG,2025-11-23,3.56,18.25,2.0,1.0,1,0.1573203137248841,0.3333333333333333,0.6192557442557443,4,4,20.85,4.98,,,,,,
00-0032764,Derrick Henry,RB,BAL,NYJ,2025-11-23,20.66,15.25,1.0,1.0,1,-0.0035963003912532,0.6,0.4665334665334665,17,18,,,87.21,19.6,,,,
00-0037248,James Cook,RB,BUF,HOU,2025-11-20,17.9,19.0,1.0,1.0,0,0.1692050266074698,0.6666666666666666,0.4848068598068598,2,16,,,88.96,27.13,,,,
