game_id,season,week,home_team,away_team,gameday,spread_line,predicted_margin,xgb_margin,ridge_margin,lgbm_margin
2018_04_TB_CHI,2018,4,CHI,TB,2018-09-30,3.0,3.1778538,2.8622572,4.1246433,1.048411417672014
2018_04_DET_DAL,2018,4,DAL,DET,2018-09-30,3.0,3.3699527,3.0858057,4.222394,2.5684408116441353
2018_04_BUF_GB,2018,4,GB,BUF,2018-09-30,10.5,8.484376,8.621455,8.073139,6.276707125388126
2018_04_HOU_IND,2018,4,IND,HOU,2018-09-30,2.5,1.370595,1.6889098,0.4156506,0.7117998074808941
2018_04_NYJ_JAX,2018,4,JAX,NYJ,2018-09-30,8.5,8.27949,8.105803,8.800555,5.8593861687895785
2018_04_MIA_NE,2018,4,NE,MIA,2018-09-30,7.0,11.016007,9.990659,14.0920515,11.612028891454417
2018_04_PHI_TEN,2018,4,TEN,PHI,2018-09-30,-3.0,-1.1387001,-1.4577073,-0.18167877,-1.5200561933220857
2018_04_SEA_ARI,2018,4,ARI,SEA,2018-09-30,-3.0,-1.8494487,-1.4355224,-3.0912273,-2.8879477996725553
2018_04_CLE_OAK,2018,4,OAK,CLE,2018-09-30,2.5,-2.8178654,-2.848522,-2.7258961,-1.7150508919987353
2018_04_SF_LAC,2018,4,LAC,SF,2018-09-30,9.5,7.796439,7.0056424,10.168829,5.684318225956122
2018_04_NO_NYG,2018,4,NYG,NO,2018-09-30,-3.5,-2.0236006,-1.5389725,-3.477485,-1.7132627800748035
2018_04_BAL_PIT,2018,4,PIT,BAL,2018-09-30,3.5,8.076568,8.785313,5.9503336,8.402342922189657
2018_04_KC_DEN,2018,4,DEN,KC,2018-10-01,-4.0,-3.9105523,-3.2062554,-6.0234423,-3.645491576914461
2018_05_IND_NE,2018,5,NE,IND,2018-10-04,10.0,15.035726,13.765198,18.84731,11.565663108716095
2018_05_TEN_BUF,2018,5,BUF,TEN,2018-10-07,-3.0,-3.7529044,-3.651365,-4.057523,-3.4004227644992016
2018_05_NYG_CAR,2018,5,CAR,NYG,2018-10-07,6.0,7.500358,8.013619,5.9605727,8.364470070984567
2018_05_MIA_CIN,2018,5,CIN,MIA,2018-10-07,5.5,7.557453,8.187315,5.6678686,7.39646009169686
2018_05_BAL_CLE,2018,5,CLE,BAL,2018-10-07,-3.0,-3.0509315,-2.9187393,-3.4475076,-1.9546943543147681
2018_05_GB_DET,2018,5,DET,GB,2018-10-07,-1.0,-1.2358351,-0.6275479,-3.0606964,-0.4088704536811036
2018_05_JAX_KC,2018,5,KC,JAX,2018-10-07,3.0,3.7590482,3.1611698,5.552684,3.3854432120229387
2018_05_DEN_NYJ,2018,5,NYJ,DEN,2018-10-07,2.5,1.0955565,1.7233663,-0.78787255,0.1364759828192512
2018_05_ATL_PIT,2018,5,PIT,ATL,2018-10-07,3.0,7.5362687,8.075085,5.919821,7.484102073487619
2018_05_OAK_LAC,2018,5,LAC,OAK,2018-10-07,6.5,8.282401,9.1748085,5.605179,8.1655174207936
2018_05_MIN_PHI,2018,5,PHI,MIN,2018-10-07,3.0,3.0276985,3.6262941,1.2319121,2.794311007588896
2018_05_LA_SEA,2018,5,SEA,LA,2018-10-07,-7.0,-6.9725494,-6.884075,-7.237973,-2.8021690825268135
2018_05_ARI_SF,2018,5,SF,ARI,2018-10-07,5.5,4.377823,5.1191306,2.153901,4.718013600650343
2018_05_DAL_HOU,2018,5,HOU,DAL,2018-10-07,3.0,1.1138823,1.6371603,-0.4559517,0.9717561191442924
2018_05_WAS_NO,2018,5,NO,WAS,2018-10-08,6.5,8.591899,9.243997,6.635606,7.2525441013673
2018_06_PHI_NYG,2018,6,NYG,PHI,2018-10-11,-2.5,-1.5590371,-1.8543538,-0.6730871,-2.1642331236501593
2018_06_TB_ATL,2018,6,ATL,TB,2018-10-14,3.5,0.8550244,0.6715277,1.4055145,0.33045349734481494
2018_06_PIT_CIN,2018,6,CIN,PIT,2018-10-14,2.5,-2.0288353,-2.072511,-1.8978078,-1.3260411784034085
2018_06_LAC_CLE,2018,6,CLE,LAC,2018-10-14,-1.5,-2.670064,-2.1047244,-4.366083,-3.0299425610224495
2018_06_BUF_HOU,2018,6,HOU,BUF,2018-10-14,9.5,6.5331864,6.508149,6.6082973,5.157346463472094
2018_06_CHI_MIA,2018,6,MIA,CHI,2018-10-14,-3.0,2.4332983,2.5950623,1.9480069,-0.18790342883736394
2018_06_ARI_MIN,2018,6,MIN,ARI,2018-10-14,10.5,9.854517,10.200421,8.816801,8.180075866662653
2018_06_IND_NYJ,2018,6,NYJ,IND,2018-10-14,3.0,0.25005668,0.877292,-1.6316493,1.808633266166455
2018_06_SEA_OAK,2018,6,OAK,SEA,2018-10-14,-3.0,-8.030617,-8.334867,-7.1178665,-6.620929097813678
2018_06_CAR_WAS,2018,6,WAS,CAR,2018-10-14,1.0,0.50117177,0.7131831,-0.13486218,-0.985545307213092
2018_06_LA_DEN,2018,6,DEN,LA,2018-10-14,-7.0,-7.385043,-7.7003784,-6.4390373,-4.2524342567060325
2018_06_JAX_DAL,2018,6,DAL,JAX,2018-10-14,-3.0,-0.5229204,-1.3582243,1.982991,-3.0959222742113934
2018_06_BAL_TEN,2018,6,TEN,BAL,2018-10-14,-1.5,-4.342373,-4.740124,-3.1491187,-2.0145845273360554
2018_06_KC_NE,2018,6,NE,KC,2018-10-14,3.0,-2.0063605,-2.1823823,-1.4782958,0.9078713119222726
2018_06_SF_GB,2018,6,GB,SF,2018-10-15,9.5,11.887748,12.0427885,11.422626,11.114266509966713
2018_07_DEN_ARI,2018,7,ARI,DEN,2018-10-18,-1.5,-0.1355837,0.32409072,-1.514607,-1.1422247172225501
2018_07_NE_CHI,2018,7,CHI,NE,2018-10-21,-2.5,0.74461794,1.4270233,-1.302598,1.9785831268677034
2018_07_BUF_IND,2018,7,IND,BUF,2018-10-21,7.5,7.2044945,6.093544,10.537346,6.277903874941384
2018_07_HOU_JAX,2018,7,JAX,HOU,2018-10-21,4.0,4.013406,4.04997,3.9037142,2.4984469933371134
2018_07_DET_MIA,2018,7,MIA,DET,2018-10-21,-3.0,-4.001545,-4.261431,-3.2218864,-5.131468109759786
2018_07_MIN_NYJ,2018,7,NYJ,MIN,2018-10-21,-3.0,-1.6806741,-1.3623965,-2.6355069,-2.328233207245027
2018_07_CAR_PHI,2018,7,PHI,CAR,2018-10-21,3.5,1.5847235,2.3537955,-0.72249293,2.000372702332185
2018_07_CLE_TB,2018,7,TB,CLE,2018-10-21,3.0,3.6015573,2.9721065,5.48991,3.6696358858954086
2018_07_NO_BAL,2018,7,BAL,NO,2018-10-21,2.5,5.2659893,5.14659,5.6241875,4.6056655136422915
2018_07_LA_SF,2018,7,SF,LA,2018-10-21,-10.0,-9.513568,-8.8476,-11.511472,-5.304446460589772
2018_07_DAL_WAS,2018,7,WAS,DAL,2018-10-21,2.0,-1.2908312,-2.051869,0.99228203,-1.1169316952637216
2018_07_CIN_KC,2018,7,KC,CIN,2018-10-21,5.5,7.933262,7.8430057,8.204031,8.269350245492902
2018_07_TEN_LAC,2018,7,LAC,TEN,2018-10-21,6.0,7.2970905,7.933246,5.388625,7.653065107297612
2018_07_NYG_ATL,2018,7,ATL,NYG,2018-10-22,5.5,5.2523346,5.8970323,3.3182402,7.445845413136021
2018_08_MIA_HOU,2018,8,HOU,MIA,2018-10-25,6.5,11.641467,12.612168,8.729363,10.888144379101021
2018_08_BAL_CAR,2018,8,CAR,BAL,2018-10-28,-1.5,7.0439396,7.2045875,6.5619965,7.711418217559425
2018_08_NYJ_CHI,2018,8,CHI,NYJ,2018-10-28,7.0,9.935896,10.258553,8.967928,7.4489391616521
2018_08_TB_CIN,2018,8,CIN,TB,2018-10-28,6.0,5.772563,5.5058455,6.5727158,5.078070736257969
2018_08_SEA_DET,2018,8,DET,SEA,2018-10-28,3.0,4.2165728,4.3415565,3.841622,3.1686032686022925
2018_08_DEN_KC,2018,8,KC,DEN,2018-10-28,10.0,11.680611,11.97398,10.800505,9.948464669793575
2018_08_WAS_NYG,2018,8,NYG,WAS,2018-10-28,-1.0,-4.2267528,-4.3305874,-3.9152482,-3.912836587305535
2018_08_CLE_PIT,2018,8,PIT,CLE,2018-10-28,7.0,8.114737,7.69372,9.377787,7.162420394810213
2018_08_IND_OAK,2018,8,OAK,IND,2018-10-28,-1.5,1.5873528,1.4657649,1.9521165,2.565103247092243
2018_08_SF_ARI,2018,8,ARI,SF,2018-10-28,1.0,-0.07305177,-0.11770633,0.060911894,-0.027137186059064313
2018_08_GB_LA,2018,8,LA,GB,2018-10-28,9.0,8.523767,9.105075,6.779847,7.058573192536032
2018_08_NO_MIN,2018,8,MIN,NO,2018-10-28,1.5,-5.684374,-6.6631165,-2.7481458,-1.365267963805056
2018_08_PHI_JAX,2018,8,JAX,PHI,2018-10-28,-3.0,-3.1029127,-3.2110481,-2.7785065,-2.323929287655141
