player_id,player_display_name,position,team,opponent_team,gameday,projected_pts,implied_team_total,depth_chart_position,injury_status_score,is_home,off_epa_roll4,opp_season_win_pct,opp_win_pct_roll4,off_epa_rank,sos_rank,pred_qb_pass_yards,pred_qb_rush_yards,pred_rush_yards,pred_rec_yards,pred_wr_receptions,pred_wr_rec_yards,pred_te_receptions,pred_te_rec_yards
00-0037834,Brock Purdy,QB,SF,CLE,2025-11-30,24.02,15.0,1.0,1.0,0,0.1645314529215629,0.7333333333333333,0.3858641358641358,3,30,263.81,18.66,,,,,,
00-0039851,Drake Maye,QB,NE,NYG,2025-12-01,22.01,19.75,1.0,1.0,1,0.1569497663344893,0.2,0.4147435897435897,5,27,219.56,34.92,,,,,,
00-0034857,Josh Allen,QB,BUF,PIT,2025-11-30,21.89,20.75,1.0,1.0,0,0.1692050266074698,0.2142857142857142,0.4848068598068598,2,17,190.0,32.34,,,,,,
00-0039732,Bo Nix,QB,DEN,WAS,2025-11-30,21.0,18.5,1.0,1.0,0,0.1174218214754575,0.4,0.4614968364968364,8,20,272.61,10.67,,,,,,
00-0036971,Trevor Lawrence,QB,JAX,TEN,2025-11-30,20.29,18.25,1.0,1.0,0,0.1250437759787225,0.5333333333333333,0.4613719613719613,7,21,237.99,13.75,,,,,,
00-0033873,Patrick Mahomes,QB,KC,DAL,2025-11-27,19.79,25.0,1.0,1.0,0,-0.1152884611769509,0.5833333333333334,0.4682609057609058,28,18,297.92,11.36,,,,,,
00-0033077,Dak Prescott,QB,DAL,KC,2025-11-27,19.76,28.5,1.0,1.0,1,0.0876025690281826,0.2666666666666666,0.5569222444222444,9,7,270.55,8.22,,,,,,
00-0033119,Jacoby Brissett,QB,ARI,TB,2025-11-30,19.54,24.5,1.0,1.0,0,-0.0200817692320336,0.3333333333333333,0.5669955044955045,23,5,258.58,15.11,,,,,,
00-0033106,Jared Goff,QB,DET,GB,2025-11-27,19.46,23.0,1.0,1.0,1,0.1573203137248841,0.4666666666666667,0.6192557442557443,4,4,270.68,4.99,,,,,,
00-0035228,Kyler Murray,QB,ARI,TB,2025-11-30,19.1,24.5,3.0,1.0,0,-0.0200817692320336,0.6666666666666666,0.5669955044955045,23,5,217.31,17.6,,,,,,
00-0036389,Jalen Hurts,QB,PHI,CHI,2025-11-28,19.09,18.25,1.0,1.0,1,0.0590580013814779,0.2857142857142857,0.4583749583749584,14,22,242.07,24.14,,,,,,
00-0035710,Daniel Jones,QB,IND,HOU,2025-11-30,18.84,20.75,1.0,1.0,1,-0.1099062493798814,0.5454545454545454,0.6739094239094239,27,3,243.22,17.18,,,,,,
00-0034796,Lamar Jackson,QB,BAL,CIN,2025-11-27,18.56,22.75,1.0,1.0,1,-0.0035963003912532,0.7857142857142857,0.4665334665334665,19,19,231.65,15.64,,,,,,
00-0036442,Joe Burrow,QB,CIN,BAL,2025-11-27,18.52,29.75,1.0,1.0,0,0.0448989351680796,0.2,0.5255577755577756,15,12,272.95,7.07,,,,,,
00-0032268,Marcus Mariota,QB,WAS,DEN,2025-11-30,18.07,25.0,2.0,1.0,1,-0.1204819871553674,0.1538461538461538,0.4870546120546121,29,16,218.53,19.94,,,,,,
00-0026498,Matthew Stafford,QB,LA,CAR,2025-11-30,18.02,17.25,1.0,1.0,0,0.2548577506652165,0.4,0.5377747252747253,1,11,267.81,5.15,,,,,,
00-0023459,Aaron Rodgers,QB,PIT,BUF,2025-11-30,17.14,23.75,1.0,1.0,1,0.069888843890464,0.2,0.5423326673326674,11,9,257.1,6.49,,,,,,
00-0040691,Jaxson Dart,QB,NYG,NE,2025-12-01,16.79,26.75,1.0,1.0,0,-0.0875692463965452,0.1333333333333333,0.5231684981684982,26,14,209.17,24.22,,,,,,
00-0032950,Carson Wentz,QB,MIN,SEA,2025-11-30,16.78,27.5,3.0,1.0,0,-0.0559571697535418,0.6666666666666666,0.3954170829170829,24,29,256.8,9.12,,,,,,
00-0034869,Sam Darnold,QB,SEA,MIN,2025-11-30,16.77,15.0,1.0,1.0,1,-0.0089089855616453,0.5333333333333333,0.5245171495171495,21,13,271.79,10.56,,,,,,
00-0036945,Justin Fields,QB,NYJ,ATL,2025-11-30,16.62,20.75,2.0,1.0,1,-0.2392364677490492,0.25,0.4395812520812521,32,23,180.18,28.59,,,,,,
00-0036264,Jordan Love,QB,GB,DET,2025-11-27,16.6,25.5,1.0,1.0,0,0.1529564013719251,0.8461538461538461,0.7367007992007992,6,1,243.42,11.9,,,,,,
00-0039918,Caleb Williams,QB,CHI,PHI,2025-11-28,16.41,25.25,1.0,1.0,0,0.075685334949902,0.7333333333333333,0.5668914418914419,10,6,228.65,11.04,,,,,,
00-0040743,Tyler Shough,QB,NO,MIA,2025-11-30,16.01,23.5,1.0,1.0,0,-0.0114811011743694,0.2,0.4249292374292374,22,25,173.03,26.61,,,,,,
00-0039376,Spencer Rattler,QB,NO,MIA,2025-11-30,15.26,23.5,2.0,1.0,0,-0.0114811011743694,0.7142857142857143,0.4249292374292374,22,25,222.66,20.97,,,,,,
00-0031280,Derek Carr,QB,NO,MIA,2025-11-30,15.07,23.5,2.0,1.0,0,-0.0114811011743694,0.4545454545454545,0.4249292374292374,22,25,209.09,6.61,,,,,,
00-0031503,Jameis Winston,QB,NYG,NE,2025-12-01,15.07,26.75,2.0,1.0,0,-0.0875692463965452,0.6,0.5231684981684982,26,14,213.45,11.04,,,,,,
00-0035264,Jarrett Stidham,QB,DEN,WAS,2025-11-30,15.07,18.5,2.0,1.0,0,0.1174218214754575,0.3333333333333333,0.4614968364968364,8,20,202.02,13.69,,,,,,
00-0029263,Russell Wilson,QB,NYG,NE,2025-12-01,15.03,26.75,3.0,1.0,0,-0.0875692463965452,0.8,0.5231684981684982,26,14,209.76,15.2,,,,,,
00-0039164,Anthony Richardson,QB,IND,HOU,2025-11-30,14.65,20.75,3.0,1.0,1,-0.1099062493798814,0.0,0.6739094239094239,27,3,148.68,42.26,,,,,,
00-0040676,Cam Ward,QB,TEN,JAX,2025-11-30,14.63,24.25,1.0,1.0,1,-0.0600036058434601,0.3333333333333333,0.5018106893106893,25,15,230.97,16.99,,,,,,
00-0035100,Jake Browning,QB,CIN,BAL,2025-11-27,14.43,29.75,3.0,1.0,0,0.0448989351680796,0.75,0.5255577755577756,15,12,242.77,14.36,,,,,,
00-0040668,Shedeur Sanders,QB,CLE,SF,2025-11-30,14.36,20.5,1.0,1.0,1,-0.2035625371766095,0.6,0.5391483516483516,30,10,197.71,24.81,,,,,,
00-0036355,Justin Herbert,QB,LAC,LV,2025-11-30,14.08,15.25,1.0,1.0,1,0.0667973673123801,0.4285714285714285,0.4346486846486846,12,24,177.12,17.67,,,,,,
00-0035993,Tyler Huntley,QB,BAL,CIN,2025-11-27,14.04,22.75,2.0,1.0,1,-0.0035963003912532,0.7857142857142857,0.4665334665334665,19,19,148.64,12.17,,,,,,
00-0029604,Kirk Cousins,QB,ATL,NYJ,2025-11-30,14.03,17.75,1.0,1.0,0,0.0221513693594375,0.7333333333333333,0.4211413586413586,16,26,241.76,0.36,,,,,,
00-0037324,Chris Oladokun,QB,KC,DAL,2025-11-27,13.98,25.0,2.0,1.0,0,-0.1152884611769509,0.8,0.4682609057609058,28,18,176.2,11.69,,,,,,
00-0022942,Philip Rivers,QB,IND,HOU,2025-11-30,13.83,20.75,2.0,1.0,1,-0.1099062493798814,0.7142857142857143,0.6739094239094239,27,3,256.47,0.02,,,,,,
00-0035704,Drew Lock,QB,SEA,MIN,2025-11-30,13.67,15.0,2.0,1.0,1,-0.0089089855616453,0.375,0.5245171495171495,21,13,164.92,6.12,,,,,,
00-0034855,Baker Mayfield,QB,TB,ARI,2025-11-30,13.62,20.0,1.0,0.5,1,0.0114114413538503,0.4,0.3117715617715617,17,32,222.18,24.53,,,,,,
00-0039163,C.J. Stroud,QB,HOU,IND,2025-11-30,13.58,23.75,1.0,1.0,0,0.0063511369932493,0.7333333333333333,0.4002247752247752,18,28,224.9,13.22,,,,,,
00-0035289,Gardner Minshew,QB,KC,DAL,2025-11-27,13.55,25.0,2.0,1.0,0,-0.1152884611769509,0.6923076923076923,0.4682609057609058,28,18,178.64,1.09,,,,,,
00-0036898,Davis Mills,QB,HOU,IND,2025-11-30,13.43,23.75,2.0,1.0,0,0.0063511369932493,0.7,0.4002247752247752,18,28,215.46,12.03,,,,,,
00-0036972,Mac Jones,QB,SF,CLE,2025-11-30,13.32,15.0,2.0,1.0,0,0.1645314529215629,0.2727272727272727,0.3858641358641358,3,30,202.78,5.98,,,,,,
00-0038579,Aidan O'Connell,QB,LV,LAC,2025-11-30,13.15,25.25,3.0,1.0,0,-0.2095284627489942,0.3333333333333333,0.681984681984682,31,2,206.84,8.46,,,,,,
00-0039152,Will Levis,QB,TEN,JAX,2025-11-30,12.83,24.25,3.0,1.0,1,-0.0600036058434601,0.3846153846153846,0.5018106893106893,25,15,179.07,19.16,,,,,,
00-0028118,Tyrod Taylor,QB,NYJ,ATL,2025-11-30,12.69,20.75,1.0,1.0,1,-0.2392364677490492,0.3636363636363636,0.4395812520812521,32,23,160.56,15.53,,,,,,
00-0026158,Joe Flacco,QB,CIN,BAL,2025-11-27,12.66,29.75,2.0,1.0,0,0.0448989351680796,0.2,0.5255577755577756,15,12,196.96,8.24,,,,,,
00-0033949,Joshua Dobbs,QB,NE,NYG,2025-12-01,12.65,19.75,2.0,1.0,1,0.1569497663344893,0.2,0.4147435897435897,5,27,113.58,15.07,,,,,,
00-0040704,Dillon Gabriel,QB,CLE,SF,2025-11-30,12.58,20.5,2.0,1.0,1,-0.2035625371766095,0.6666666666666666,0.5391483516483516,30,10,193.86,10.92,,,,,,
00-0040206,Riley Leonard,QB,IND,HOU,2025-11-30,12.31,20.75,2.0,1.0,1,-0.1099062493798814,0.7333333333333333,0.6739094239094239,27,3,162.92,10.65,,,,,,
00-0033537,Deshaun Watson,QB,CLE,SF,2025-11-30,12.28,20.5,3.0,1.0,1,-0.2035625371766095,0.5,0.5391483516483516,30,10,183.39,17.85,,,,,,
00-0039917,Michael Penix Jr.,QB,ATL,NYJ,2025-11-30,12.2,17.75,3.0,1.0,0,0.0221513693594375,0.7777777777777778,0.4211413586413586,16,26,241.87,3.79,,,,,,
00-0036212,Tua Tagovailoa,QB,MIA,NO,2025-11-30,11.84,18.0,1.0,1.0,1,-0.0064661809473301,0.25,0.3139985014985015,20,31,208.24,5.91,,,,,,
00-0026300,Josh Johnson,QB,WAS,DEN,2025-11-30,10.89,25.0,3.0,1.0,1,-0.1204819871553674,0.4,0.4870546120546121,29,16,154.43,9.94,,,,,,
00-0040673,Jalen Milroe,QB,SEA,MIN,2025-11-30,10.39,15.0,3.0,1.0,1,-0.0089089855616453,0.0,0.5245171495171495,21,13,99.39,9.4,,,,,,
00-0033869,Mitchell Trubisky,QB,BUF,PIT,2025-11-30,10.27,20.75,2.0,1.0,0,0.1692050266074698,0.2222222222222222,0.4848068598068598,2,17,99.06,6.88,,,,,,
00-0039150,Bryce Young,QB,CAR,LA,2025-11-30,9.3,27.25,1.0,1.0,1,0.0619172570125864,0.8,0.5463286713286714,13,8,159.62,15.19,,,,,,
00-0039398,Joe Milton III,QB,DAL,KC,2025-11-27,9.07,28.5,2.0,1.0,1,0.0876025690281826,0.7142857142857143,0.5569222444222444,9,7,124.51,7.11,,,,,,
00-0030565,Geno Smith,QB,LV,LAC,2025-11-30,8.88,25.25,1.0,1.0,0,-0.2095284627489942,0.6428571428571429,0.681984681984682,31,2,181.81,2.95,,,,,,
00-0031345,Jimmy Garoppolo,QB,LA,CAR,2025-11-30,8.33,17.25,2.0,1.0,0,0.2548577506652165,0.25,0.5377747252747253,1,11,115.99,2.92,,,,,,
00-0034177,Tim Boyle,QB,MIA,NO,2025-11-30,8.11,18.0,2.0,1.0,1,-0.0064661809473301,0.5,0.3139985014985015,20,31,127.52,8.04,,,,,,
00-0038102,Kenny Pickett,QB,LV,LAC,2025-11-30,8.06,25.25,2.0,1.0,0,-0.2095284627489942,0.1333333333333333,0.681984681984682,31,2,131.99,8.72,,,,,,
00-0038128,Malik Willis,QB,GB,DET,2025-11-27,7.62,25.5,2.0,1.0,0,0.1529564013719251,0.7142857142857143,0.7367007992007992,6,1,75.12,10.64,,,,,,
00-0037012,Trey Lance,QB,LAC,LV,2025-11-30,7.6,15.25,2.0,1.0,1,0.0667973673123801,0.1818181818181818,0.4346486846486846,12,24,104.76,7.52,,,,,,
