player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status,pred_qb_pass_yards,pred_qb_rush_yards,pred_qb_receptions,pred_rush_yards,pred_rec_yards,pred_rb_receptions,pred_wr_rec_yards,pred_wr_receptions,pred_te_rec_yards,pred_te_receptions,off_epa_rank,implied_team_total,injury_status_score
00-0034837,Calvin Ridley,WR,TEN,PHI,2026,2,1.8078136034025014,00-0034837,4981,sleeper_gsis,2026_02_PHI_TEN,2026-09-20 13:00:00-04:00,3.0,3.0,4.32,none,,,,,,,7.128043954640613,1.0996807862888978,,,27.0,16.25,1.0
00-0038618,Xavier Hutchinson,WR,HOU,CIN,2026,2,1.7909859215050583,00-0038618,10218,historical_crosswalk,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,4.0,4.0,4.74,none,,,,,,,13.520055976437531,1.236961646604345,,,21.0,24.75,1.0
00-0040669,Isaac TeSlaa,WR,DET,BUF,2026,2,1.6907639542302846,00-0040669,12535,historical_crosswalk,2026_02_DET_BUF,2026-09-17 20:15:00-04:00,3.0,3.0,3.31,none,,,,,,,6.826159314156661,1.1680152680402072,,,18.0,24.5,1.0
00-0036309,Darnell Mooney,WR,NYG,LA,2026,2,1.6044570885567933,00-0036309,7090,historical_crosswalk,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,3.0,3.0,3.55,none,,,,,,,14.259912997850524,1.1710758265202466,,,9.0,20.75,1.0
00-0035208,Olamide Zaccheaus,WR,ATL,CAR,2026,2,1.538987191341764,00-0035208,6271,sleeper_gsis,2026_02_CAR_ATL,2026-09-20 13:00:00-04:00,4.0,4.0,2.74,none,,,,,,,14.070732794825288,1.2902488528096678,,,19.0,21.0,1.0
00-0038619,Andrei Iosivas,WR,CIN,HOU,2026,2,1.537603522172967,00-0038619,10226,historical_crosswalk,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,3.0,3.0,3.93,none,,,,,,,11.549405411115425,1.2770993086836835,,,5.0,21.75,1.0
00-0038976,Marvin Mims,WR,DEN,JAX,2026,2,1.5089365447010052,00-0038976,9494,historical_crosswalk,2026_02_JAX_DEN,2026-09-20 16:05:00-04:00,5.0,5.0,2.5,Questionable,,,,,,,8.498483451622095,1.489050423479449,,,20.0,23.5,0.5
00-0037291,Jalen Nailor,WR,LV,LAC,2026,2,1.5018208865445248,00-0037291,8180,historical_crosswalk,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,2.0,2.0,6.68,none,,,,,,,9.997785064423566,0.8005512910715502,,,31.0,18.25,1.0
00-0039920,Malachi Corley,WR,CLE,TB,2026,2,1.4991640198548486,00-0039920,11617,historical_crosswalk,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,5.0,5.0,0.2,none,,,,,,,5.1563141745253045,1.207165217921449,,,29.0,16.0,1.0
00-0040138,Jaylin Noel,WR,HOU,CIN,2026,2,1.4691964915038547,00-0040138,12536,historical_crosswalk,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,3.0,3.0,3.91,none,,,,,,,5.562641759312601,1.0542965586969857,,,21.0,24.75,1.0
00-0037801,KaVontae Turpin,WR,DAL,WAS,2026,2,1.4039691218161525,00-0037801,8917,historical_crosswalk,2026_02_WAS_DAL,2026-09-20 16:25:00-04:00,4.0,4.0,3.51,none,,,,,,,6.06581819003864,0.9413144357587776,,,12.0,27.0,1.0
00-0035662,Marquise Brown,WR,PHI,TEN,2026,2,1.3852285444592547,00-0035662,5848,sleeper_gsis,2026_02_PHI_TEN,2026-09-20 13:00:00-04:00,4.0,4.0,1.79,none,,,,,,,9.931376829745274,1.1850529111822499,,,14.0,23.25,1.0
00-0036988,Joshua Palmer,WR,BUF,DET,2026,2,1.3612120897749578,00-0036988,7670,historical_crosswalk,2026_02_DET_BUF,2026-09-17 20:15:00-04:00,4.0,4.0,1.59,none,,,,,,,4.368564820523784,0.4633624685398385,,,6.0,29.0,1.0
00-0031235,Odell Beckham,WR,NYG,LA,2026,2,1.2799652759685691,00-0031235,2078,sleeper_gsis,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,4.0,4.0,1.61,none,,,,,,,8.42358875651543,0.8452967556780152,,,9.0,20.75,1.0
00-0030279,Keenan Allen,WR,IND,KC,2026,2,1.2562145631787736,00-0030279,1479,sleeper_gsis,2026_02_IND_KC,2026-09-20 20:20:00-04:00,3.0,3.0,5.8,none,,,,,,,5.61587077147227,1.2883421328258169,,,22.0,20.5,1.0
00-0032398,Chris Moore,WR,BAL,NO,2026,2,1.2493596650220493,00-0032398,3269,sleeper_gsis,2026_02_NO_BAL,2026-09-20 13:00:00-04:00,8.0,6.0,1.5,none,,,,,,,5.029144504287722,0.9193932997155708,,,2.0,27.75,1.0
00-0032775,Demarcus Robinson,WR,SF,MIA,2026,2,1.173143925445397,00-0032775,3286,sleeper_gsis,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,3.0,3.0,5.73,none,,,,,,,6.145516077693377,0.6327070591588122,,,13.0,29.25,1.0
00-0040131,Kyle Williams,WR,NE,PIT,2026,2,1.1377399794290668,00-0040131,12547,historical_crosswalk,2026_02_PIT_NE,2026-09-20 13:00:00-04:00,4.0,4.0,2.6,none,,,,,,,9.931814170205305,0.8594157214853985,,,1.0,23.75,1.0
00-0032464,Kalif Raymond,WR,CHI,MIN,2026,2,1.0848257277045852,00-0032464,3634,sleeper_gsis,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,5.0,5.0,4.52,none,,,,,,,6.67675916019676,0.5918628189473106,,,7.0,27.5,1.0
00-0038393,Dontayvion Wicks,WR,PHI,TEN,2026,2,1.0243102365275822,00-0038393,9486,historical_crosswalk,2026_02_PHI_TEN,2026-09-20 13:00:00-04:00,3.0,3.0,6.8,none,,,,,,,10.205300465183402,0.7728105639497693,,,14.0,23.25,1.0
00-0038359,Xavier Smith,WR,LA,NYG,2026,2,1.0025080124163155,00-0038359,11168,historical_crosswalk,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,6.0,6.0,0.87,none,,,,,,,10.143299910649707,1.0034855584170486,,,4.0,27.75,1.0
00-0033307,Kendrick Bourne,WR,ARI,SEA,2026,2,0.9122078485290384,00-0033307,4454,sleeper_gsis,2026_02_SEA_ARI,2026-09-20 16:25:00-04:00,3.0,3.0,3.41,none,,,,,,,5.872846903758703,0.49016625483273296,,,15.0,18.5,1.0
sleeper:13296,Caleb Douglas,WR,MIA,SF,2026,2,0.9121959327734215,,13296,synthetic_sleeper,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,2.0,2.0,7.01,none,,,,,,,7.064665926269227,0.9582208161861021,,,26.0,16.25,1.0
