player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj
00-0038115,Daniel Bellinger,TE,TEN,NYJ,2026,1,2.7068677281547444,00-0038115,8225,historical_crosswalk,2026_01_NYJ_TEN,2026-09-13 13:00:00-04:00,2.0,2.0,3.9
00-0033885,David Njoku,TE,LAC,ARI,2026,1,2.6830479465192707,00-0033885,4033,sleeper_gsis,2026_01_ARI_LAC,2026-09-13 16:25:00-04:00,2.0,2.0,3.18
00-0038558,Darnell Washington,TE,PIT,ATL,2026,1,2.4537138549032824,00-0038558,9479,historical_crosswalk,2026_01_ATL_PIT,2026-09-13 13:00:00-04:00,2.0,2.0,3.71
00-0039066,Michael Mayer,TE,LV,MIA,2026,1,2.4499693067234887,00-0039066,9482,historical_crosswalk,2026_01_MIA_LV,2026-09-13 16:25:00-04:00,2.0,2.0,3.07
00-0034829,Mike Gesicki,TE,CIN,TB,2026,1,2.4165182983659177,00-0034829,4993,sleeper_gsis,2026_01_TB_CIN,2026-09-13 13:00:00-04:00,1.0,1.0,5.05
00-0036290,Cole Kmet,TE,CHI,CAR,2026,1,2.246414228027695,00-0036290,6826,historical_crosswalk,2026_01_CHI_CAR,2026-09-13 13:00:00-04:00,2.0,2.0,3.59
00-0036637,Noah Gray,TE,KC,DEN,2026,1,1.955473180542018,00-0036637,7828,historical_crosswalk,2026_01_DEN_KC,2026-09-14 20:15:00-04:00,2.0,2.0,3.41
00-0039041,Elijah Higgins,TE,ARI,LAC,2026,1,1.883468499389509,00-0039041,10231,historical_crosswalk,2026_01_ARI_LAC,2026-09-13 16:25:00-04:00,2.0,2.0,2.44
00-0039356,Ja'Tavion Sanders,TE,CAR,CHI,2026,1,1.876191667909459,00-0039356,11600,historical_crosswalk,2026_01_CHI_CAR,2026-09-13 13:00:00-04:00,3.0,3.0,1.15
00-0037112,Jake Tonges,TE,SF,LA,2026,1,1.7738024639576393,00-0037112,8698,historical_crosswalk,2026_01_SF_LA,2026-09-10 20:35:00-04:00,2.0,2.0,1.75
00-0032392,Austin Hooper,TE,ATL,PIT,2026,1,1.7692645359305184,00-0032392,3202,sleeper_gsis,2026_01_ATL_PIT,2026-09-13 13:00:00-04:00,2.0,2.0,2.11
00-0037005,Tommy Tremble,TE,CAR,CHI,2026,1,1.6671003761011731,00-0037005,7694,historical_crosswalk,2026_01_CHI_CAR,2026-09-13 13:00:00-04:00,2.0,2.0,1.75
00-0039814,Erick All,TE,CIN,TB,2026,1,1.665366780570297,00-0039814,11592,historical_crosswalk,2026_01_TB_CIN,2026-09-13 13:00:00-04:00,2.0,2.0,2.37
00-0033881,Evan Engram,TE,DEN,KC,2026,1,1.582135557347482,00-0033881,4066,sleeper_gsis,2026_01_DEN_KC,2026-09-14 20:15:00-04:00,1.0,1.0,3.02
00-0039912,Ben Sinnott,TE,WAS,PHI,2026,1,1.5588683676193227,00-0039912,11596,historical_crosswalk,2026_01_WAS_PHI,2026-09-13 16:25:00-04:00,3.0,3.0,0.92
00-0039530,Brevyn Spann-Ford,TE,DAL,NYG,2026,1,1.4721819993179728,00-0039530,11593,historical_crosswalk,2026_01_DAL_NYG,2026-09-13 20:20:00-04:00,3.0,3.0,0.97
00-0036422,Adam Trautman,TE,DEN,KC,2026,1,1.4693276768784078,00-0036422,6869,historical_crosswalk,2026_01_DEN_KC,2026-09-14 20:15:00-04:00,2.0,2.0,1.72
00-0040737,Terrance Ferguson,TE,LA,SF,2026,1,1.4530651992077486,00-0040737,12487,historical_crosswalk,2026_01_SF_LA,2026-09-10 20:35:00-04:00,1.0,1.0,3.02
00-0033858,Jonnu Smith,TE,GB,MIN,2026,1,1.4517216775241402,00-0033858,4144,sleeper_gsis,2026_01_GB_MIN,2026-09-13 16:25:00-04:00,2.0,2.0,2.77
00-0040584,Gunnar Helm,TE,TEN,NYJ,2026,1,1.4498916502323798,00-0040584,12502,historical_crosswalk,2026_01_NYJ_TEN,2026-09-13 13:00:00-04:00,1.0,1.0,5.72
00-0038933,Dalton Kincaid,TE,BUF,HOU,2026,1,1.371353422625779,00-0038933,10236,historical_crosswalk,2026_01_BUF_HOU,2026-09-13 13:00:00-04:00,1.0,1.0,7.57
00-0038547,Luke Schoonmaker,TE,DAL,NYG,2026,1,1.231207750612529,00-0038547,10871,historical_crosswalk,2026_01_DAL_NYG,2026-09-13 20:20:00-04:00,2.0,2.0,1.19
00-0039074,Davis Allen,TE,LA,SF,2026,1,1.0945243219790628,00-0039074,10214,historical_crosswalk,2026_01_SF_LA,2026-09-10 20:35:00-04:00,4.0,4.0,0.63
00-0036825,Feleipe Franks,TE,CAR,CHI,2026,1,1.0621916891448586,00-0036825,7531,historical_crosswalk,2026_01_CHI_CAR,2026-09-13 13:00:00-04:00,5.0,5.0,0.07
00-0034981,Foster Moreau,TE,HOU,BUF,2026,1,1.03198314330894,00-0034981,5985,sleeper_gsis,2026_01_BUF_HOU,2026-09-13 13:00:00-04:00,4.0,4.0,0.63
00-0035631,Drew Sample,TE,CIN,TB,2026,1,0.9815357158789286,00-0035631,6001,sleeper_gsis,2026_01_TB_CIN,2026-09-13 13:00:00-04:00,3.0,3.0,1.66
00-0038710,Blake Whiteheart,TE,CLE,JAX,2026,1,0.9533085941391402,00-0038710,11201,historical_crosswalk,2026_01_CLE_JAX,2026-09-13 13:00:00-04:00,2.0,2.0,1.12
00-0040739,Elijah Arroyo,TE,SEA,NE,2026,1,0.8072491807419541,00-0040739,12521,historical_crosswalk,2026_01_NE_SEA,2026-09-09 20:20:00-04:00,2.0,2.0,3.19
00-0038046,Charlie Kolar,TE,LAC,ARI,2026,1,0.760752337048517,00-0038046,8127,historical_crosswalk,2026_01_ARI_LAC,2026-09-13 16:25:00-04:00,3.0,3.0,3.2
00-0040194,Jackson Hawes,TE,BUF,HOU,2026,1,0.687810574115547,00-0040194,12658,historical_crosswalk,2026_01_BUF_HOU,2026-09-13 13:00:00-04:00,3.0,3.0,1.75
00-0038589,Josh Whyle,TE,GB,MIN,2026,1,0.6253151561244721,00-0038589,10212,historical_crosswalk,2026_01_GB_MIN,2026-09-13 16:25:00-04:00,3.0,3.0,1.27
00-0036429,Charlie Woerner,TE,ATL,PIT,2026,1,0.5544132414683376,00-0036429,7075,historical_crosswalk,2026_01_ATL_PIT,2026-09-13 13:00:00-04:00,3.0,3.0,0.61
00-0039359,Cade Stover,TE,HOU,BUF,2026,1,0.55160275493491,00-0039359,11599,historical_crosswalk,2026_01_BUF_HOU,2026-09-13 13:00:00-04:00,3.0,3.0,1.39
00-0033246,Johnny Mundt,TE,PHI,WAS,2026,1,0.47268688356093214,00-0033246,4314,sleeper_gsis,2026_01_WAS_PHI,2026-09-13 16:25:00-04:00,3.0,3.0,0.8
00-0033757,Robert Tonyan,TE,PIT,ATL,2026,1,0.45765361882372313,00-0033757,4602,sleeper_gsis,2026_01_ATL_PIT,2026-09-13 13:00:00-04:00,3.0,4.0,0.06
00-0036628,John Bates,TE,WAS,PHI,2026,1,0.4547121366326842,00-0036628,7716,historical_crosswalk,2026_01_WAS_PHI,2026-09-13 16:25:00-04:00,2.0,2.0,1.7
00-0033110,Tyler Higbee,TE,LA,SF,2026,1,0.4392041975613831,00-0033110,3271,sleeper_gsis,2026_01_SF_LA,2026-09-10 20:35:00-04:00,3.0,3.0,1.66
00-0036590,Quintin Morris,TE,JAX,CLE,2026,1,0.43464997925247617,00-0036590,7536,historical_crosswalk,2026_01_CLE_JAX,2026-09-13 13:00:00-04:00,4.0,4.0,0.38
sleeper:13324,Matt Hibner,TE,BAL,IND,2026,1,0.4031244943608863,,13324,synthetic_sleeper,2026_01_BAL_IND,2026-09-13 13:00:00-04:00,2.0,2.0,1.45
sleeper:13273,Josh Cuevas,TE,BAL,IND,2026,1,0.4031244943608863,,13273,synthetic_sleeper,2026_01_BAL_IND,2026-09-13 13:00:00-04:00,4.0,4.0,0.7
sleeper:13322,Sam Roush,TE,CHI,CAR,2026,1,0.4031244943608863,,13322,synthetic_sleeper,2026_01_CHI_CAR,2026-09-13 13:00:00-04:00,3.0,3.0,1.54
sleeper:13434,Will Kacmarek,TE,MIA,LV,2026,1,0.4031244943608863,,13434,synthetic_sleeper,2026_01_MIA_LV,2026-09-13 16:25:00-04:00,2.0,2.0,3.14
sleeper:13429,Seydou Traore,TE,MIA,LV,2026,1,0.4031244943608863,,13429,synthetic_sleeper,2026_01_MIA_LV,2026-09-13 16:25:00-04:00,3.0,3.0,0.67
sleeper:13421,Eli Raridon,TE,NE,SEA,2026,1,0.4031244943608863,,13421,synthetic_sleeper,2026_01_NE_SEA,2026-09-09 20:20:00-04:00,2.0,2.0,3.59
00-0033576,Eric Saubert,TE,SEA,NE,2026,1,0.39952637088060783,00-0033576,4189,sleeper_gsis,2026_01_NE_SEA,2026-09-09 20:20:00-04:00,3.0,3.0,0.37
sleeper:13282,Jack Endries,TE,CIN,TB,2026,1,0.38664070286382596,,13282,synthetic_sleeper,2026_01_TB_CIN,2026-09-13 13:00:00-04:00,4.0,4.0,0.51
sleeper:13307,Marlin Klein,TE,HOU,BUF,2026,1,0.38664070286382596,,13307,synthetic_sleeper,2026_01_BUF_HOU,2026-09-13 13:00:00-04:00,2.0,2.0,2.15
sleeper:13299,Nate Boerkircher,TE,JAX,CLE,2026,1,0.38664070286382596,,13299,synthetic_sleeper,2026_01_CLE_JAX,2026-09-13 13:00:00-04:00,2.0,2.0,1.16
sleeper:13408,Tanner Koziol,TE,JAX,CLE,2026,1,0.38664070286382596,,13408,synthetic_sleeper,2026_01_CLE_JAX,2026-09-13 13:00:00-04:00,3.0,3.0,1.0
sleeper:13278,Max Klare,TE,LA,SF,2026,1,0.38664070286382596,,13278,synthetic_sleeper,2026_01_SF_LA,2026-09-10 20:35:00-04:00,5.0,5.0,1.32
sleeper:13433,Riley Nowakowski,TE,PIT,ATL,2026,1,0.38664070286382596,,13433,synthetic_sleeper,2026_01_ATL_PIT,2026-09-13 13:00:00-04:00,3.0,3.0,0.39
00-0036876,Kylen Granson,TE,TEN,NYJ,2026,1,0.37648221209750593,00-0036876,7602,historical_crosswalk,2026_01_NYJ_TEN,2026-09-13 13:00:00-04:00,3.0,3.0,0.14
00-0035644,Noah Fant,TE,NO,DET,2026,1,0.3240519511593711,00-0035644,5857,sleeper_gsis,2026_01_NO_DET,2026-09-13 13:00:00-04:00,2.0,2.0,2.63
sleeper:13319,Oscar Delp,TE,NO,DET,2026,1,0.3234595698805249,,13319,synthetic_sleeper,2026_01_NO_DET,2026-09-13 13:00:00-04:00,3.0,3.0,1.83
sleeper:13330,Kenyon Sadiq,TE,NYJ,TEN,2026,1,0.3234595698805249,,13330,synthetic_sleeper,2026_01_NYJ_TEN,2026-09-13 13:00:00-04:00,2.0,2.0,3.17
sleeper:13349,Eli Stowers,TE,PHI,WAS,2026,1,0.3069757783834644,,13349,synthetic_sleeper,2026_01_WAS_PHI,2026-09-13 16:25:00-04:00,2.0,2.0,0.8
00-0033217,Mo Alie-Cox,TE,IND,BAL,2026,1,0.26297844813055066,00-0033217,4054,sleeper_gsis,2026_01_BAL_IND,2026-09-13 13:00:00-04:00,2.0,2.0,0.99
00-0031484,Chris Manhertz,TE,NYG,DAL,2026,1,0.19070326007188063,00-0031484,3048,sleeper_gsis,2026_01_DAL_NYG,2026-09-13 20:20:00-04:00,3.0,3.0,0.27
00-0040509,Ben Yurosek,TE,MIN,GB,2026,1,0.16870081705535347,00-0040509,13121,historical_crosswalk,2026_01_GB_MIN,2026-09-13 16:25:00-04:00,3.0,3.0,0.18
00-0039050,Payne Durham,TE,TB,CIN,2026,1,0.10738624017715848,00-0039050,10227,historical_crosswalk,2026_01_TB_CIN,2026-09-13 13:00:00-04:00,2.0,2.0,0.43
00-0037311,Ko Kieft,TE,TB,CIN,2026,1,-0.0009194236291472405,00-0037311,8484,historical_crosswalk,2026_01_TB_CIN,2026-09-13 13:00:00-04:00,3.0,3.0,0.04
00-0036887,Luke Farrell,TE,SF,LA,2026,1,-0.1413016887921533,00-0036887,7842,historical_crosswalk,2026_01_SF_LA,2026-09-10 20:35:00-04:00,3.0,3.0,0.49
00-0037292,Drew Ogletree,TE,IND,BAL,2026,1,-0.15932965830515405,00-0037292,8489,historical_crosswalk,2026_01_BAL_IND,2026-09-13 13:00:00-04:00,3.0,3.0,0.37
00-0034798,Durham Smythe,TE,BAL,IND,2026,1,-0.23743481119947055,00-0034798,5008,sleeper_gsis,2026_01_BAL_IND,2026-09-13 13:00:00-04:00,3.0,3.0,0.67
00-0034365,Ian Thomas,TE,LV,MIA,2026,1,-0.26015107419390265,00-0034365,4995,sleeper_gsis,2026_01_MIA_LV,2026-09-13 16:25:00-04:00,3.0,3.0,0.23
00-0038783,Nate Adkins,TE,DEN,KC,2026,1,-0.47929593845747653,00-0038783,11433,historical_crosswalk,2026_01_DEN_KC,2026-09-14 20:15:00-04:00,3.0,3.0,0.26
00-0039075,Puka Nacua,WR,LA,SF,2026,1,11.801554871965346,00-0039075,9493,historical_crosswalk,2026_01_SF_LA,2026-09-10 20:35:00-04:00,1.0,1.0,16.84
00-0037239,Chris Olave,WR,NO,DET,2026,1,9.607079289407952,00-0037239,8144,historical_crosswalk,2026_01_NO_DET,2026-09-13 13:00:00-04:00,1.0,1.0,13.27
00-0039337,Malik Nabers,WR,NYG,DAL,2026,1,9.501801040589292,00-0039337,11632,historical_crosswalk,2026_01_DAL_NYG,2026-09-13 20:20:00-04:00,1.0,1.0,11.35
00-0038543,Jaxon Smith-Njigba,WR,SEA,NE,2026,1,9.107975212726885,00-0038543,9488,historical_crosswalk,2026_01_NE_SEA,2026-09-09 20:20:00-04:00,1.0,1.0,16.28
00-0036900,Ja'Marr Chase,WR,CIN,TB,2026,1,8.987946121921569,00-0036900,7564,historical_crosswalk,2026_01_TB_CIN,2026-09-13 13:00:00-04:00,1.0,1.0,16.42
00-0036963,Amon-Ra St. Brown,WR,DET,NO,2026,1,8.816913109784089,00-0036963,7547,historical_crosswalk,2026_01_NO_DET,2026-09-13 13:00:00-04:00,1.0,1.0,16.27
00-0039067,Rashee Rice,WR,KC,DEN,2026,1,8.480563399114606,00-0039067,10229,historical_crosswalk,2026_01_DEN_KC,2026-09-14 20:15:00-04:00,1.0,1.0,11.72
00-0036554,Nico Collins,WR,HOU,BUF,2026,1,8.465019817561549,00-0036554,7569,historical_crosswalk,2026_01_BUF_HOU,2026-09-13 13:00:00-04:00,1.0,1.0,14.52
00-0035676,A.J. Brown,WR,NE,SEA,2026,1,8.220397667177233,00-0035676,5859,sleeper_gsis,2026_01_NE_SEA,2026-09-09 20:20:00-04:00,1.0,1.0,14.13
00-0036322,Justin Jefferson,WR,MIN,GB,2026,1,8.136985254692643,00-0036322,6794,historical_crosswalk,2026_01_GB_MIN,2026-09-13 16:25:00-04:00,1.0,1.0,13.84
