player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status,pred_qb_pass_yards,pred_qb_rush_yards,pred_qb_receptions,pred_rush_yards,pred_rec_yards,pred_rb_receptions,pred_wr_rec_yards,pred_wr_receptions,pred_te_rec_yards,pred_te_receptions,off_epa_rank,implied_team_total,injury_status_score,actual_half_ppr,projection_error,absolute_error
00-0039342,Xavier Legette,WR,CAR,CLE,2026,3,1.7086353238742429,00-0039342,11626,historical_crosswalk,2026_03_CAR_CLE,2026-09-27 13:00:00-04:00,3.0,3.0,3.52,none,,,,,,,4.581707861133246,0.564162520631416,,,25.0,22.5,1.0,,,
00-0037741,Jahan Dotson,WR,ATL,GB,2026,3,1.511032316084178,00-0037741,8119,historical_crosswalk,2026_03_ATL_GB,2026-09-24 20:15:00-04:00,2.0,2.0,3.32,none,,,,,,,7.72785876704862,0.4746693775677668,,,19.0,19.0,1.0,1.6,0.088967683915822,0.088967683915822
00-0035662,Marquise Brown,WR,PHI,CHI,2026,3,1.3963726506414424,00-0035662,5848,sleeper_gsis,2026_03_PHI_CHI,2026-09-28 20:15:00-04:00,5.0,5.0,0.47,none,,,,,,,6.911744703432177,1.1322213363581444,,,14.0,23.5,1.0,,,
00-0038619,Andrei Iosivas,WR,CIN,PIT,2026,3,1.3836444989773715,00-0038619,10226,historical_crosswalk,2026_03_CIN_PIT,2026-09-27 13:00:00-04:00,3.0,3.0,4.08,none,,,,,,,8.086561790627156,1.0301429561266888,,,5.0,23.0,1.0,,,
00-0037801,KaVontae Turpin,WR,DAL,BAL,2026,3,1.3253976585221634,00-0037801,8917,historical_crosswalk,2026_03_BAL_DAL,2026-09-27 16:25:00-04:00,4.0,4.0,2.46,none,,,,,,,7.063201157223211,0.885611381468865,,,12.0,24.75,1.0,,,
00-0031235,Odell Beckham,WR,NYG,TEN,2026,3,1.318429695956436,00-0031235,2078,sleeper_gsis,2026_03_TEN_NYG,2026-09-27 13:00:00-04:00,4.0,4.0,1.72,none,,,,,,,6.481332258569966,0.7646209012993247,,,9.0,21.75,1.0,,,
00-0038608,Kayshon Boutte,WR,HOU,IND,2026,3,1.291890576907021,00-0038608,9504,historical_crosswalk,2026_03_HOU_IND,2026-09-27 13:00:00-04:00,2.0,2.0,6.32,none,,,,,,,14.686175327287076,1.1618403394802042,,,21.0,23.0,1.0,,,
00-0037742,Treylon Burks,WR,WAS,SEA,2026,3,1.2494525376735124,00-0037742,8135,historical_crosswalk,2026_03_SEA_WAS,2026-09-27 13:00:00-04:00,7.0,6.0,0.32,none,,,,,,,9.631221923143372,0.4778234330268262,,,17.0,16.75,1.0,,,
00-0040590,Konata Mumpfield,WR,LA,DEN,2026,3,1.0575324120809573,00-0040590,12718,historical_crosswalk,2026_03_LA_DEN,2026-09-27 20:20:00-04:00,2.0,2.0,1.46,none,,,,,,,11.248148323485134,0.8628676842841152,,,4.0,24.0,1.0,,,
00-0033307,Kendrick Bourne,WR,ARI,SF,2026,3,1.0307145456491142,00-0033307,4454,sleeper_gsis,2026_03_ARI_SF,2026-09-27 16:05:00-04:00,3.0,3.0,4.56,none,,,,,,,3.745815214245847,0.275477981467339,,,15.0,19.5,1.0,,,
00-0040782,Isaiah Bond,WR,CLE,CAR,2026,3,1.0223271432636098,00-0040782,12503,historical_crosswalk,2026_03_CAR_CLE,2026-09-27 13:00:00-04:00,4.0,4.0,1.63,none,,,,,,,7.7870831196399966,0.6853188359946903,,,29.0,19.5,1.0,,,
00-0038359,Xavier Smith,WR,LA,DEN,2026,3,0.9976856962445404,00-0038359,11168,historical_crosswalk,2026_03_LA_DEN,2026-09-27 20:20:00-04:00,4.0,4.0,0.94,none,,,,,,,11.877134762018352,0.9153837250894418,,,4.0,24.0,1.0,,,
00-0035208,Olamide Zaccheaus,WR,ATL,GB,2026,3,0.9942933782356748,00-0035208,6271,sleeper_gsis,2026_03_ATL_GB,2026-09-24 20:15:00-04:00,3.0,3.0,2.7,none,,,,,,,8.220773944286954,1.1583723832148212,,,19.0,19.0,1.0,1.9,0.9057066217643251,0.9057066217643251
00-0032464,Kalif Raymond,WR,CHI,PHI,2026,3,0.987912162613786,00-0032464,3634,sleeper_gsis,2026_03_PHI_CHI,2026-09-28 20:15:00-04:00,3.0,3.0,5.52,none,,,,,,,4.514535821450252,0.6385445011027994,,,7.0,20.5,1.0,,,
00-0038393,Dontayvion Wicks,WR,PHI,CHI,2026,3,0.9677178353852024,00-0038393,9486,historical_crosswalk,2026_03_PHI_CHI,2026-09-28 20:15:00-04:00,2.0,2.0,8.07,none,,,,,,,8.979466151748312,0.7518383034419925,,,14.0,23.5,1.0,,,
