season,week,player_id,player_display_name,position,team,opponent_team,game_id,kickoff_et,snapped_at_et,book,book_amer,first_amer,two_plus_amer,p_book,lambda,p_ge1,p_ge2,fair_amer,scored_anytime,scored_two_plus,status,slate,p_first,unquoted_lambda_remainder,book_first_p_devigged,scored_first
2026,1,00-0035676,A.J. Brown,WR,NE,SEA,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,155,,,0.3921568627450981,0.5696994161736765,0.4343045479498636,0.112028179184797,130.0,0.0,0.0,final,initial_draftkings,0.1172785704421979,0.0368153017883296,,0.0
2026,1,00-0036875,Rhamondre Stevenson,RB,NE,SEA,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,110,,,0.4761904761904761,0.4276551799533697,0.3479637888038983,0.069117125568716,187.0,0.0,0.0,final,initial_draftkings,0.0880372819828238,0.0368153017883296,,0.0
2026,1,00-0038543,Jaxon Smith-Njigba,WR,SEA,NE,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,135,,,0.425531914893617,0.407833966642493,0.3349107033354072,0.0636646973052205,199.0,1.0,0.0,final,initial_draftkings,0.0839568783602566,0.0368153017883296,,0.0
2026,1,00-0033908,Cooper Kupp,WR,SEA,NE,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,250,,,0.2857142857142857,0.3245428389714084,0.2771422594955064,0.0425439562197204,261.0,0.0,0.0,final,initial_draftkings,0.0668105304679052,0.0368153017883296,,0.0
2026,1,sleeper:13286,Jadarian Price,RB,SEA,NE,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,130,,,0.4347826086956522,0.3109585056581735,0.2672557200198463,0.0394026536876433,274.0,0.0,0.0,final,initial_draftkings,0.0640140536835568,0.0368153017883296,,0.0
2026,1,00-0039793,AJ Barner,TE,SEA,NE,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,265,,,0.273972602739726,0.2833266966590753,0.2467263443300524,0.0333038077887805,305.0,0.0,0.0,final,initial_draftkings,0.0583257574239057,0.0368153017883296,,0.0
2026,1,00-0033090,Hunter Henry,TE,NE,SEA,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,270,,,0.2702702702702702,0.2812036487745546,0.2451254094595508,0.0328519202323787,308.0,0.0,0.0,final,initial_draftkings,0.057888705859856,0.0368153017883296,,0.0
2026,1,00-0039851,Drake Maye,QB,NE,SEA,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,425,,,0.1904761904761904,0.2592953771871391,0.2284049222032421,0.0283338854701918,338.0,0.0,0.0,final,initial_draftkings,0.0533786595096449,0.0368153017883296,,0.0
2026,1,00-0037816,Romeo Doubs,WR,NE,SEA,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,285,,,0.2597402597402597,0.2412667940037163,0.2143680034802062,0.0248210904131367,366.0,0.0,0.0,final,initial_draftkings,0.0496672875074564,0.0368153017883296,,0.0
2026,1,00-0037545,Rashid Shaheed,WR,SEA,NE,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,330,,,0.2325581395348837,0.1825760634243306,0.1668787285385924,0.0147707264400953,499.0,0.0,0.0,final,initial_draftkings,0.0375851880965275,0.0368153017883296,,0.0
2026,1,00-0039299,George Holani,RB,SEA,NE,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,180,,,0.3571428571428571,0.1820390902039806,0.1664312445938185,0.0146891467372128,501.0,0.0,0.0,final,initial_draftkings,0.0374746465550399,0.0368153017883296,,0.0
2026,1,00-0033555,Mack Hollins,WR,NE,SEA,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,800,,,0.1111111111111111,0.1752931718122315,0.1607890482948428,0.0136810987508844,522.0,0.0,0.0,final,initial_draftkings,0.0360859288508553,0.0368153017883296,,0.0
2026,1,00-0038621,DeMario Douglas,WR,NE,SEA,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,700,,,0.125,0.1317121714320736,0.1234067326431552,0.0079487299368489,710.0,0.0,0.0,final,initial_draftkings,0.0271143250929401,0.0368153017883296,,0.0
2026,1,00-0038797,Emanuel Wilson,RB,SEA,NE,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,500,,,0.1666666666666666,0.114854541013582,0.1085041894469878,0.0061118473103903,822.0,0.0,0.0,final,initial_draftkings,0.0236440059379686,0.0368153017883296,,0.0
2026,1,00-0034869,Sam Darnold,QB,SEA,NE,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,900,,,0.1,0.0987424624104317,0.0940239991431105,0.0045656979337458,964.0,0.0,0.0,final,initial_draftkings,0.0203271664050776,0.0368153017883296,,0.0
2026,1,00-0040648,Tory Horton,WR,SEA,NE,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,750,,,0.1176470588235294,0.0967726006640995,0.092237592766793,0.0043910638337322,984.0,0.0,0.0,final,initial_draftkings,0.019921649806289,0.0368153017883296,,0.0
2026,1,sleeper:13421,Eli Raridon,TE,NE,SEA,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,1100,,,0.0833333333333333,0.0914172737511645,0.087363187950768,0.0039324186682733,1045.0,1.0,0.0,final,initial_draftkings,0.018819199870816,0.0368153017883296,,0.0
2026,1,00-0040739,Elijah Arroyo,TE,SEA,NE,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,600,,,0.1428571428571428,0.0862610430309559,0.0826452690978499,0.0035132931808484,1110.0,0.0,0.0,final,initial_draftkings,0.0177577359644674,0.0368153017883296,,0.0
2026,1,00-0040563,Efton Chism,WR,NE,SEA,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,2000,,,0.0476190476190476,0.0708576631692941,0.068405517102708,0.002394909023199,1362.0,0.0,0.0,final,initial_draftkings,0.0145867894637901,0.0368153017883296,,0.0
2026,1,00-0040131,Kyle Williams,WR,NE,SEA,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,1500,,,0.0625,0.0681462064598331,0.0658761113541472,0.0022191119794247,1418.0,0.0,0.0,final,initial_draftkings,0.0140286078022443,0.0368153017883296,,0.0
2026,1,00-0040556,Corey Kiner,RB,NE,SEA,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,600,,,0.1428571428571428,0.0620716324662562,0.0601844369267732,0.0018485507096241,1562.0,0.0,0.0,final,initial_draftkings,0.012778093348856,0.0368153017883296,,0.0
2026,1,00-0033576,Eric Saubert,TE,SEA,NE,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,2500,,,0.0384615384615384,0.0615883822651717,0.0597301611113367,0.0018204628414503,1574.0,0.0,0.0,final,initial_draftkings,0.0126786112515603,0.0368153017883296,,0.0
2026,1,00-0039373,Audric Estime,RB,NO,DET,2026_01_NO_DET,2026-09-13 13:00:00,2026-09-08 22:03:00,DraftKings,500,,,0.1666666666666666,0.0828100035991565,0.0794739727616303,0.0032452091329037,1158.0,0.0,0.0,final,initial_draftkings,0.0142321694691688,0.2252236421799123,,0.0
2026,1,sleeper:13319,Oscar Delp,TE,NO,DET,2026_01_NO_DET,2026-09-13 13:00:00,2026-09-08 22:03:00,DraftKings,2200,,,0.0434782608695652,0.0581515109216322,0.0564930150059765,0.0016266582634604,1670.0,0.0,0.0,final,initial_draftkings,0.0099942292277997,0.2252236421799123,,0.0
2026,1,00-0033280,Christian McCaffrey,RB,SF,LA,2026_01_SF_LA,2026-09-10 20:35:00,2026-09-08 22:03:00,DraftKings,-150,,,0.6000000000000001,0.8637745415862416,0.5784321499189686,0.2142925734677284,-137.0,0.0,0.0,final,initial_draftkings,0.133002174215093,0.1167252709380757,,0.0
