season,week,player_id,player_display_name,position,team,opponent_team,game_id,kickoff_et,snapped_at_et,book,book_amer,first_amer,two_plus_amer,p_book,lambda,p_ge1,p_ge2,fair_amer,scored_anytime,scored_two_plus,status,slate,identity_source,l4w_games_available,forward_history_missing,bet_eligible,eligibility_reason,scored_first
2026,2,00-0039139,Jahmyr Gibbs,RB,DET,BUF,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,-350,400.0,150.0,0.7777777777777779,0.9149048100105251,0.5994452469211341,0.2329757766567014,-150.0,1.0,0.0,final,det_buf,historical_crosswalk,4.0,False,True,,0.0
2026,2,00-0037248,James Cook,RB,BUF,DET,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,-160,500.0,340.0,0.6153846153846154,0.7837967573395871,0.5433311452150145,0.1853955776565601,-119.0,1.0,0.0,final,det_buf,historical_crosswalk,4.0,False,True,,0.0
2026,2,00-0036963,Amon-Ra St. Brown,WR,DET,BUF,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,100,1000.0,650.0,0.5,0.4940219963585808,0.3898326385170103,0.0883965404843359,157.0,1.0,1.0,final,det_buf,historical_crosswalk,4.0,False,True,,0.0
2026,2,00-0034827,DJ Moore,WR,BUF,DET,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,170,1100.0,1200.0,0.3703703703703703,0.4354123633015988,0.3530021860930812,0.0712913388889016,183.0,0.0,0.0,final,det_buf,sleeper_gsis,4.0,False,True,,0.0
2026,2,00-0034857,Josh Allen,QB,BUF,DET,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,-135,700.0,425.0,0.574468085106383,0.4319042492575231,0.3507284580588747,0.0703053201725186,185.0,1.0,1.0,final,det_buf,sleeper_gsis,4.0,False,True,,1.0
2026,2,00-0037240,Jameson Williams,WR,DET,BUF,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,190,1600.0,1500.0,0.3448275862068966,0.415235596440017,0.3398152747894711,0.0656830766560885,194.0,0.0,0.0,final,det_buf,historical_crosswalk,4.0,False,True,,0.0
2026,2,00-0039065,Sam LaPorta,TE,DET,BUF,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,215,1700.0,1800.0,0.3174603174603174,0.3681306052627379,0.3079732065549108,0.0532169642259383,225.0,1.0,0.0,final,det_buf,historical_crosswalk,4.0,False,True,,0.0
2026,2,00-0037261,Khalil Shakir,WR,BUF,DET,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,215,1400.0,1800.0,0.3174603174603174,0.3054255108350565,0.2631902128688292,0.0381497072460221,280.0,0.0,0.0,final,det_buf,historical_crosswalk,4.0,False,True,,0.0
2026,2,00-0038933,Dalton Kincaid,TE,BUF,DET,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,185,1200.0,1400.0,0.3508771929824561,0.2459542567176309,0.2180420065673191,0.0257161095081739,359.0,1.0,0.0,final,det_buf,historical_crosswalk,4.0,False,True,,0.0
2026,2,00-0035689,Dawson Knox,TE,BUF,DET,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,550,3000.0,6500.0,0.1538461538461538,0.1788603735851472,0.1637773499832489,0.0142102544008909,511.0,1.0,0.0,final,det_buf,sleeper_gsis,4.0,False,True,,0.0
2026,2,00-0039901,Keon Coleman,WR,BUF,DET,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,450,2800.0,5000.0,0.1818181818181818,0.1266571655838123,0.1189643298237574,0.0073748490609999,741.0,0.0,0.0,final,det_buf,historical_crosswalk,4.0,False,True,,0.0
2026,2,00-0040669,Isaac TeSlaa,WR,DET,BUF,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,500,3500.0,5000.0,0.1666666666666666,0.1263589448641677,0.1187015475505531,0.0073416049886171,742.0,0.0,0.0,final,det_buf,historical_crosswalk,4.0,False,True,,0.0
2026,2,00-0039875,Ray Davis,RB,BUF,DET,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,400,2800.0,3500.0,0.2,0.126192822990761,0.1185551324395622,0.0073231162913932,743.0,0.0,0.0,final,det_buf,historical_crosswalk,4.0,False,True,,0.0
2026,2,00-0039364,Sione Vaki,RB,DET,BUF,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,950,6500.0,12000.0,0.0952380952380952,0.1144423286695417,0.1081366281177638,0.0060697069844911,825.0,0.0,0.0,final,det_buf,historical_crosswalk,4.0,False,True,,0.0
2026,2,00-0036988,Joshua Palmer,WR,BUF,DET,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,550,3000.0,6000.0,0.1538461538461538,0.1103684540937717,0.1044958776569168,0.0056604720393108,857.0,1.0,0.0,final,det_buf,historical_crosswalk,4.0,False,True,,0.0
2026,2,00-0036754,Brock Wright,TE,DET,BUF,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,900,5500.0,13000.0,0.1,0.1001812162745486,0.0953265383737755,0.0046952506567542,949.0,0.0,0.0,final,det_buf,historical_crosswalk,4.0,False,True,,0.0
2026,2,00-0038896,Jacob Saylors,RB,DET,BUF,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,2000,14000.0,25000.0,0.0476190476190476,0.0883289147307467,0.0845402809885512,0.0036787175285557,1083.0,0.0,0.0,final,det_buf,historical_crosswalk,4.0,False,True,,0.0
2026,2,00-0037524,Tay Martin,WR,DET,BUF,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,3000,18000.0,19000.0,0.032258064516129,0.0808855955227217,0.0777007994329299,0.0031000793449323,1187.0,0.0,0.0,final,det_buf,historical_crosswalk,2.0,False,True,,0.0
2026,2,00-0040194,Jackson Hawes,TE,BUF,DET,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,800,,,0.1111111111111111,0.0790484016990536,0.0760047995748817,0.0029644558036794,1216.0,0.0,0.0,final,det_buf,historical_crosswalk,4.0,False,True,,0.0
2026,2,00-0033106,Jared Goff,QB,DET,BUF,2026_02_DET_BUF,2026-09-17 20:15:00,2026-09-15 14:30:00,DraftKings,1600,9000.0,17000.0,0.0588235294117647,0.0684261789619864,0.0661376037495243,0.0022369682978198,1412.0,0.0,0.0,final,det_buf,sleeper_gsis,4.0,False,True,,0.0
