"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Saquon Barkley","RB","PHI",9,277,12.8,4.62,262,296,161,178,142,1,1,2,1,"1",29,3.46,59.5,3,7
"Bijan Robinson","RB","ATL",5,273,17.3,14.2,251,301,157,167,148,2,2,1,2,"1",24,2.82,59.7,10,2
"Jahmyr Gibbs","RB","DET",8,259,11,2.37,244,278,143,160,125,3,3,4,3,"2",24,4.58,56.7,1,2
"Derrick Henry","RB","BAL",7,256,16.7,23.5,234,283,140,150,130,4,4,3,4,"3",32,9.38,49,11,9
"Jonathan Taylor","RB","IND",11,233,16,0.989,212,251,117,128,97.5,5,5,9,5,"3",27,17,41.6,13,5
"Josh Jacobs","RB","GB",5,232,14.2,2.63,212,253,116,128,100,6,6,7,6,"3",28,15.4,41.4,6,6
"Christian McCaffrey","RB","SF",14,229,18.2,2.79,207,260,113,123,107,7,7,6,7,"3",30,9.4,56.6,31,8
"Kyren Williams","RB","LAR",8,226,14.8,2.54,205,242,110,121,88.4,8,8,13,8,"4",25,22,33.9,17,3
"Ashton Jeanty","RB","LVR",8,224,15.8,2.03,193,242,108,109,88.8,10,12,12,9,"4",22,11.5,48.9,15,0
"Ja'Marr Chase","WR","CIN",10,235,19,27.9,215,265,108,110,110,9,10,5,1,"1",26,2.2,62.5,18,4
"Devon Achane","RB","MIA",12,222,13.6,3.09,199,235,106,115,81.2,11,9,16,10,"4",24,18.2,38.7,7,2
"Bucky Irving","RB","TB",9,219,16.2,9.63,194,238,103,110,85,12,11,14,11,"4",23,20,37.1,20,1
"James Cook","RB","BUF",7,209,20.6,0.361,182,232,93.1,98.5,78.8,13,13,18,12,"4",26,28.7,27.8,32,3
"Chase Brown","RB","CIN",10,209,19.7,18,173,234,92.8,89.3,80.3,14,14,17,13,"5",26,22.5,38,30,2
"Josh Allen","QB","BUF",7,361,21.1,4.54,330,390,89.9,70.9,91.7,15,23,10,1,"1",30,17.8,36.1,6,7
"Lamar Jackson","QB","BAL",7,356,19.7,11.6,334,389,85.3,75.1,90.5,16,21,11,2,"1",29,18.8,34.2,8,7
"Justin Jefferson","WR","MIN",6,208,21,8.34,187,253,80.2,82.3,98.3,17,15,8,2,"1",27,7.02,54.3,37,5
"Chuba Hubbard","RB","CAR",14,191,16.9,0.878,164,213,74.7,80.3,59.6,18,17,27,14,"5",27,43.9,21.2,24,4
"Omarion Hampton","RB","LAC",12,190,25.9,1.11,141,216,73.9,56.9,62.5,19,35,23,15,"5",23,36.5,28.4,52,0
"Jayden Daniels","QB","WAS",12,344,22.7,7.88,307,374,73.8,48.1,75.1,20,44,19,3,"2",25,27.5,27.6,11,1
"James Conner","RB","ARI",8,189,17.5,5.86,160,210,72.7,76.4,57.2,21,20,30,16,"5",31,44.5,21.8,28,8
"CeeDee Lamb","WR","DAL",10,199,10.1,7.43,184,215,71.9,78.9,60.1,22,18,25,3,"2",27,7.68,54.2,1,5
"Breece Hall","RB","NYJ",9,183,15.7,0.572,166,213,66.9,81.6,59.7,23,16,26,17,"5",25,41.8,19.5,27,3
"Alvin Kamara","RB","NO",11,182,14.8,2.51,162,206,66.3,78,52.8,24,19,32,18,"5",30,39.7,24.1,21,8
"Jalen Hurts","QB","PHI",9,337,10.1,13.7,319,347,65.9,59.9,48.5,25,33,34,4,"3",27,31,26.8,1,5
"Malik Nabers","WR","NYG",14,192,23.2,0.484,168,237,64.5,63,82.3,26,29,15,4,"2",22,13.7,45.8,58,1
