player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status
00-0035261,Tony Pollard,RB,TEN,PHI,2026,2,8.104219677453179,00-0035261,5967,sleeper_gsis,2026_02_PHI_TEN,2026-09-20 13:00:00-04:00,1.0,1.0,7.99,none
00-0036158,J.K. Dobbins,RB,DEN,JAX,2026,2,7.910037061171737,00-0036158,6806,historical_crosswalk,2026_02_JAX_DEN,2026-09-20 16:05:00-04:00,1.0,1.0,7.23,none
00-0040784,Quinshon Judkins,RB,CLE,TB,2026,2,7.824155368168261,00-0040784,12512,historical_crosswalk,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,1.0,1.0,11.71,none
00-0038134,Kenneth Walker,RB,KC,IND,2026,2,7.687701373024514,00-0038134,8151,historical_crosswalk,2026_02_IND_KC,2026-09-20 20:20:00-04:00,1.0,1.0,14.68,none
00-0036139,Rico Dowdle,RB,PIT,NE,2026,2,7.288357423928924,00-0036139,7021,historical_crosswalk,2026_02_PIT_NE,2026-09-20 13:00:00-04:00,2.0,2.0,9.94,none
00-0039384,Tyrone Tracy,RB,NYG,LA,2026,2,7.221093975542235,00-0039384,11655,historical_crosswalk,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,2.0,2.0,1.9,none
00-0037228,Jaylen Warren,RB,PIT,NE,2026,2,7.1261660427301985,00-0037228,8228,historical_crosswalk,2026_02_PIT_NE,2026-09-20 13:00:00-04:00,1.0,1.0,10.59,none
00-0036555,Chuba Hubbard,RB,CAR,ATL,2026,2,7.0512707089476265,00-0036555,7594,historical_crosswalk,2026_02_CAR_ATL,2026-09-20 13:00:00-04:00,1.0,1.0,11.12,none
00-0036919,Kenny Gainwell,RB,TB,CLE,2026,2,6.971363042087065,00-0036919,7567,historical_crosswalk,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,2.0,2.0,7.11,none
00-0039391,Kimani Vidal,RB,LAC,LV,2026,2,6.362894116456172,00-0039391,11647,historical_crosswalk,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,3.0,3.0,0.69,none
00-0040236,Kyle Monangai,RB,CHI,MIN,2026,2,6.323256662380044,00-0040236,12534,historical_crosswalk,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,2.0,2.0,6.66,none
00-0038611,Chris Rodriguez,RB,JAX,DEN,2026,2,6.30722063750318,00-0038611,10219,historical_crosswalk,2026_02_JAX_DEN,2026-09-20 16:05:00-04:00,2.0,2.0,6.35,none
00-0037263,Tyler Allgeier,RB,ARI,SEA,2026,2,5.089964156987929,00-0037263,8132,historical_crosswalk,2026_02_SEA_ARI,2026-09-20 16:25:00-04:00,2.0,2.0,6.02,none
00-0039032,Tyjae Spears,RB,TEN,PHI,2026,2,4.844324004410136,00-0039032,9508,historical_crosswalk,2026_02_PHI_TEN,2026-09-20 13:00:00-04:00,2.0,2.0,6.39,none
00-0039738,Blake Corum,RB,LA,NYG,2026,2,4.732996693161221,00-0039738,11586,historical_crosswalk,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,2.0,2.0,10.08,none
00-0037256,Rachaad White,RB,WAS,DAL,2026,2,3.8950332461453328,00-0037256,8136,historical_crosswalk,2026_02_WAS_DAL,2026-09-20 16:25:00-04:00,2.0,2.0,7.97,none
00-0039811,MarShawn Lloyd,RB,GB,NYJ,2026,2,3.6634215906769425,00-0039811,11581,historical_crosswalk,2026_02_GB_NYJ,2026-09-20 13:00:00-04:00,1.0,1.0,10.15,none
00-0038797,Emanuel Wilson,RB,SEA,ARI,2026,2,3.659463399230002,00-0038797,11435,historical_crosswalk,2026_02_SEA_ARI,2026-09-20 16:25:00-04:00,2.0,2.0,1.95,none
00-0033526,Samaje Perine,RB,CIN,HOU,2026,2,3.2903438973483903,00-0033526,4147,sleeper_gsis,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,2.0,2.0,4.43,none
00-0035250,Devin Singletary,RB,NYG,LA,2026,2,2.921924493797426,00-0035250,6130,sleeper_gsis,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,4.0,4.0,3.18,none
00-0040466,Raheim Sanders,RB,CLE,TB,2026,2,2.914412702222986,00-0040466,12472,historical_crosswalk,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,3.0,2.0,5.09,none
00-0035685,David Montgomery,RB,HOU,CIN,2026,2,2.870757509520955,00-0035685,5892,sleeper_gsis,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,1.0,1.0,15.85,none
00-0039874,Jaylen Wright,RB,MIA,SF,2026,2,2.2872410668840533,00-0039874,11643,historical_crosswalk,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,2.0,2.0,2.42,none
00-0037525,Jordan Mason,RB,MIN,CHI,2026,2,2.2766350558612483,00-0037525,8408,historical_crosswalk,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,1.0,1.0,9.39,Questionable
00-0039798,Isaiah Davis,RB,NYJ,GB,2026,2,2.0373936683986407,00-0039798,11571,historical_crosswalk,2026_02_GB_NYJ,2026-09-20 13:00:00-04:00,3.0,3.0,1.97,none
00-0038705,Emari Demercado,RB,DAL,WAS,2026,2,1.9501911095675282,00-0038705,11199,historical_crosswalk,2026_02_WAS_DAL,2026-09-20 16:25:00-04:00,5.0,4.0,4.27,none
00-0040078,Brashard Smith,RB,KC,IND,2026,2,1.914635611299555,00-0040078,12455,historical_crosswalk,2026_02_IND_KC,2026-09-20 20:20:00-04:00,3.0,3.0,0.61,none
00-0038551,Kendre Miller,RB,NO,BAL,2026,2,1.9045755247042588,00-0038551,9757,historical_crosswalk,2026_02_NO_BAL,2026-09-20 13:00:00-04:00,3.0,3.0,4.71,none
00-0038454,Keaton Mitchell,RB,LAC,LV,2026,2,1.7638829378250327,00-0038454,9511,historical_crosswalk,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,2.0,2.0,5.69,none
sleeper:13287,Jeremiyah Love,RB,ARI,SEA,2026,2,1.6765373385215543,,13287,synthetic_sleeper,2026_02_SEA_ARI,2026-09-20 16:25:00-04:00,1.0,1.0,10.76,none
00-0037746,Brian Robinson,RB,ATL,CAR,2026,2,1.6327690480607964,00-0037746,8154,historical_crosswalk,2026_02_CAR_ATL,2026-09-20 13:00:00-04:00,2.0,2.0,5.3,none
