market,population,universe,panel,threshold,panel_complete_n,split,split_value,n,hits,misses,ties,hit_rate,wilson_lo,wilson_hi,n_ex_ties,hit_rate_ex_ties,mean_actual_gap,median_actual_gap,spearman_consensus_vs_actual_gap,median_adp_overall,too_small_n_lt_10
sleeper_adp,all_adp,A,season_2021,7.5,270,season,2021,43,35,8,0,0.813953488372093,0.6738299634272562,0.9025824857100376,43,0.813953488372093,13.651162790697674,16.0,0.4413772520592132,310.0,False
sleeper_adp,all_adp,A,season_2021,7.5,270,group,rookie,6,5,1,0,0.8333333333333334,0.4364971778135298,0.9699466302516936,6,0.8333333333333334,28.5,29.5,0.1739313106957345,486.65,True
sleeper_adp,all_adp,A,season_2021,7.5,270,group,veteran,37,30,7,0,0.8108108108108109,0.6579530307016159,0.90520021269688,37,0.8108108108108109,11.243243243243244,13.0,0.4751723452058443,280.0,False
sleeper_adp,all_adp,A,season_2021,10.0,270,all,all,23,20,3,0,0.8695652173913043,0.6787251772990404,0.9546234090636876,23,0.8695652173913043,23.47826086956522,23.0,0.1238813482592596,635.3,False
sleeper_adp,all_adp,A,season_2021,10.0,270,direction,buy,19,18,1,0,0.9473684210526316,0.753612688331012,0.9906480059376996,19,0.9473684210526316,26.73684210526316,23.0,-0.0922415086031064,654.3,False
sleeper_adp,all_adp,A,season_2021,10.0,270,direction,fade,4,2,2,0,0.5,0.1500389891521494,0.8499610108478506,4,0.5,8.0,6.0,0.1054092553389459,170.05,True
sleeper_adp,all_adp,A,season_2021,10.0,270,position,QB,4,4,0,0,1.0,0.5101091635454027,1.0,4,1.0,20.75,21.0,-0.1054092553389459,670.75,True
sleeper_adp,all_adp,A,season_2021,10.0,270,position,RB,8,7,1,0,0.875,0.5291118177871464,0.9775825085499432,8,0.875,23.25,23.5,0.2891776156271279,596.5999999999999,True
sleeper_adp,all_adp,A,season_2021,10.0,270,position,TE,2,2,0,0,1.0,0.342380227506653,1.0,2,1.0,10.5,10.5,,476.45,True
sleeper_adp,all_adp,A,season_2021,10.0,270,position,WR,9,7,2,0,0.7777777777777778,0.4525889691069888,0.9367748928821532,9,0.7777777777777778,27.77777777777778,28.0,-0.1223639584513083,219.6,True
sleeper_adp,all_adp,A,season_2021,10.0,270,season,2021,23,20,3,0,0.8695652173913043,0.6787251772990404,0.9546234090636876,23,0.8695652173913043,23.47826086956522,23.0,0.1238813482592596,635.3,False
sleeper_adp,all_adp,A,season_2021,10.0,270,group,rookie,5,4,1,0,0.8,0.3755346297625253,0.9637758913675698,5,0.8,36.0,43.0,-0.1025978352085154,663.3,True
sleeper_adp,all_adp,A,season_2021,10.0,270,group,veteran,18,16,2,0,0.8888888888888888,0.672002348698212,0.9689804773543876,18,0.8888888888888888,20.0,22.5,0.1479947313521703,596.5999999999999,False
sleeper_adp,all_adp,A,season_2022,0.0,259,all,all,138,99,31,8,0.717391304347826,0.6371703718014349,0.7858371219091854,130,0.7615384615384615,2.8840579710144927,1.0,0.6278312857601134,172.95,False
sleeper_adp,all_adp,A,season_2022,0.0,259,direction,buy,80,61,16,3,0.7625,0.6585922106615945,0.8423532713322537,77,0.7922077922077922,11.45,10.5,0.3568207536104302,221.0,False
sleeper_adp,all_adp,A,season_2022,0.0,259,direction,fade,58,38,15,5,0.6551724137931034,0.5266777656614042,0.7643891066804983,53,0.7169811320754716,-8.931034482758621,-7.0,0.2299187872655363,84.2,False
sleeper_adp,all_adp,A,season_2022,0.0,259,position,QB,19,13,6,0,0.6842105263157895,0.4601040767532747,0.8463562091220773,19,0.6842105263157895,4.894736842105263,3.0,0.7071780718970341,335.7,False
sleeper_adp,all_adp,A,season_2022,0.0,259,position,RB,42,28,11,3,0.6666666666666666,0.5155250737683379,0.7898753292764273,39,0.717948717948718,2.142857142857143,-0.5,0.3715311607198632,116.55,False
sleeper_adp,all_adp,A,season_2022,0.0,259,position,TE,22,16,5,1,0.7272727272727273,0.5184826598759762,0.8684923971201053,21,0.7619047619047619,-0.9545454545454546,1.0,0.7066266447028207,218.0,False
sleeper_adp,all_adp,A,season_2022,0.0,259,position,WR,55,42,9,4,0.7636363636363637,0.6365163381083228,0.8563334413026682,51,0.8235294117647058,4.290909090909091,4.0,0.7589102567476905,130.9,False
sleeper_adp,all_adp,A,season_2022,0.0,259,season,2022,138,99,31,8,0.717391304347826,0.6371703718014349,0.7858371219091854,130,0.7615384615384615,2.8840579710144927,1.0,0.6278312857601134,172.95,False
sleeper_adp,all_adp,A,season_2022,0.0,259,group,rookie,14,11,2,1,0.7857142857142857,0.524107694133997,0.9242861328730684,13,0.8461538461538461,1.8571428571428568,2.5,0.606200624594641,196.5,False
