pff_id,gsis_id,player,team,nfl_seasons,blend,lambda,NFL_WR,college_wr,Talent_WR,score,rank_wr,N_career,weight_covered,z_yprr,neff_yprr,r_yprr,z_grades_pass_route,neff_grades_pass_route,r_grades_pass_route,z_deep_explosive,neff_deep_explosive,r_deep_explosive,z_receiving_EPA_target,neff_receiving_EPA_target,r_receiving_EPA_target,z_avg_separation,neff_avg_separation,r_avg_separation,z_contested_catch_rate,neff_contested_catch_rate,r_contested_catch_rate,z_drop_rate,neff_drop_rate,r_drop_rate,z_YAC_over_expected,neff_YAC_over_expected,r_YAC_over_expected,z_MTF_rec,neff_MTF_rec,r_MTF_rec
84434,00-0038979,Cedric Tillman,CLV,3,True,0.9473132921336546,-0.3062964589880831,0.3554516046820683,-0.2714311320763741,59.8,127,952.0,1.0,-0.8561,577.2,0.6635,-0.8039,577.2,0.7097,-1.139,11.9,0.2428,-0.7806,76.5,0.3685,-0.0912,24.8,0.3285,0.4604,12.0,0.1688,0.3128,76.5,0.2624,0.2104,16.0,0.1564,0.4502,43.3,0.5013
47961,00-0034419,Braxton Berrios,MIA,8,False,1.0,-0.2865687096599114,0.1165599660419577,-0.2865687096599114,59.4,129,335.0,0.83,-1.0933,101.3,0.2572,-0.8823,101.3,0.3003,-3.4376,0.3,0.0081,0.3923,10.3,0.0728,,,,0.5077,1.2,0.0201,0.6743,10.3,0.0457,,,,-0.8788,8.2,0.1594
47861,00-0036182,Nick Westbrook-Ikhine,MIA,6,False,1.0,-0.28912757843137443,-0.1966174533264234,-0.28912757843137443,59.3,130,985.0,1.0,-1.0023,560.5,0.6569,-0.9762,560.5,0.7036,1.2704,7.4,0.1666,0.0532,61.5,0.3195,-0.8547,43.5,0.4623,0.1817,12.4,0.1741,-1.2731,61.5,0.2225,1.0675,26.1,0.2326,0.6595,37.1,0.4625
123578,00-0038941,Tyler Scott,CHI,3,True,0.8291730344710476,-0.43409215409070034,0.4070767389474606,-0.2903978245956434,59.2,131,257.0,0.83,-1.1882,77.7,0.2099,-1.2458,77.7,0.2477,-0.9166,1.8,0.0466,-1.7979,9.4,0.0668,,,,-1.521,2.1,0.0347,-1.6776,9.4,0.0418,,,,-0.6085,5.1,0.1067
11981,00-0033589,David Moore,CAR,9,False,1.0,-0.30019012475683504,,-0.30019012475683504,59.0,132,337.0,1.0,-0.7341,185.4,0.3877,-0.444,185.4,0.4398,-0.5536,3.3,0.0816,-0.2244,30.3,0.1876,-1.3314,30.3,0.3742,-0.2767,9.4,0.1369,-0.9488,30.3,0.1234,-0.8772,17.6,0.1698,0.2095,17.6,0.2901
10741,00-0032398,Chris Moore,WAS,10,False,1.0,-0.3025043688492461,0.3462565950049865,-0.3025043688492461,58.9,133,537.0,0.83,-0.6252,324.3,0.5256,-0.7689,324.3,0.5786,0.4676,9.2,0.1991,1.2445,31.6,0.1943,,,,0.1458,9.7,0.1416,-1.7112,31.6,0.1281,,,,-1.3411,17.7,0.2907
163586,00-0040782,Isaiah Bond,CLV,1,True,0.8666136303367806,-0.38331968091201307,0.2223106891074455,-0.3025368444973252,58.9,133,344.0,0.83,-0.7083,344.0,0.5403,-0.9819,344.0,0.593,-0.34,18.0,0.3264,-0.8105,42.0,0.2428,,,,0.277,12.0,0.1692,0.2641,42.0,0.1635,,,,-0.6535,18.0,0.2947
61637,00-0037666,Jalen Tolbert,DAL,4,False,1.0,-0.3069647678096412,0.8940504274868025,-0.3069647678096412,58.7,135,1117.0,1.0,-0.8355,658.9,0.6924,-0.6147,658.9,0.7362,-0.0026,16.8,0.3118,0.0298,84.6,0.3924,-0.466,40.7,0.4458,0.0986,24.0,0.2892,0.0932,84.6,0.2824,-0.611,27.0,0.2385,-0.3315,51.6,0.545
23503,00-0036345,K.J. Osborn,MIN,6,False,1.0,-0.3185476729374339,0.0277205067522234,-0.3185476729374339,58.4,136,558.0,1.0,-0.6822,168.8,0.3657,-1.1506,168.8,0.4168,-0.3769,1.5,0.0391,-0.3131,22.1,0.1442,0.8416,22.1,0.3038,-0.9129,3.6,0.058,-1.2031,22.1,0.0932,-0.4358,14.5,0.1444,-1.0799,14.5,0.2521
61103,00-0036407,Jerry Jeudy,CLV,6,False,1.0,-0.3263469200465975,1.2202577931506904,-0.3263469200465975,58.2,137,1765.0,1.0,-0.1438,1122.9,0.7932,-0.2846,1122.9,0.8262,-0.4297,33.1,0.4712,-0.8643,208.5,0.6141,-0.321,208.5,0.8047,-0.5794,38.5,0.3951,-1.1044,208.5,0.4924,-0.5624,115.8,0.5738,-0.1013,115.8,0.7289
122518,00-0038618,Xavier Hutchinson,HST,3,True,0.9482403786787406,-0.4014993709442889,1.0272280848320032,-0.32754897886202156,58.1,138,970.0,1.0,-0.8435,698.4,0.7047,-0.7261,698.4,0.7473,-1.0676,11.4,0.235,-1.1267,94.7,0.4196,0.3249,71.0,0.5839,-1.0564,19.1,0.2445,0.1255,94.7,0.3059,0.079,41.0,0.3228,-0.1917,54.0,0.5562
48236,00-0036309,Darnell Mooney,ATL,6,False,1.0,-0.32773496312874645,0.3625768962174254,-0.32773496312874645,58.1,138,1452.0,1.0,-0.2815,889.8,0.7525,-0.6928,889.8,0.7903,-0.1158,34.3,0.4799,-0.0757,141.6,0.5195,0.1937,141.6,0.7368,-0.8946,26.0,0.306,-1.0783,141.6,0.3972,-0.7633,76.6,0.4709,-0.2005,76.6,0.64
146712,00-0039890,Adonai Mitchell,NYJ,2,True,0.9069380203515264,-0.3856647945376181,0.16356459288344,-0.33455242046309597,57.9,140,516.0,1.0,0.1148,423.3,0.5912,-0.7204,423.3,0.6419,-0.8838,27.8,0.4281,-1.4288,99.0,0.4306,-0.333,99.0,0.6619,-0.3325,12.8,0.1779,-1.7046,99.0,0.3155,0.0064,45.6,0.3467,-0.6582,45.6,0.5145
47509,00-0034983,Hunter Renfrow,LV,7,False,1.0,-0.34080229560389325,0.2447261199304131,-0.34080229560389325,57.7,141,261.0,0.83,-0.6664,79.0,0.2124,-1.4881,79.0,0.2506,-1.2944,0.9,0.0238,-0.6287,11.2,0.0787,,,,-2.3336,1.2,0.0201,-2.5854,11.2,0.0495,,,,1.1433,7.6,0.1493
99197,00-0039342,Xavier Legette,CAR,2,True,0.9407712687665588,-0.44186039036133584,1.0649266147797125,-0.3526153078077949,57.4,142,841.0,1.0,-0.743,653.4,0.6906,-1.1563,653.4,0.7345,-0.0617,18.5,0.3319,-0.9054,107.6,0.4508,-0.5651,107.6,0.6801,0.0943,26.6,0.3114,-0.207,107.6,0.3335,-1.0759,63.0,0.4226,0.6022,63.0,0.5937
97400,00-0037614,John Metchie III,NYJ,4,False,1.0,-0.3500249996439646,0.6394403015353353,-0.3500249996439646,57.4,142,767.0,1.0,-0.6191,484.1,0.6232,-0.8209,484.1,0.6721,-0.6833,4.3,0.1029,-0.9894,83.3,0.3887,1.7775,48.0,0.4868,-0.0694,15.5,0.2083,-0.3895,83.3,0.2793,-1.7815,33.0,0.2773,-0.8007,55.2,0.5619
8655,00-0031236,Brandin Cooks,BUF,12,False,1.0,-0.35586807335826387,,-0.35586807335826387,57.3,144,1286.0,1.0,-0.7633,741.2,0.7169,-0.6009,741.2,0.7584,-0.2371,28.4,0.4333,0.1515,100.4,0.4339,-1.0072,54.4,0.5182,0.4618,30.1,0.3384,0.7106,100.4,0.3185,-1.093,32.5,0.2739,-0.9674,61.5,0.5879
7822,00-0030431,Robert Woods,HST,13,False,1.0,-0.3568561319709346,,-0.3568561319709346,57.2,145,659.0,1.0,-0.6658,251.6,0.4622,-0.7763,251.6,0.5158,-0.7227,4.3,0.1029,-0.6583,41.7,0.2414,-0.4934,23.0,0.3124,-0.2807,8.0,0.1196,0.0324,41.7,0.1625,-0.4451,12.7,0.1287,-1.2124,24.8,0.3654
11792,00-0033891,Zay Jones,ARZ,9,False,1.0,-0.3627387956367486,1.2137956595793828,-0.3627387956367486,57.1,146,649.0,1.0,-0.8429,358.8,0.5507,-0.9552,358.8,0.6031,-0.0219,8.7,0.1903,-0.3558,40.8,0.2375,-0.7883,18.8,0.2704,-0.3153,6.8,0.1033,1.0996,40.8,0.1596,-0.7586,10.3,0.1068,-0.884,26.7,0.3825
47447,00-0036415,Van Jefferson,TEN,6,False,1.0,-0.36643864393290254,0.0976790948847623,-0.36643864393290254,56.9,147,1159.0,1.0,-1.0048,713.1,0.709,-0.9038,713.1,0.7512,0.1902,17.8,0.3243,-0.4269,86.8,0.3985,-0.4337,51.0,0.502,0.458,16.2,0.2153,0.5507,86.8,0.2877,0.1014,29.0,0.2521,-0.7854,49.4,0.5339
52130,00-0036165,Isaiah Hodgins,NYG,6,False,1.0,-0.3701869615382556,0.9019013563004358,-0.3701869615382556,56.8,148,479.0,0.83,-1.2851,287.2,0.4952,-1.0409,287.2,0.5488,0.0736,3.0,0.0747,0.1532,26.7,0.1692,,,,0.3049,6.6,0.1011,0.9969,26.7,0.1104,,,,-0.3528,16.4,0.2752
8696,00-0031428,Allen Robinson II,PIT,12,False,1.0,-0.3788894354502417,,-0.3788894354502417,56.6,149,415.0,1.0,-1.1091,125.5,0.3001,-1.3843,125.5,0.3471,-2.4066,0.6,0.016,-0.9946,14.8,0.1016,-0.5976,14.8,0.2266,0.9112,2.1,0.0347,1.417,14.8,0.0645,-0.7994,10.9,0.1124,-0.9937,10.9,0.2018
99218,00-0037742,Treylon Burks,WAS,4,False,1.0,-0.3985549221334613,1.2889917102671646,-0.3985549221334613,56.0,150,419.0,0.83,-0.9255,233.5,0.4437,-0.6341,233.5,0.4972,-0.6317,8.9,0.1939,-1.804,30.8,0.1902,,,,-0.668,8.1,0.1211,0.1473,30.8,0.1253,,,,-0.2524,14.8,0.2562
84302,00-0036980,Elijah Moore,CLV,5,False,1.0,-0.40476798305678663,1.22196744252832,-0.40476798305678663,55.8,151,1202.0,1.0,-0.7983,510.6,0.6356,-0.827,510.6,0.6838,-0.9384,12.0,0.244,-1.5767,83.9,0.3904,0.7707,83.9,0.6238,0.0986,14.3,0.1956,0.0224,83.9,0.2808,-0.9934,52.0,0.3768,-0.3162,52.0,0.5469
9502,00-0032211,Tyler Lockett,LV,11,False,1.0,-0.4188045702875274,1.5221481789409752,-0.4188045702875274,55.4,152,1475.0,1.0,-0.6305,841.9,0.742,-0.5595,841.9,0.781,0.2696,15.8,0.2984,-0.4345,125.9,0.4901,-0.2697,125.9,0.7133,-0.4263,23.8,0.2877,-0.169,125.9,0.3694,-1.6163,82.8,0.4906,-0.7969,82.8,0.6579
66915,00-0034386,Justin Watson,KC,8,False,1.0,-0.42712107563640983,,-0.42712107563640983,55.1,153,877.0,1.0,-0.9359,367.8,0.5568,-1.0839,367.8,0.609,-0.1381,10.8,0.2254,0.661,35.8,0.2146,-0.7855,18.8,0.2704,1.0465,7.8,0.1174,-0.6663,35.8,0.1428,-1.6463,10.0,0.104,-1.3669,22.1,0.3389
124282,00-0038938,Jalin Hyatt,NYG,3,True,0.9195264378849692,-0.5935067946508292,0.634124403776384,-0.4947149391498472,53.1,154,605.0,0.83,-1.3521,236.7,0.4471,-1.289,236.7,0.5006,-0.6438,9.8,0.2095,-1.13,22.6,0.1469,,,,0.3303,5.8,0.0893,-1.3177,22.6,0.095,,,,-1.028,11.4,0.2087
48135,00-0034521,Allen Lazard,NYJ,8,False,1.0,-0.5107782801330129,0.4134321454489982,-0.5107782801330129,52.6,155,1035.0,1.0,-0.9561,528.2,0.6434,-0.9847,528.2,0.6911,-0.1548,10.4,0.2182,-0.3555,65.5,0.3334,-0.8883,47.5,0.4843,-0.2462,21.4,0.2663,-1.3661,65.5,0.2336,-0.2311,27.3,0.2409,-0.7012,37.3,0.4641
97774,00-0039062,Jonathan Mingo,DAL,3,True,0.9385010392468517,-0.587402005851993,0.3033154790149542,-0.5326238062080176,51.9,156,808.0,1.0,-1.2004,311.0,0.5151,-1.4801,311.0,0.5684,-0.5766,7.0,0.1583,-1.7665,48.2,0.269,-0.1947,25.1,0.3317,-0.8987,8.3,0.1232,-0.5671,48.2,0.1832,-1.3578,13.0,0.1313,0.109,22.4,0.3417
146547,00-0040581,Dont'e Thornton Jr.,LV,1,True,0.8269396180973679,-0.8372760100832517,0.8365401923236472,-0.5476047388599005,51.4,157,253.0,0.83,-1.4999,253.0,0.4636,-1.421,253.0,0.5172,-1.0045,11.0,0.2285,-2.2505,30.0,0.1863,,,,-1.395,15.0,0.2029,-1.9346,30.0,0.1225,,,,-1.3427,10.0,0.1884
109811,00-0038619,Andrei Iosivas,CIN,3,True,0.9601584158415841,-0.5845105976083338,,-0.5845105976083338,50.3,158,1276.0,1.0,-1.05,912.8,0.7572,-1.282,912.8,0.7945,0.5968,16.0,0.3005,0.2534,96.0,0.4229,-0.6217,88.5,0.6361,-0.719,23.1,0.2817,-1.0542,96.0,0.3088,-0.6262,52.8,0.3803,-0.9261,57.3,0.571
84375,00-0037741,Jahan Dotson,PHI,4,False,1.0,-0.604507203499297,0.772247244753065,-0.604507203499297,50.0,159,1560.0,1.0,-1.3331,897.5,0.7541,-1.2277,897.5,0.7917,0.099,18.2,0.3286,-1.5679,77.1,0.3706,-0.5686,23.9,0.3208,-0.3163,12.4,0.1736,0.8949,77.1,0.2642,-1.2245,14.8,0.147,-0.6438,44.9,0.5105
84345,00-0037231,Kevin Austin Jr.,NO,4,False,1.0,-0.6037783051874749,0.3544400040657668,-0.6037783051874749,50.0,159,345.0,0.83,-0.953,258.6,0.4691,-1.0261,258.6,0.5227,-1.8604,3.7,0.0895,-0.5794,34.5,0.2087,,,,-1.3596,5.2,0.0811,-1.6702,34.5,0.1385,,,,-1.3578,19.1,0.3066
123153,00-0039907,Ja'Lynn Polk,NE,2,True,0.8263721090783569,-0.8391112083983214,0.41306085318208,-0.6216992142751105,50.0,159,252.0,0.83,-1.8945,138.6,0.3213,-2.1611,138.6,0.3699,-1.74,3.9,0.0939,-3.0217,17.1,0.1152,,,,-1.275,7.2,0.1082,-1.6479,17.1,0.0735,,,,-0.3238,6.6,0.1329
47809,00-0034272,Marquez Valdes-Scantling,PIT,8,False,1.0,-0.6431515394083459,0.05096614463819,-0.6431515394083459,50.0,159,1117.0,0.83,-0.9381,589.6,0.6683,-1.2599,589.6,0.714,-0.3327,20.4,0.3545,-0.5997,70.3,0.3492,,,,-1.4862,13.6,0.1877,-0.5027,70.3,0.2464,,,,-0.7595,36.2,0.4568
109617,00-0039623,Mason Tipton,NO,2,True,0.8868518726802384,-0.769333084960953,,-0.769333084960953,50.0,159,415.0,0.83,-1.7188,307.9,0.5126,-1.567,307.9,0.566,-1.3279,5.3,0.1249,-2.332,30.2,0.1873,,,,-0.7762,5.2,0.0811,0.1757,30.2,0.1232,,,,-0.3224,18.7,0.3027
34579,00-0035359,David Sills V,ATL,7,False,1.0,-0.6097136849481762,0.305614260626231,-0.6097136849481762,50.0,159,334.0,0.83,-1.4296,334.0,0.5329,-1.4114,334.0,0.5858,-1.0506,7.0,0.1586,-0.9276,35.0,0.2108,,,,0.277,4.0,0.0636,-1.4717,35.0,0.1401,,,,0.725,18.0,0.2947
