pff_id,gsis_id,player,team,nfl_seasons,blend,lambda,NFL_TE,college_te,Talent_TE,score,rank_te,N_career,weight_covered,z_grades_pass_route,neff_grades_pass_route,r_grades_pass_route,z_yprr,neff_yprr,r_yprr,z_receiving_EPA_target,neff_receiving_EPA_target,r_receiving_EPA_target,z_avg_separation,neff_avg_separation,r_avg_separation,z_contested_catch_rate,neff_contested_catch_rate,r_contested_catch_rate,z_drop_rate,neff_drop_rate,r_drop_rate,z_YAC_over_expected,neff_YAC_over_expected,r_YAC_over_expected,z_MTF_rec,neff_MTF_rec,r_MTF_rec,z_deep_explosive,neff_deep_explosive,r_deep_explosive
77887,00-0036556,Brevin Jordan,HST,5,False,1.0,0.32603625343200593,0.4846755577512007,0.32603625343200593,79.8,11,156.0,0.685,1.1047,47.2,0.1283,1.699,47.2,0.1016,2.9039,6.4,0.0119,,,,,,,0.2375,6.4,0.0395,,,,-0.1629,5.4,0.1553,,,
83955,00-0037838,Isaiah Likely,BLT,4,False,1.0,0.3211850102789308,1.5264293219967604,0.3211850102789308,79.7,12,931.0,1.0,0.2161,534.8,0.6253,0.512,534.8,0.5618,0.6956,82.8,0.1353,1.7317,35.8,0.0899,0.3556,6.7,0.1657,0.3236,82.8,0.3489,0.8237,27.0,0.2402,0.9702,64.2,0.6844,0.35,8.3,0.2396
84068,00-0037252,Greg Dulcich,MIA,4,False,1.0,0.3166328502478804,0.7687747618331091,0.3166328502478804,79.5,13,255.0,0.83,0.4555,205.5,0.3907,1.0534,205.5,0.33,0.3758,36.5,0.0645,,,,0.7718,7.5,0.1826,0.4034,36.5,0.1912,,,,0.5687,28.8,0.4925,-0.649,0.6,0.0204
129433,00-0039793,AJ Barner,SEA,2,True,0.9569192623585928,0.3204384336638739,-0.0193772903302593,0.3057989216120578,79.1,14,650.0,1.0,0.5293,552.8,0.633,0.1228,552.8,0.5699,0.7293,91.3,0.1472,1.6999,71.0,0.164,0.5597,11.2,0.2489,0.2715,91.3,0.3717,0.6213,58.0,0.4049,0.3542,74.5,0.7155,0.9804,4.5,0.1472
84085,00-0036894,Pat Freiermuth,PIT,5,False,1.0,0.29713073510064614,0.6257980034457237,0.29713073510064614,78.8,15,1133.0,1.0,0.431,708.1,0.6884,0.375,708.1,0.6293,0.4625,114.0,0.1773,-0.476,114.0,0.2396,0.3968,15.0,0.307,0.4356,114.0,0.4247,1.5427,90.6,0.5152,-0.1096,90.6,0.7536,1.1182,6.2,0.1893
7844,00-0030506,Travis Kelce,KC,13,False,1.0,0.2883214143664917,,0.2883214143664917,78.5,16,1907.0,1.0,1.036,1144.7,0.7813,0.7881,1144.7,0.7329,0.4321,231.8,0.3047,-0.1906,231.8,0.3905,-0.2095,22.5,0.3996,-0.1483,231.8,0.6002,-0.5063,174.3,0.6716,-0.1284,174.3,0.8548,-0.0905,17.1,0.3937
144046,00-0040189,Oronde Gadsden II,LAC,1,True,0.9350087668030392,0.2356224467918331,0.96030898104479,0.28272071833416434,78.3,17,421.0,1.0,0.5187,421.0,0.5678,0.8297,421.0,0.5023,0.1635,71.0,0.1183,-0.6796,71.0,0.164,0.5279,12.0,0.262,-0.8915,71.0,0.3149,1.4391,52.0,0.3789,-0.4929,52.0,0.6371,0.8722,9.0,0.2545
28305,00-0036040,Juwan Johnson,NO,6,False,1.0,0.24171003009965883,,0.24171003009965883,76.8,18,1245.0,1.0,0.4329,845.0,0.725,0.6764,845.0,0.6695,0.2027,152.7,0.224,0.1303,152.7,0.2968,0.2382,35.8,0.5147,-0.2803,152.7,0.4972,-0.3579,115.7,0.5757,0.3885,115.7,0.7962,0.8929,11.8,0.3094
84000,00-0037809,Chigoziem Okonkwo,TEN,4,False,1.0,0.2377775091019075,0.4498929339111092,0.2377775091019075,76.7,19,1205.0,1.0,0.1599,752.0,0.7012,0.1793,752.0,0.6432,-0.5254,135.2,0.2036,1.0754,135.2,0.2721,0.403,14.7,0.3035,0.1472,135.2,0.4669,0.7093,100.9,0.5421,1.1386,100.9,0.7731,-0.2006,9.2,0.2581
129798,00-0040128,Tyler Warren,IND,1,True,0.9449177729344164,0.1666663530135806,1.4584594407441285,0.23782119319370604,76.7,19,502.0,1.0,0.5964,502.0,0.6103,0.786,502.0,0.5462,-0.3066,106.0,0.1669,-0.3094,106.0,0.2266,-0.5318,23.0,0.405,-0.0415,106.0,0.407,0.3875,76.0,0.4713,-0.4073,76.0,0.7196,0.2828,3.0,0.1022
66924,00-0034613,Tanner Hudson,CIN,8,False,1.0,0.22782251317468422,,0.22782251317468422,76.3,21,337.0,1.0,0.7934,180.1,0.3597,0.662,180.1,0.3015,-0.3423,37.8,0.0667,-0.629,14.8,0.0394,-0.3258,6.8,0.1678,1.074,37.8,0.1967,-0.3282,11.8,0.1216,0.3604,30.8,0.5097,1.8642,1.0,0.0365
83964,00-0036970,Kyle Pitts,ATL,5,False,1.0,0.2169035377552061,1.2292777598636038,0.2169035377552061,75.9,22,1461.0,1.0,1.0082,932.6,0.7442,0.7467,932.6,0.6909,-0.1415,178.5,0.2523,-0.1584,178.5,0.3304,-0.286,35.2,0.5099,0.2038,178.5,0.5362,-1.1709,129.9,0.6037,0.0418,129.9,0.8143,-0.4741,15.2,0.3653
47304,00-0034383,Dalton Schultz,HST,8,False,1.0,0.21157315384628733,-0.287825188945102,0.21157315384628733,75.7,23,1578.0,1.0,0.7156,990.2,0.7555,0.4163,990.2,0.7036,0.2088,186.7,0.2609,0.2303,186.7,0.3404,-0.5938,21.8,0.3919,0.6159,186.7,0.5473,-0.3237,139.1,0.62,0.0773,139.1,0.8244,-0.4661,12.8,0.3262
47043,00-0034981,Foster Moreau,NO,7,False,1.0,0.20709813003008554,0.470755461289121,0.20709813003008554,75.5,24,442.0,0.83,0.7953,205.0,0.3901,0.4746,205.0,0.3295,0.8594,30.7,0.0548,,,,-0.7838,3.4,0.0903,0.8115,30.7,0.1657,,,,-0.4062,24.0,0.4471,-0.0576,3.3,0.1112
124044,00-0038558,Darnell Washington,PIT,3,True,0.9470122939102258,0.16477489661006686,0.7240440010816583,0.19440928354289877,75.1,25,523.0,0.83,-0.0744,347.2,0.52,0.434,347.2,0.4542,0.3417,59.8,0.1015,,,,-0.1959,7.4,0.1797,-0.8541,59.8,0.279,,,,2.4254,44.1,0.5983,-1.6405,2.5,0.0882
47083,00-0035249,Josh Oliver,MIN,7,False,1.0,0.19134115163986234,0.7442636344864068,0.19134115163986234,75.0,26,455.0,0.83,0.5187,269.1,0.4564,0.3454,269.1,0.3921,0.986,40.7,0.0715,,,,0.2316,3.2,0.0854,0.9803,40.7,0.2086,,,,-0.6385,34.3,0.5366,0.4049,2.5,0.0867
98027,00-0039041,Elijah Higgins,ARZ,3,True,0.9415044713308786,0.1896177318838835,,0.1896177318838835,74.9,27,471.0,0.77,-0.0946,394.1,0.5515,-0.5247,394.1,0.4858,-0.2999,49.2,0.0851,,,,-0.763,7.7,0.1846,0.9262,49.2,0.2416,,,,3.5352,41.0,0.5806,,,
47272,00-0034351,Dallas Goedert,PHI,8,False,1.0,0.1826365915472432,,0.1826365915472432,74.7,28,1262.0,1.0,0.5245,787.5,0.7107,0.6246,787.5,0.6537,0.6367,150.4,0.2213,-0.4931,150.4,0.2936,-1.1924,16.8,0.3326,0.2615,150.4,0.4933,0.1197,115.5,0.5753,-0.0456,115.5,0.7959,0.5296,9.6,0.2661
10715,00-0032392,Austin Hooper,NE,10,False,1.0,0.18119140603856887,0.4708060456021268,0.18119140603856887,74.6,29,801.0,1.0,0.363,484.0,0.6016,0.1153,484.0,0.5371,0.2559,75.8,0.1254,-0.143,32.5,0.0823,0.3825,14.1,0.2946,1.0298,75.8,0.3293,0.7594,24.8,0.225,-0.3823,56.3,0.6553,0.7616,7.2,0.2145
12112,00-0033357,Taysom Hill,NO,9,False,1.0,0.1699842378922491,,0.1699842378922491,74.2,30,335.0,0.83,0.285,128.8,0.2867,0.6738,128.8,0.2359,-0.3195,28.8,0.0517,,,,-0.2145,4.8,0.1247,-0.3979,28.8,0.1574,,,,1.0735,22.6,0.4331,0.6016,1.5,0.0524
30762,00-0034159,Will Dissly,LAC,8,False,1.0,0.1497195091572347,0.3963483823914119,0.1497195091572347,73.5,31,459.0,1.0,0.2877,216.6,0.4032,0.701,216.6,0.3417,-0.316,41.5,0.0727,-0.5525,35.8,0.0899,0.2032,4.2,0.1094,-0.5604,41.5,0.2118,0.2694,28.6,0.2512,0.7731,33.7,0.5325,0.5093,1.1,0.04
47436,00-0034753,Mark Andrews,BLT,8,False,1.0,0.14983348943706484,1.1063766641179416,0.14983348943706484,73.5,31,1039.0,1.0,0.6515,654.5,0.6713,0.6974,654.5,0.6107,0.3695,127.2,0.1938,-0.7181,127.2,0.2601,0.2652,21.3,0.3863,0.0032,127.2,0.4517,-0.8367,96.3,0.5305,-0.3861,96.3,0.7648,0.0626,7.6,0.2227
54037,00-0038589,Josh Whyle,TEN,3,True,0.856737954135532,0.08248604562248125,0.3973967539381624,0.12760079796041446,72.7,33,175.0,0.745,0.5294,96.3,0.231,0.5348,96.3,0.1875,0.0606,19.8,0.0361,,,,,,,0.3182,19.8,0.1136,,,,-0.9092,15.4,0.3421,-0.7078,1.1,0.04
10669,00-0033090,Hunter Henry,NE,10,False,1.0,0.11657619031417067,1.4639764472108483,0.11657619031417067,72.3,34,1426.0,1.0,0.8718,949.7,0.7477,0.4775,949.7,0.6948,0.4894,165.7,0.2385,-1.4003,165.7,0.3141,0.0582,40.7,0.5463,-0.0022,165.7,0.5176,-0.4584,118.0,0.5806,-0.7078,118.0,0.7993,-0.3831,14.3,0.351
52266,00-0036244,Colby Parkinson,LA,6,False,1.0,0.1069007445067486,0.2775779543392616,0.1069007445067486,71.9,35,851.0,1.0,0.5515,552.6,0.6329,0.5297,552.6,0.5698,0.0783,108.4,0.1701,0.3132,99.0,0.2149,-0.5763,15.9,0.3195,-0.7385,108.4,0.4125,-0.2912,69.7,0.4498,-0.2381,77.3,0.7229,0.4738,6.2,0.1893
40912,00-0035229,T.J. Hockenson,MIN,7,False,1.0,0.10168474596813262,1.1407230319696082,0.10168474596813262,71.7,36,1259.0,1.0,0.567,754.8,0.702,0.278,754.8,0.6441,0.0717,136.7,0.2053,-0.0839,136.7,0.2742,0.0058,21.9,0.3934,-0.0003,136.7,0.4696,-0.641,105.0,0.552,-0.2672,105.0,0.78,0.2558,5.8,0.1795
11855,00-0033858,Jonnu Smith,PIT,9,False,1.0,0.09678593196476401,0.4624064303689862,0.09678593196476401,71.6,37,1147.0,1.0,-0.0095,681.1,0.68,0.1527,681.1,0.6202,0.1593,137.8,0.2067,0.4614,137.8,0.2758,-0.0832,16.9,0.333,0.0872,137.8,0.4716,0.2523,103.5,0.5484,0.6267,103.5,0.7775,-0.5304,7.3,0.216
42388,00-0035644,Noah Fant,CIN,7,False,1.0,0.0913902611175443,0.7039804575760689,0.0913902611175443,71.4,38,921.0,1.0,-0.0356,523.7,0.6203,0.2338,523.7,0.5566,-0.9615,84.8,0.1381,1.4402,34.1,0.0861,0.6248,7.1,0.1738,0.3886,84.8,0.3545,0.0504,26.4,0.2364,-0.0493,70.1,0.7029,0.9326,3.5,0.1159
144726,00-0040584,Gunnar Helm,TEN,1,True,0.8936902485659657,0.035069344855447424,0.5578152472191661,0.09064233179889433,71.3,39,246.0,1.0,0.3635,246.0,0.4342,0.3921,246.0,0.371,-0.5525,54.0,0.0926,0.2286,54.0,0.1299,0.4358,14.0,0.2929,-0.0829,54.0,0.2591,-1.6781,44.0,0.3404,-0.1416,44.0,0.5977,0.9767,2.0,0.0705
60864,00-0037112,Jake Tonges,SF,4,False,1.0,0.08862263006767075,-0.1365739066056557,0.08862263006767075,71.3,39,274.0,1.0,0.9068,274.0,0.4609,0.1514,274.0,0.3964,-0.0289,53.0,0.0911,0.393,53.0,0.1278,-1.1807,9.0,0.2103,0.7463,53.0,0.2555,-0.747,40.0,0.3194,-0.5743,40.0,0.5745,-0.1011,2.0,0.0705
91014,00-0035329,Donald Parham Jr.,LAC,7,False,1.0,0.06152219252622354,,0.06152219252622354,70.3,41,251.0,0.83,0.0989,75.9,0.1915,-0.0576,75.9,0.154,0.9661,12.1,0.0224,,,,0.4262,2.1,0.059,-0.7241,12.1,0.0727,,,,1.0765,8.2,0.2161,-0.1638,1.2,0.0439
47050,00-0034364,Jordan Akins,CLV,8,False,1.0,0.04834736946917475,0.6024107331987815,0.04834736946917475,69.8,42,442.0,1.0,0.3782,211.4,0.3975,0.0767,211.4,0.3364,-0.2484,36.1,0.0638,1.0418,29.7,0.0759,0.1555,7.3,0.1768,0.2217,36.1,0.1893,-0.2568,22.0,0.2051,-0.7295,26.5,0.4725,0.264,0.6,0.0224
11778,00-0033881,Evan Engram,DEN,9,False,1.0,0.039979597067485675,0.9269188588215586,0.039979597067485675,69.5,43,1261.0,1.0,-0.0028,721.7,0.6925,0.2982,721.7,0.6337,-0.7759,153.5,0.2248,1.5138,153.5,0.2978,-0.0406,14.9,0.3064,0.1025,153.5,0.4984,-0.6735,113.3,0.5707,0.0429,113.3,0.7928,-0.2744,7.5,0.2219
11784,00-0033885,David Njoku,CLV,9,False,1.0,0.027864693177341276,0.9611453503438934,0.027864693177341276,69.1,44,1214.0,1.0,0.1164,654.2,0.6712,0.2699,654.2,0.6106,-1.0279,135.1,0.2034,-0.9734,135.1,0.2719,0.2884,32.5,0.4899,-0.3843,135.1,0.4667,0.9085,94.8,0.5266,0.2515,94.8,0.762,-0.7956,7.2,0.2138
60492,00-0037475,Stone Smartt,LAC,4,False,1.0,0.02324573654591677,,0.02324573654591677,68.9,45,285.0,0.83,-0.0648,117.4,0.2681,0.4082,117.4,0.2196,0.4148,16.7,0.0307,,,,0.3392,3.1,0.0842,-0.2233,16.7,0.0978,,,,-0.7876,12.1,0.2905,0.9845,2.9,0.0979
61081,00-0038041,Jake Ferguson,DAL,4,False,1.0,0.018911744995169052,0.7942335354801568,0.018911744995169052,68.8,46,1460.0,1.0,-0.1224,885.3,0.7342,0.1168,885.3,0.6797,-0.3136,177.2,0.2509,-0.3223,177.2,0.3287,0.0565,35.5,0.5121,0.2616,177.2,0.5343,-0.0178,139.0,0.6198,0.6015,139.0,0.8243,-0.3479,8.0,0.2331
122616,00-0039912,Ben Sinnott,WAS,2,True,0.8806866952789699,-0.10087245997864346,0.9221401122869984,0.021186550789531883,68.8,46,216.0,0.83,-0.5342,166.1,0.3413,-0.7795,166.1,0.2847,0.5876,17.3,0.0317,,,,1.8065,1.0,0.0287,1.1871,17.3,0.1007,,,,0.3256,14.3,0.3256,-0.6534,3.0,0.1022
