pff_id,gsis_id,player,team,nfl_seasons,blend,lambda,NFL_TE,college_te,Talent_TE,score,rank_te,N_career,weight_covered,z_grades_pass_route,neff_grades_pass_route,r_grades_pass_route,z_yprr,neff_yprr,r_yprr,z_receiving_EPA_target,neff_receiving_EPA_target,r_receiving_EPA_target,z_avg_separation,neff_avg_separation,r_avg_separation,z_contested_catch_rate,neff_contested_catch_rate,r_contested_catch_rate,z_drop_rate,neff_drop_rate,r_drop_rate,z_YAC_over_expected,neff_YAC_over_expected,r_YAC_over_expected,z_MTF_rec,neff_MTF_rec,r_MTF_rec,z_deep_explosive,neff_deep_explosive,r_deep_explosive
84005,00-0038547,Luke Schoonmaker,DAL,3,True,0.936558649018713,-0.1815806105221895,0.5229075996803884,-0.13688692671654906,63.1,62,432.0,0.83,-0.3768,271.2,0.4584,-0.3647,271.2,0.394,-0.2026,46.2,0.0804,,,,0.0335,9.4,0.2178,-0.1783,46.2,0.2304,,,,-0.4818,31.6,0.5159,-0.2782,3.5,0.1187
7816,00-0030061,Zach Ertz,WAS,13,False,1.0,-0.1462799755504812,,-0.1462799755504812,62.8,63,1171.0,1.0,0.1905,764.5,0.7046,0.2134,764.5,0.647,0.0299,145.8,0.216,-0.8987,133.1,0.2688,0.3472,25.5,0.4297,-0.7969,145.8,0.4855,-1.3074,96.2,0.5302,-0.838,104.4,0.7789,-0.2287,10.1,0.2771
26394,00-0036232,Harrison Bryant,CLV,6,False,1.0,-0.14847877007604063,1.5652187891780156,-0.14847877007604063,62.7,64,165.0,0.77,-0.3295,49.9,0.1347,-0.6666,49.9,0.1069,-1.5342,7.9,0.0146,,,,-0.5108,0.9,0.0262,0.1761,7.9,0.0485,,,,-0.7461,5.1,0.1479,,,
143933,00-0040739,Elijah Arroyo,SEA,1,True,0.8508983641727004,-0.3330178841025778,0.6810890054261147,-0.1818128879701151,61.5,65,167.0,0.83,-1.1458,167.0,0.3426,-0.4393,167.0,0.2859,-3.0405,24.0,0.0434,,,,0.1593,7.0,0.1716,1.2439,24.0,0.1345,,,,-1.1031,15.0,0.3362,-0.2924,5.0,0.1594
57301,00-0037304,Connor Heyward,PIT,4,False,1.0,-0.20359400915122397,0.4233298977657361,-0.20359400915122397,60.7,66,207.0,0.83,-0.5344,62.6,0.1634,-0.7837,62.6,0.1305,-1.0698,10.3,0.0191,,,,-0.247,1.5,0.0428,-0.2535,10.3,0.0624,,,,-0.4727,7.3,0.1968,-2.5849,0.6,0.0224
12193,00-0033757,Robert Tonyan,CHI,9,False,1.0,-0.2052524460918882,,-0.2052524460918882,60.7,66,164.0,0.83,-0.7485,49.6,0.134,-1.135,49.6,0.1063,0.1504,5.1,0.0096,,,,-1.8218,0.3,0.0089,-0.3763,5.1,0.0322,,,,-0.3882,3.3,0.101,-0.5253,0.6,0.0224
83962,00-0037539,Lucas Krull,DEN,4,False,1.0,-0.20820217325581242,-0.1747785927363944,-0.20820217325581242,60.6,68,372.0,0.83,-0.8518,172.4,0.3498,-1.0578,172.4,0.2925,-0.1405,16.6,0.0304,,,,-1.8964,1.2,0.033,1.035,16.6,0.097,,,,1.2837,13.4,0.3118,-0.0104,1.5,0.0524
8755,00-0031260,Logan Thomas,WAS,12,False,1.0,-0.21124993792292596,,-0.21124993792292596,60.4,69,515.0,1.0,-0.6368,155.8,0.3271,-0.4792,155.8,0.2719,-0.8679,23.0,0.0416,-0.1731,23.0,0.0597,-0.2903,5.4,0.1388,0.2579,23.0,0.1296,-0.1379,16.6,0.1633,-0.9967,16.6,0.3597,-0.0695,1.2,0.0439
47294,00-0034830,Hayden Hurst,CAR,8,False,1.0,-0.2127180623892045,0.4644115819587836,-0.2127180623892045,60.4,69,224.0,0.83,-0.9162,67.8,0.1745,-0.8071,67.8,0.1397,-1.0737,9.1,0.0169,,,,0.1467,1.2,0.0346,-0.7241,9.1,0.0555,,,,-0.1629,5.4,0.1553,0.2353,0.6,0.0224
84025,00-0037005,Tommy Tremble,CAR,5,False,1.0,-0.22103944009455911,-0.0072993283825471,-0.22103944009455911,60.1,71,821.0,0.83,-0.7236,528.3,0.6224,-0.7796,528.3,0.5588,-0.1305,64.0,0.1079,,,,1.0773,6.1,0.1521,0.3851,64.0,0.2931,,,,0.4445,49.6,0.6261,-0.7859,3.2,0.1069
