gsis_id,display_name,position,score,ci_lo,ci_hi,w,rank_pos,college_share,flag,z_brkTkl_ru,w_brkTkl_ru,z_yac_oe_rec,w_yac_oe_rec,z_explosive,w_explosive,z_YACcon,w_YACcon,z_brkTkl_rec,w_brkTkl_rec,z_success,w_success,z_cp,w_cp,z_yac_oe,w_yac_oe,z_cpoe,w_cpoe,z_bad,w_bad,z_deep,w_deep,z_qsucc,w_qsucc,z_q10,w_q10
00-0038120,Breece Hall,RB,96.900000,93.500000,99.000000,0.710000,1,0.111700,,-1.819200,0.720600,5.006000,0.608200,4.315800,0.681300,1.123700,0.923400,1.572800,0.622200,2.074200,0.791900,,,,,,,,,,,,,,
00-0038542,Bijan Robinson,RB,95.700000,92.500000,99.000000,0.734900,2,0.102100,,1.056400,0.742500,5.131700,0.643900,-2.000700,0.704500,1.129900,0.930900,3.545700,0.657300,-0.063800,0.809300,,,,,,,,,,,,,,
00-0039040,De'Von Achane,RB,92.700000,89.100000,96.300000,0.688500,3,0.120000,,1.399900,0.669600,1.322300,0.618100,6.098300,0.625600,1.586700,0.904400,-2.961600,0.633100,4.152600,0.748400,,,,,,,,,,,,,,
00-0036223,Jonathan Taylor,RB,91.700000,88.500000,94.900000,0.739000,4,0.100500,,1.701000,0.814200,3.634100,0.567000,0.710300,0.783700,1.398800,0.953400,0.276900,0.580000,-0.154700,0.865800,,,,,,,,,,,,,,
00-0038555,Tank Bigsby,RB,88.500000,81.800000,95.200000,0.391600,5,0.234400,†,4.318900,0.502700,2.607600,0.092500,2.477700,0.454500,1.547100,0.825200,3.022000,0.097000,2.712600,0.597300,,,,,,,,,,,,,,
00-0038597,Chase Brown,RB,86.800000,83.000000,90.700000,0.660600,6,0.130800,,2.447500,0.655900,2.378300,0.563200,1.895400,0.612100,1.312400,0.899000,-0.501900,0.583600,-0.850600,0.737500,,,,,,,,,,,,,,
00-0032764,Derrick Henry,RB,85.900000,82.600000,89.100000,0.734900,7,0.102100,,1.867000,0.856800,1.160500,0.505300,0.177400,0.831600,1.224400,0.965400,1.263400,0.518600,1.965100,0.897900,,,,,,,,,,,,,,
00-0038611,Chris Rodriguez Jr.,RB,84.200000,76.600000,91.800000,0.334300,8,0.256400,†,3.025600,0.426000,1.229700,0.053000,2.048300,0.379700,2.331700,0.776200,-3.250400,0.055700,3.416300,0.521400,,,,,,,,,,,,,,
00-0039032,Tyjae Spears,RB,83.300000,78.500000,88.200000,0.549900,9,0.173400,,1.485900,0.468700,1.196500,0.530900,0.789200,0.421100,0.382600,0.804700,5.856400,0.544100,0.749500,0.564200,,,,,,,,,,,,,,
00-0037228,Jaylen Warren,RB,81.900000,78.200000,85.600000,0.675600,10,0.000000,,0.857100,0.666300,3.682700,0.590400,-1.076000,0.622200,0.414800,0.903200,3.253500,0.603200,-2.223300,0.745600,,,,,,,,,,,,,,
00-0040583,Woody Marks,RB,81.700000,75.600000,87.900000,0.436100,11,0.000000,,1.356300,0.493000,5.142500,0.213200,2.721800,0.444900,0.506000,0.819500,1.329600,0.229100,1.488400,0.588000,,,,,,,,,,,,,,
00-0038551,Kendre Miller,RB,79.100000,71.000000,87.200000,0.306200,12,0.267300,†,4.646900,0.311200,2.694300,0.146200,-0.892300,0.271400,1.739700,0.678500,-0.526800,0.153000,2.830000,0.398700,,,,,,,,,,,,,,
00-0039373,Audric Estimé,RB,77.900000,69.800000,85.900000,0.309300,13,0.266000,†,3.610500,0.314800,1.220100,0.148500,-1.319200,0.274700,1.703200,0.682200,3.776900,0.155400,2.574700,0.402800,,,,,,,,,,,,,,
00-0036893,Najee Harris,RB,77.900000,74.400000,81.400000,0.699900,14,0.115600,,0.350600,0.750100,2.912800,0.546900,-1.719100,0.712400,0.602400,0.933400,5.294300,0.562300,-2.214800,0.815100,,,,,,,,,,,,,,
00-0037525,Jordan Mason,RB,77.100000,71.500000,82.600000,0.484600,15,0.000000,,1.445200,0.587700,-1.198900,0.213300,1.582900,0.540300,1.649800,0.869400,1.917100,0.222400,1.731800,0.676600,,,,,,,,,,,,,,
00-0033553,James Conner,RB,76.600000,73.300000,79.900000,0.726100,16,0.105500,,1.744100,0.751400,1.458900,0.610700,-1.707300,0.714700,0.265400,0.933800,2.893300,0.624400,-0.833400,0.816800,,,,,,,,,,,,,,
00-0037746,Brian Robinson,RB,76.600000,72.200000,81.000000,0.600500,17,0.153900,,2.539100,0.683800,0.092300,0.379300,0.237900,0.641000,0.868600,0.909900,-0.069000,0.397500,1.035100,0.760700,,,,,,,,,,,,,,
00-0036973,Travis Etienne,RB,75.500000,72.200000,78.900000,0.717000,18,0.109000,,1.254800,0.750600,-1.330800,0.589000,2.119500,0.713300,0.496500,0.933600,0.705900,0.603600,3.236500,0.815800,,,,,,,,,,,,,,
00-0038134,Kenneth Walker III,RB,74.700000,71.100000,78.200000,0.698500,19,0.116100,,2.260800,0.745900,-1.343300,0.549400,0.923400,0.707600,0.886500,0.932000,1.927600,0.562500,-0.299300,0.811600,,,,,,,,,,,,,,
00-0035261,Tony Pollard,RB,74.600000,71.600000,77.700000,0.756100,20,0.094000,,0.525400,0.787800,-0.711900,0.642100,1.901900,0.754200,0.790000,0.945500,2.673000,0.654200,0.315400,0.845200,,,,,,,,,,,,,,
00-0040122,Ashton Jeanty,RB,74.200000,69.000000,79.300000,0.519700,21,0.185000,,0.774200,0.530400,0.335700,0.373500,1.183000,0.483100,-0.346800,0.840600,3.899400,0.386000,2.474200,0.624600,,,,,,,,,,,,,,
00-0039874,Jaylen Wright,RB,73.600000,65.400000,81.900000,0.299000,22,0.270000,‡,1.223100,0.347900,2.412700,0.074800,3.019500,0.305500,0.646700,0.713700,-2.722400,0.078500,4.610600,0.439200,,,,,,,,,,,,,,
00-0040666,Omarion Hampton,RB,73.300000,66.300000,80.300000,0.372200,23,0.241800,†,3.158400,0.346700,0.427000,0.257500,2.960600,0.304400,-0.408100,0.712600,0.371400,0.267800,1.699700,0.437900,,,,,,,,,,,,,,
00-0036139,Rico Dowdle,RB,73.200000,69.100000,77.200000,0.635700,24,0.000000,,0.596300,0.678400,0.980600,0.473700,1.668800,0.635800,0.375100,0.907900,0.256700,0.491800,0.241300,0.756500,,,,,,,,,,,,,,
00-0037263,Tyler Allgeier,RB,72.700000,68.100000,77.300000,0.577200,25,0.162900,,0.353800,0.677600,4.524900,0.330200,-2.830600,0.635100,0.628500,0.907600,2.853400,0.342100,-0.312200,0.756000,,,,,,,,,,,,,,
00-0040730,RJ Harvey,RB,72.600000,66.700000,78.400000,0.456700,26,0.209300,,3.011400,0.411900,0.901100,0.373500,-2.235600,0.367500,0.544300,0.765900,3.358500,0.390300,-1.683700,0.508400,,,,,,,,,,,,,,
00-0033280,Christian McCaffrey,RB,72.000000,69.500000,74.600000,0.815700,27,0.071000,,0.224100,0.803400,1.031500,0.771900,-0.639300,0.771300,0.646800,0.950200,0.318300,0.785500,1.042100,0.857200,,,,,,,,,,,,,,
00-0036158,J.K. Dobbins,RB,71.500000,66.900000,76.100000,0.577100,28,0.162900,,2.351400,0.651000,-3.811000,0.363400,1.481700,0.606100,1.768000,0.897000,0.011900,0.375800,0.843900,0.732600,,,,,,,,,,,,,,
00-0039391,Kimani Vidal,RB,71.100000,64.700000,77.600000,0.409900,29,0.227300,,-1.222600,0.460700,5.622000,0.193200,0.473800,0.413300,0.893200,0.799600,1.850100,0.201600,-0.304500,0.556300,,,,,,,,,,,,,,
00-0038454,Keaton Mitchell,RB,70.900000,62.700000,79.100000,0.301900,30,0.000000,†,2.433600,0.303800,-0.343600,0.146600,3.068500,0.264600,1.714300,0.670900,-5.320400,0.153400,0.450700,0.390400,,,,,,,,,,,,,,
00-0040719,Bhayshul Tuten,RB,70.400000,61.400000,79.500000,0.261600,31,0.284400,‡,2.218200,0.269700,-3.368900,0.097800,0.242600,0.235500,0.510300,0.633100,0.774000,0.102600,6.097000,0.354100,,,,,,,,,,,,,,
00-0039139,Jahmyr Gibbs,RB,69.400000,66.100000,72.800000,0.722300,32,0.107000,,1.311400,0.718300,-1.554700,0.642600,2.978400,0.677700,0.558800,0.922500,1.120700,0.655900,-1.096500,0.789100,,,,,,,,,,,,,,
00-0039794,Braelon Allen,RB,69.400000,61.100000,77.700000,0.295500,33,0.271400,‡,-2.794500,0.283800,3.898100,0.159900,0.849200,0.248200,0.883600,0.649200,3.568100,0.167100,2.964700,0.370200,,,,,,,,,,,,,,
00-0040715,Cam Skattebo,RB,68.400000,60.600000,76.200000,0.324300,34,0.000000,†,1.081000,0.300100,-0.410100,0.206400,3.385500,0.263100,0.772200,0.667000,-1.272400,0.215300,1.250700,0.388600,,,,,,,,,,,,,,
00-0040242,Jacory Croskey-Merritt,RB,67.600000,60.300000,75.000000,0.349300,35,0.000000,†,1.380600,0.426300,-0.499200,0.088900,0.771600,0.381200,0.295100,0.776300,-3.323000,0.093300,1.710600,0.523100,,,,,,,,,,,,,,
00-0036875,Rhamondre Stevenson,RB,67.200000,63.700000,70.600000,0.713200,36,0.110500,,3.120500,0.731200,-2.711200,0.602900,-0.650000,0.691900,1.093800,0.927000,-0.130000,0.619500,1.206100,0.799900,,,,,,,,,,,,,,
00-0034844,Saquon Barkley,RB,66.300000,63.600000,69.000000,0.795600,37,0.078700,,-0.716400,0.837000,0.738400,0.680200,1.711700,0.809600,0.133300,0.960000,-0.858000,0.694600,0.336000,0.883300,,,,,,,,,,,,,,
00-0033897,Joe Mixon,RB,65.200000,62.200000,68.300000,0.754100,38,0.094700,,-0.015600,0.791100,0.792200,0.632500,-0.477200,0.757900,-0.212800,0.946500,0.274100,0.646400,0.791900,0.847900,,,,,,,,,,,,,,
00-0036997,Javonte Williams,RB,64.900000,61.500000,68.300000,0.710900,39,0.111400,,2.218800,0.729100,-1.555900,0.600700,-0.418700,0.689800,0.374500,0.926300,0.311400,0.613400,-0.252800,0.798300,,,,,,,,,,,,,,
00-0036275,D'Andre Swift,RB,63.800000,60.700000,66.900000,0.749600,40,0.096500,,-0.412800,0.769500,1.456000,0.648200,0.747000,0.733700,-0.009000,0.939700,-1.284500,0.660700,-1.468300,0.830600,,,,,,,,,,,,,,
00-0040202,Devin Neal,RB,63.200000,53.500000,72.900000,0.235100,41,0.294600,‡,-2.339000,0.194800,-0.022100,0.155600,-0.093800,0.166300,1.226000,0.530600,-0.715300,0.162700,2.125300,0.262100,,,,,,,,,,,,,,
00-0040162,Dylan Sampson,RB,63.200000,54.800000,71.500000,0.291700,42,0.272800,‡,-6.291000,0.216300,1.925800,0.257500,5.688100,0.185400,0.346000,0.563100,2.359200,0.273900,-3.303800,0.288300,,,,,,,,,,,,,,
00-0039344,Jonathon Brooks,RB,62.800000,40.000000,87.700000,0.044600,43,0.368000,‡,1.932400,0.030300,8.550200,0.025900,-4.116900,0.025100,-0.503400,0.127500,-3.222900,0.027300,-4.459900,0.043900,,,,,,,,,,,,,,
00-0037248,James Cook,RB,62.800000,59.300000,66.200000,0.712800,44,0.110600,,-0.644400,0.773000,-0.036700,0.551100,1.625900,0.737400,1.078700,0.940800,-2.356900,0.566900,-0.278600,0.833300,,,,,,,,,,,,,,
00-0033293,Aaron Jones,RB,61.400000,58.400000,64.300000,0.770200,45,0.088500,,-0.260500,0.786400,0.261200,0.678900,-1.206200,0.752200,0.688900,0.945000,-0.838500,0.692400,0.705800,0.843900,,,,,,,,,,,,,,
00-0035685,David Montgomery,RB,61.100000,57.800000,64.300000,0.734900,46,0.102100,,0.254500,0.786500,-1.241800,0.590200,-1.406300,0.752900,0.676100,0.945100,2.623000,0.603500,-0.213900,0.844300,,,,,,,,,,,,,,
00-0033906,Alvin Kamara,RB,61.100000,58.300000,63.800000,0.796900,47,0.078200,,0.559800,0.785000,-0.467800,0.748200,-0.042200,0.751200,0.132300,0.944600,-1.430300,0.758100,1.185100,0.843100,,,,,,,,,,,,,,
00-0036555,Chuba Hubbard,RB,60.600000,57.000000,64.200000,0.691200,48,0.118900,,-1.338600,0.731200,1.067300,0.548900,-0.635600,0.692200,0.100900,0.927000,0.376800,0.562000,0.127900,0.800100,,,,,,,,,,,,,,
00-0039875,Ray Davis,RB,60.300000,53.500000,67.100000,0.386500,49,0.000000,†,-1.296700,0.398800,1.453300,0.219300,0.932700,0.353600,0.731000,0.756000,-3.733900,0.228600,-1.844100,0.493300,,,,,,,,,,,,,,
00-0040236,Kyle Monangai,RB,59.400000,52.800000,65.900000,0.405400,50,0.229000,,-1.709100,0.446500,1.642500,0.199600,0.162800,0.401900,0.118100,0.790300,1.581100,0.208200,-2.020800,0.544700,,,,,,,,,,,,,,
00-0039384,Tyrone Tracy Jr.,RB,58.800000,54.100000,63.500000,0.564300,51,0.167800,,-1.991000,0.585900,-0.388800,0.410700,3.295500,0.538400,0.010800,0.868600,-0.691100,0.434100,-0.623200,0.674900,,,,,,,,,,,,,,
00-0039921,Trey Benson,RB,58.400000,49.700000,67.100000,0.278000,52,0.278100,‡,-0.528800,0.254900,-0.394100,0.162600,-1.052000,0.220000,0.173600,0.615100,-0.301300,0.170000,-2.615200,0.334300,,,,,,,,,,,,,,
00-0036919,Kenny Gainwell,RB,58.000000,54.000000,62.000000,0.643500,53,0.137300,,0.052300,0.582900,0.958800,0.615300,-1.667000,0.536300,-0.322900,0.867200,-0.638300,0.627800,-2.260700,0.673000,,,,,,,,,,,,,,
00-0039361,Bucky Irving,RB,57.100000,52.500000,61.700000,0.579800,54,0.000000,,-2.720100,0.602100,2.862900,0.431800,1.099700,0.555100,-1.197300,0.876100,1.919800,0.444900,-3.599300,0.689500,,,,,,,,,,,,,,
00-0040078,Brashard Smith,RB,56.100000,46.200000,65.900000,0.231500,55,0.296000,‡,-1.084400,0.157400,-0.428000,0.213200,-0.984400,0.133500,-1.144600,0.466000,-1.172400,0.222300,-2.928500,0.215200,,,,,,,,,,,,,,
00-0035700,Josh Jacobs,RB,55.700000,52.800000,58.500000,0.776000,56,0.086300,,0.308800,0.828000,0.504300,0.642800,-0.381600,0.799000,-0.292800,0.957400,-2.041100,0.656300,-2.079900,0.876200,,,,,,,,,,,,,,
00-0040142,Kaleb Johnson,RB,55.500000,40.100000,70.900000,0.109200,57,0.343100,‡,-1.579500,0.106200,6.784300,0.010700,-5.895400,0.089300,-2.259400,0.357000,-2.598000,0.011300,-7.280200,0.148600,,,,,,,,,,,,,,
00-0040734,TreVeyon Henderson,RB,53.100000,47.200000,58.900000,0.458200,58,0.208700,,0.256100,0.471300,-6.235200,0.297100,-0.578100,0.423700,0.140000,0.806400,1.452100,0.313800,1.955100,0.566800,,,,,,,,,,,,,,
00-0039738,Blake Corum,RB,52.900000,46.400000,59.300000,0.411100,59,0.226900,,-1.488800,0.481200,-3.583900,0.168800,0.713700,0.433400,-0.681300,0.812500,0.563200,0.176400,-0.123800,0.576500,,,,,,,,,,,,,,
00-0040784,Quinshon Judkins,RB,52.800000,46.700000,58.900000,0.438800,60,0.216200,,-8.916700,0.494000,0.056100,0.219900,6.161300,0.447100,1.945000,0.820200,0.667400,0.229100,-1.335200,0.590100,,,,,,,,,,,,,,
00-0037256,Rachaad White,RB,52.700000,49.200000,56.200000,0.704800,61,0.113700,,-2.054700,0.690600,0.831500,0.633200,0.429500,0.648600,-1.045100,0.912500,-0.276600,0.645500,-1.352900,0.766700,,,,,,,,,,,,,,
00-0040586,Jaydon Blue,RB,52.600000,40.000000,66.200000,0.135400,62,0.333000,‡,-0.292200,0.138900,-2.199800,0.010700,-3.828300,0.117400,-2.414300,0.429700,-0.214600,0.011300,-5.113700,0.191500,,,,,,,,,,,,,,
00-0038951,Sean Tucker,RB,52.500000,45.100000,60.000000,0.342200,63,0.000000,†,-1.805400,0.367700,1.636300,0.153300,1.957900,0.324100,-2.245700,0.730900,0.377800,0.160400,-3.666300,0.460500,,,,,,,,,,,,,,
00-0038797,Emanuel Wilson,RB,52.100000,46.100000,58.200000,0.444300,64,0.000000,,-0.782400,0.494300,-1.103200,0.234000,-0.810000,0.446200,-0.148700,0.820300,-4.083100,0.243600,-0.980900,0.589200,,,,,,,,,,,,,,
00-0039165,Zach Charbonnet,RB,51.600000,47.100000,56.000000,0.593700,65,0.156500,,0.923700,0.612300,-4.018400,0.453300,-0.458000,0.566200,0.946000,0.880600,-2.337600,0.466500,-0.009300,0.699100,,,,,,,,,,,,,,
00-0037840,Kyren Williams,RB,46.200000,42.600000,49.700000,0.697300,66,0.116600,,-0.307000,0.766000,-3.967500,0.519800,-0.220500,0.729900,0.095400,0.938600,-0.492800,0.538700,0.480400,0.827900,,,,,,,,,,,,,,
00-0037197,Isiah Pacheco,RB,44.800000,40.700000,49.000000,0.630900,67,0.000000,,-0.037900,0.680600,-4.726000,0.460000,0.164300,0.637600,-0.119300,0.908700,-0.973200,0.475300,-0.227000,0.758000,,,,,,,,,,,,,,
00-0039075,Puka Nacua,WR,99.000000,94.200000,99.000000,0.652700,1,0.000000,,,,,,,,,,3.889200,0.695500,,,3.471900,0.525000,2.679900,0.792600,,,,,,,,,,
00-0037261,Khalil Shakir,WR,97.300000,91.400000,99.000000,0.561300,2,0.000000,,,,,,,,,,1.662800,0.611600,,,3.862500,0.408600,2.504200,0.729000,,,,,,,,,,
00-0035676,A.J. Brown,WR,90.900000,86.500000,95.400000,0.691800,3,0.000000,,,,,,,,,,3.834600,0.723800,,,-0.151600,0.585300,2.557300,0.810600,,,,,,,,,,
00-0036900,Ja'Marr Chase,WR,90.600000,86.400000,94.800000,0.713000,4,0.000000,,,,,,,,,,0.848900,0.751900,,,1.540400,0.603000,2.326700,0.832200,,,,,,,,,,
00-0035719,Deebo Samuel Sr.,WR,88.300000,83.300000,93.300000,0.637700,5,0.000000,,,,,,,,,,4.407300,0.672000,,,-1.291200,0.514500,3.004200,0.776500,,,,,,,,,,
00-0036322,Justin Jefferson,WR,88.100000,83.800000,92.500000,0.703000,6,0.000000,,,,,,,,,,1.114000,0.737500,,,1.803400,0.594600,1.583600,0.822600,,,,,,,,,,
00-0036613,Jaylen Waddle,WR,86.700000,81.400000,91.900000,0.616700,7,0.000000,,,,,,,,,,-0.504300,0.653800,,,2.896900,0.490200,1.721700,0.758400,,,,,,,,,,
00-0039491,Jalen Coker,WR,85.500000,75.800000,95.300000,0.315400,8,0.000000,†,,,,,,,,,0.905100,0.339400,,,4.630500,0.193200,3.179400,0.458900,,,,,,,,,,
00-0039067,Rashee Rice,WR,84.000000,77.000000,90.900000,0.478300,9,0.000000,,,,,,,,,,0.511600,0.518700,,,-0.884900,0.331900,4.339300,0.643300,,,,,,,,,,
00-0039915,Ladd McConkey,WR,84.000000,77.100000,90.800000,0.486700,10,0.000000,,,,,,,,,,1.585000,0.519500,,,2.179200,0.355200,1.723900,0.636900,,,,,,,,,,
00-0034827,DJ Moore,WR,83.500000,79.100000,87.900000,0.691900,11,0.000000,,,,,,,,,,1.926900,0.722700,,,2.054900,0.586000,0.194900,0.810500,,,,,,,,,,
00-0036912,DeVonta Smith,WR,83.300000,78.500000,88.100000,0.653100,12,0.000000,,,,,,,,,,0.674900,0.696300,,,2.136000,0.527700,0.953500,0.789700,,,,,,,,,,
00-0033040,Tyreek Hill,WR,83.000000,78.700000,87.300000,0.706100,13,0.000000,,,,,,,,,,0.015900,0.744600,,,3.622200,0.594900,-0.416500,0.827000,,,,,,,,,,
00-0038606,Parker Washington,WR,82.000000,74.100000,89.900000,0.413200,14,0.000000,,,,,,,,,,2.462200,0.434400,,,3.018700,0.296200,0.954300,0.551400,,,,,,,,,,
00-0040735,Luther Burden III,WR,81.800000,70.900000,92.700000,0.270300,15,0.000000,‡,,,,,,,,,1.611400,0.285400,,,4.470400,0.160500,2.655300,0.402800,,,,,,,,,,
00-0033908,Cooper Kupp,WR,81.500000,77.100000,86.000000,0.688700,16,0.000000,,,,,,,,,,0.766200,0.730200,,,1.874000,0.569800,0.651900,0.817800,,,,,,,,,,
00-0039064,Zay Flowers,WR,80.700000,74.900000,86.500000,0.567700,17,0.000000,,,,,,,,,,4.217500,0.606100,,,1.474300,0.431800,-0.246000,0.720500,,,,,,,,,,
00-0040124,Tetairoa McMillan,WR,80.500000,71.500000,89.500000,0.351300,18,0.000000,†,,,,,,,,,0.716400,0.361000,,,0.214000,0.250000,3.911100,0.475900,,,,,,,,,,
