gsis_id,display_name,position,score,ci_lo,ci_hi,w,rank_pos,college_share,flag,z_brkTkl_ru,w_brkTkl_ru,z_yac_oe_rec,w_yac_oe_rec,z_explosive,w_explosive,z_YACcon,w_YACcon,z_brkTkl_rec,w_brkTkl_rec,z_success,w_success,z_cp,w_cp,z_yac_oe,w_yac_oe,z_cpoe,w_cpoe,z_bad,w_bad,z_deep,w_deep,z_qsucc,w_qsucc,z_q10,w_q10
00-0036259,Jauan Jennings,WR,67.400000,61.200000,73.500000,0.541300,49,0.000000,,,,,,,,,,0.036300,0.569200,,,1.721200,0.417300,-1.025200,0.684800,,,,,,,,,,
00-0040729,Jack Bech,WR,67.200000,50.000000,84.400000,0.129700,50,0.000000,‡,,,,,,,,,-1.858100,0.130900,,,3.992100,0.069700,-0.021000,0.206000,,,,,,,,,,
00-0040669,Isaac TeSlaa,WR,66.900000,45.900000,87.900000,0.091100,51,0.000000,‡,,,,,,,,,-2.622200,0.107600,,,2.764300,0.065200,0.851200,0.114800,,,,,,,,,,
00-0036261,Brandon Aiyuk,WR,66.800000,60.700000,73.000000,0.537600,52,0.000000,,,,,,,,,,-2.045000,0.567500,,,2.234300,0.411100,-0.529100,0.683100,,,,,,,,,,
00-0038124,Christian Watson,WR,65.800000,58.100000,73.500000,0.424600,53,0.000000,,,,,,,,,,-1.625000,0.440100,,,-1.038900,0.316500,1.521400,0.554600,,,,,,,,,,
00-0040130,Jayden Higgins,WR,65.800000,54.600000,76.900000,0.262400,54,0.000000,‡,,,,,,,,,-0.749000,0.273600,,,2.382700,0.174900,-1.107900,0.368600,,,,,,,,,,
00-0036252,Michael Pittman,WR,65.600000,60.900000,70.300000,0.668000,55,0.000000,,,,,,,,,,0.149700,0.706800,,,-0.170300,0.547400,0.053200,0.800800,,,,,,,,,,
00-0039410,Ryan Flournoy,WR,65.100000,53.700000,76.600000,0.251200,56,0.000000,‡,,,,,,,,,-0.912600,0.266300,,,1.670600,0.148500,-0.696000,0.374700,,,,,,,,,,
00-0037240,Jameson Williams,WR,65.100000,58.300000,72.000000,0.483300,57,0.000000,,,,,,,,,,-1.167800,0.502300,,,-1.610200,0.361300,1.593200,0.629200,,,,,,,,,,
00-0039855,Jalen McMillan,WR,64.800000,52.900000,76.800000,0.236000,58,0.000000,‡,,,,,,,,,-1.788300,0.248700,,,1.266800,0.145300,-0.304500,0.345300,,,,,,,,,,
00-0031408,Mike Evans,WR,64.700000,60.100000,69.300000,0.673300,59,0.000000,,,,,,,,,,-1.169100,0.703100,,,0.763700,0.572500,-0.300200,0.786000,,,,,,,,,,
00-0030279,Keenan Allen,WR,64.300000,60.100000,68.500000,0.712100,60,0.000000,,,,,,,,,,-1.133000,0.748200,,,1.104300,0.604600,-0.684400,0.829700,,,,,,,,,,
00-0040705,Chimere Dike,WR,64.200000,52.900000,75.500000,0.256200,61,0.000000,‡,,,,,,,,,-1.053600,0.265600,,,3.353000,0.160500,-1.992400,0.373700,,,,,,,,,,
00-0039849,Marvin Harrison Jr.,WR,63.600000,55.400000,71.700000,0.398400,62,0.000000,†,,,,,,,,,-0.366900,0.408700,,,0.875300,0.302700,-1.072800,0.515500,,,,,,,,,,
00-0040138,Jaylin Noel,WR,63.000000,47.800000,78.200000,0.160300,63,0.000000,‡,,,,,,,,,-1.719600,0.163800,,,5.305800,0.087300,-3.217400,0.252200,,,,,,,,,,
00-0038563,Tre Tucker,WR,62.300000,54.700000,69.800000,0.433700,64,0.000000,,,,,,,,,,-1.045700,0.449100,,,0.186700,0.318800,-0.510200,0.572500,,,,,,,,,,
00-0038997,Josh Downs,WR,62.200000,55.800000,68.600000,0.518700,65,0.000000,,,,,,,,,,-0.438600,0.550500,,,-0.619100,0.384100,-0.069400,0.673500,,,,,,,,,,
00-0031381,Davante Adams,WR,62.000000,58.000000,65.900000,0.735500,66,0.000000,,,,,,,,,,-0.493000,0.764200,,,-0.640000,0.644700,0.265200,0.836000,,,,,,,,,,
00-0039916,Ricky Pearsall,WR,60.500000,50.500000,70.500000,0.304200,67,0.000000,†,,,,,,,,,-2.854100,0.316200,,,4.229000,0.193200,-2.875500,0.440000,,,,,,,,,,
00-0040170,Elic Ayomanor,WR,60.000000,48.400000,71.600000,0.246900,68,0.000000,‡,,,,,,,,,-1.053600,0.236000,,,-0.822600,0.187000,-1.405100,0.330200,,,,,,,,,,
00-0038977,Tank Dell,WR,59.900000,50.600000,69.200000,0.339500,69,0.000000,†,,,,,,,,,-1.610200,0.355600,,,0.500000,0.231600,-1.353000,0.469100,,,,,,,,,,
00-0040667,Matthew Golden,WR,59.400000,45.900000,72.900000,0.195300,70,0.000000,‡,,,,,,,,,-0.887800,0.199100,,,-2.094800,0.112400,-1.601200,0.299800,,,,,,,,,,
00-0039894,Xavier Worthy,WR,58.900000,51.200000,66.600000,0.426900,71,0.000000,,,,,,,,,,-1.409300,0.443700,,,-2.245600,0.305800,0.492000,0.572900,,,,,,,,,,
00-0037816,Romeo Doubs,WR,58.400000,52.200000,64.600000,0.531300,72,0.000000,,,,,,,,,,-0.641900,0.563900,,,-1.289300,0.407200,-0.213100,0.672400,,,,,,,,,,
00-0034775,Christian Kirk,WR,58.200000,52.900000,63.400000,0.613200,73,0.000000,,,,,,,,,,-0.431700,0.642600,,,-0.796800,0.495800,-0.522600,0.747500,,,,,,,,,,
00-0037238,Drake London,WR,58.100000,52.800000,63.400000,0.610600,74,0.000000,,,,,,,,,,-1.033900,0.639700,,,0.931100,0.495000,-1.732700,0.742600,,,,,,,,,,
00-0036550,Rashod Bateman,WR,58.100000,50.600000,65.500000,0.442400,75,0.000000,,,,,,,,,,-0.900900,0.461600,,,-0.095000,0.329500,-1.380600,0.576500,,,,,,,,,,
00-0037664,Alec Pierce,WR,57.500000,50.400000,64.500000,0.468900,76,0.000000,,,,,,,,,,-1.153500,0.477400,,,-0.721800,0.369600,-0.843700,0.591800,,,,,,,,,,
00-0034837,Calvin Ridley,WR,55.400000,49.800000,61.000000,0.584600,77,0.000000,,,,,,,,,,-1.384200,0.603600,,,-0.741500,0.476400,-0.713500,0.712700,,,,,,,,,,
00-0040129,Emeka Egbuka,WR,55.100000,45.600000,64.500000,0.330200,78,0.000000,†,,,,,,,,,-2.230700,0.321900,,,-5.138500,0.247100,1.250600,0.441700,,,,,,,,,,
00-0039424,Devaughn Vele,WR,55.100000,44.600000,65.500000,0.287200,79,0.000000,‡,,,,,,,,,-2.242500,0.306200,,,-0.397900,0.181300,-2.439300,0.412400,,,,,,,,,,
00-0039868,Troy Franklin,WR,54.200000,45.900000,62.600000,0.387600,80,0.000000,†,,,,,,,,,-0.172200,0.402900,,,-2.620600,0.279200,-1.220600,0.518200,,,,,,,,,,
00-0036309,Darnell Mooney,WR,52.800000,47.000000,58.500000,0.570500,81,0.000000,,,,,,,,,,0.675300,0.583500,,,-1.529700,0.461900,-1.608200,0.702600,,,,,,,,,,
00-0037545,Rashid Shaheed,WR,51.500000,44.400000,58.600000,0.467300,82,0.000000,,,,,,,,,,-1.168600,0.484100,,,-0.895300,0.345800,-2.078600,0.613900,,,,,,,,,,
00-0037239,Chris Olave,WR,51.000000,45.500000,56.400000,0.596700,83,0.000000,,,,,,,,,,-1.736700,0.628000,,,-0.382000,0.474800,-1.651400,0.735600,,,,,,,,,,
00-0039890,Adonai Mitchell,WR,49.700000,40.000000,59.800000,0.301100,84,0.000000,†,,,,,,,,,-2.993300,0.280800,,,-5.456600,0.235300,-0.301900,0.397400,,,,,,,,,,
00-0034348,Courtland Sutton,WR,48.300000,43.500000,53.100000,0.656300,85,0.000000,,,,,,,,,,-0.805600,0.682500,,,-0.813500,0.553900,-2.006700,0.773100,,,,,,,,,,
00-0038996,Tucker Kraft,TE,99.000000,92.800000,99.000000,0.528100,1,0.000000,,,,,,,,,,10.956300,0.183300,,,,,5.567400,0.713700,,,,,,,,,,
